Shazam Top 200 India Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Savi Kahlon","Apa Fer Milaange (LIVE)"
2,"Afsana Khan","Koi Si"
3,"Santhosh Narayanan, Dhvani Kailas & Vivek","Unakku Thaan (From "Chithha")"
4,"Vishnu Vijay & Mu.Ri","Mazhavillile (From "Falimy")"
5,"Shubh","King Shit"
6,"Anuv Jain","Husn"
7,"Yamê","Bécane - A Colors Show"
8,"Pritam, Arijit Singh & Irshad Kamil","O Maahi (From "Dunki")"
9,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
10,"Roach Killa, Arif Lohar & Deep Jandu","Aa"
11,"Karun & Lambo Drive","Maharani (feat. Arpit Bala & ReVo LEKHAK)"
12,"Sukha, Chani Nattan & prodGK","8 ASLE (feat. Gurlej Akhtar)"
13,"Devi Sri Prasad, Ranina Reddy & Rita","Bang Bang Bangkok (From "Kumari 21 F")"
14,"Fejo","Mahanubhavulu"
15,"BABY JEAN","Kaayi"
16,"BARATO NATION & ASH LoFi","Let Her Go x Husn"
17,"Kushal Grumpy","Paisaa"
18,"Mary J. Blige","Family Affair"
19,"SS Thaman, Sri Krishna, Sahithi Chaganti & Saraswati Putra Ramajogayya Sastry","Kurchi Madathapetti (From "Guntur Kaaram")"
20,"Sherine","Sabry 'Aalil"
21,"Arijit Singh, Shreyas Puranik & Siddharth-Garima","Satranga (From "Animal")"
22,"Vishal Mishra","Pehle Bhi Main (From "Animal")"
23,"MONU KUSHWAH","Bhole Charniy Aaradhana (feat. Muktidan Gadhvi)"
24,"Shubh","You and Me"
25,"Arijit Singh","Aasan Nahin Yahan (From "Aashiqui 2")"
26,"Vishal Mishra","Ram Aayenge"
27,"swapnil choudhary","Tu Hai Kahan"
28,"Hasan Raheem, Umair & Talwiinder","Wishes"
29,"Shallum Lama","Timro Pratiksa"
30,"Laqshay Kapoor, Akashdeep Sengupta, Suvarna Tiwari & Kausar Munir","Dil Se Dil Tak (From "Bawaal")"
31,"LXNGVX","Montagem Mysterious Game"
32,"Modern Talking","Cheri Cheri Lady"
33,"Katya Lel","Мой мармеладный (Я не права)"
34,"AUR","Tu hai kahan"
35,"Lady Gaga","Bloody Mary"
36,"The Neighbourhood","Softcore"
37,"Inder Arya","Gulabi Sharara"
38,"Shankar Mahadevan & Vasundradas","Machakari (From "Jillunu Oru Kaadhal")"
39,"glwzbll","Untitled #13 (Super Slowed)"
40,"PARVEJ MANCHI","Jale 2 Haryanvi song"
41,"Diljit Dosanjh","Lalkara (feat. Sultaan)"
42,"Diljit Dosanjh","Love Ya"
43,"Arijit Singh, Swanand Kirkire & IP Singh","Lutt Putt Gaya (From "Dunki")"
44,"Yashraj Mukhate, Rashmeet Kaur & Kisna","Bing Bing Boo!"
45,"Karan Kanchan, Rashmeet Kaur & Yashraj","Ishq Nachaawe"
46,"Crystal Castles","Empathy"
47,"Jubin Nautiyal","Mere Ghar Ram Aaye Hain"
48,"Passenger","Let Her Go (feat. Ed Sheeran) [Anniversary Edition]"
49,"Edward Maya & Vika Jigulina","Stereo Love"
50,"Karan Aujla & Ikky","Softly"
51,"Shubh","One Love"
52,"Harshavardhan Rameshwar","Abrar’s Entry Jamal Kudu (From "Animal")"
