Shazam Top 50 Mumbai
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Savi Kahlon","Apa Fer Milaange (LIVE)"
2,"Karan Kanchan, Rashmeet Kaur & Yashraj","Ishq Nachaawe"
3,"Karan Aujla & Ikky","Softly"
4,"Argy & Omnya","Aria"
5,"Ahmed Spins","Anchor Point (feat. Stevo Atambire)"
6,"Nina Simone","Sinnerman"
7,"Santhosh Narayanan, Dhvani Kailas & Vivek","Unakku Thaan (From "Chithha")"
8,"Pritam, Arijit Singh, Antara Mitra & Varun Grover","Raat Akeli Thi (From "Merry Christmas")"
9,"Eden Shalev","Papi (Bhabi)"
10,"bbno$","edamame (feat. Rich Brian)"
11,"Pritam, Arijit Singh & Irshad Kamil","O Maahi (From "Dunki")"
12,"Arijit Singh, Shreyas Puranik & Siddharth-Garima","Satranga (From "Animal")"
13,"Hasan Raheem, Umair & Talwiinder","Wishes"
14,"Anuv Jain","Husn"
15,"Nirvana","Something In the Way"
16,"AUR","Tu hai kahan"
17,"Diljit Dosanjh","Kinni Kinni"
18,"Vishal Mishra","Pehle Bhi Main (From "Animal")"
19,"Pritam, Papon & Varun Grover","Nazar Teri Toofan (From "Merry Christmas")"
20,"Kenya Grace","Strangers"
21,"Jubin Nautiyal","Mere Ghar Ram Aaye Hain"
22,"Lynyrd Skynyrd","Simple Man"
23,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
24,"Tanishk Bagchi, Romy & Neeraj Rajawat","Laal Peeli Akhiyaan (From "Teri Baaton Mein Aisa Uljha Jiya")"
25,"Avvy Sra & Karan Aujla","White Brown Black"
26,"Sherine","Sabry 'Aalil"
27,"Karun & Lambo Drive","Maharani (feat. Arpit Bala & ReVo LEKHAK)"
28,"Darshan Raval","Mahiye Jinna Sohna"
29,"Jungle","Busy Earnin'"
30,"Harshavardhan Rameshwar","Abrar’s Entry Jamal Kudu (From "Animal")"
31,"Yamê","Bécane - A Colors Show"
32,"Sachet Tandon, Parampara Tandon & Manoj Muntashir","Ram Siya Ram (From "Adipurush") [HINDI]"
33,"Vishal & Shekhar, Benny Dayal, Shilpa Rao & Kumaar","Sher Khul Gaye (From "Fighter")"
34,"Anirudh Ravichander, Arijit Singh, Shilpa Rao & Kumaar","Chaleya (From "Jawan")"
35,"Jack Harlow","Lovin On Me"
36,"Afsana Khan","Koi Si"
37,"dj Samir, Rodricci & Launch13","Louca Encubada"
38,"Shubh","King Shit"
39,"Diljit Dosanjh","Love Ya"
40,"B. Praak, Vishal Dadlani, Sheykhar Ravjiani & Kumaar","Heer Aasmani (From "Fighter")"
41,"Cigarettes After Sex","Apocalypse"
42,"Freebot, Cuvan & Aneth","Tus Besos"
43,"ZERB & Sofiya Nzau","Mwaki"
44,"Vishal Mishra","Ram Aayenge"
45,"Troye Sivan","One Of Your Girls"
46,"Shubh","One Love"
47,"Maria Becerra & Prabh Singh","9:45 (Remix)"
48,"Fleetwood Mac","Everywhere"
49,"Darko","21"
50,"Doja Cat","Paint The Town Red"
