Shazam Top 200 Indonesia Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
2,"USHER","Hey Daddy (Daddy's Home) [feat. Plies]"
3,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
4,"Henry Moodie","drunk text"
5,"Nadhif Basalamah","penjaga hati"
6,"Tate McRae","greedy"
7,"Katy Perry","Wide Awake"
8,"Doja Cat","Agora Hills"
9,"Salma Salsabil","Bunga Hati"
10,"Mitski","My Love Mine All Mine"
11,"Tyla","Water"
12,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
13,"NIKI","Take A Chance With Me"
14,"King Promise","Terminator (feat. Young Jonn)"
15,"Nabila Taqiyyah","Ku Ingin Pisah"
16,"Edward Maya & Vika Jigulina","Stereo Love"
17,"Conan Gray","The Cut That Always Bleeds"
18,"Geisha","Karena Kamu"
19,"Katya Lel","Мой мармеладный (Я не права)"
20,"Take That","Patience"
21,"Ariana Grande","bloodline"
22,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
23,"Yamê","Bécane - A Colors Show"
24,"Taylor Swift",""Slut!" (Taylor's Version) [From The Vault]"
25,"Kendrick Lamar","Swimming Pools (Drank)"
26,"Alan Walker, Putri Ariani & Peder Elias","Who I Am"
27,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
28,"Sherine","Sabry 'Aalil"
29,"MALIQ & D'Essentials","Aduh"
30,"Jack Harlow","Lovin On Me"
31,"Alicia Keys","If I Ain't Got You"
32,"Kenya Grace","Strangers"
33,"Sherine","El Watar El Hassas"
34,"Roy Kim","Whenever, Wherever"
35,"Lord Huron","The Night We Met"
36,"Donne Maula","Bercinta Lewat Kata"
37,"Lil Wayne","Mrs. Officer (feat. Bobby V & Kidd Kidd)"
38,"G-Eazy","Tumblr Girls (feat. Christoph Andersson)"
39,"PONCHET","พี่ชอบหนูที่สุดเลย (feat. วาลิน) [Sped Up Version]"
40,"Nelly","Just a Dream (feat. Shireen Abdul Wahab) [Coke Studio Fusion Mix]"
41,"J.Tajor","Like I Do"
42,"Yoari","TRUE"
43,"Loreen","Tattoo"
44,"Jaz","Bersamamu"
45,"Roni Joni","Pachanga (Roni Joni Edit)"
46,"Aziz Hedra","Somebody's Pleasure"
47,"Pitbull","Fireball (feat. John Ryan)"
48,"James Arthur & Anne-Marie","Rewrite the Stars"
49,"The Lantis","Lampu Merah"
50,"New West","Those Eyes"
51,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
52,"Peggy Gou","(It Goes Like) Nanana (Edit)"
53,"Egzod, Maestro Chives & Neoni","Royalty"
54,"Gilbert O'Sullivan","Alone Again (Naturally)"
55,"Dygta","Tapi Tahukah Kamu?"
56,"Justin Timberlake","Mirrors"
57,"Justin Bieber","Favorite Girl"
58,"Kodaline","Everything Works Out in the End"
59,"Keane","Somewhere Only We Know"
60,"Dana Lu & Taina Rain","Come My Way"
61,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
62,"Eminem","Love The Way You Lie (feat. Rihanna)"
63,"Keyshia Cole","Love"
64,"George Michael","Careless Whisper"
65,"Radja","Cinderella"
66,"Flume","Never Be Like You (feat. KAI)"
67,"Rio Romeo","Nothing's New"
68,"Hindia","Cincin"
69,"Jung Kook & Jack Harlow","3D"
