Shazam Top 50 Dublin
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Noah Kahan","Stick Season"
2,"Jim James","State Of The Art (A.E.I.O.U.)"
3,"Teddy Swims","Lose Control"
4,"Billie Eilish","bury a friend"
5,"The Unthanks","Magpie"
6,"Ed Sheeran","Life Goes On"
7,"Kneecap","Better Way To Live (feat. Grian Chatten)"
8,"Paul Russell","Lil Boo Thang"
9,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
10,"Carolina Liar","Show Me What I'm Looking For"
11,"Jack Harlow","Lovin On Me"
12,"Nathan Dawe & Bebe Rexha","Heart Still Beating"
13,"Tyla","Water"
14,"cassö, RAYE & D-Block Europe","Prada"
15,"Zara Larsson & David Guetta","On My Love"
16,"Niall Horan","Heaven"
17,"Kenya Grace","Strangers"
18,"Marty Guilfoyle & MIMI","Little Love"
19,"Jax Jones, D.O.D & Ina Wroldsen","Won't Forget You"
20,"Lynyrd Skynyrd","Simple Man"
21,"Sophie Ellis-Bextor","Murder On The Dancefloor"
22,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
23,"Newera","Birds In The Sky"
24,"Sinéad O'Connor","Mandinka"
25,"Superlover","Dance (To The Beat) [Kronan Remix]"
26,"Tom Grennan","All These Nights"
27,"Tomcraft","Loneliness (Radio Cut)"
28,"Quaker City Night Hawks","Beat the Machine"
29,"Dua Lipa","Houdini"
30,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
31,"Irish Women In Harmony","Nothing Compares 2 U"
32,"MGMT","Time to Pretend"
33,"Birdy","People Help the People"
34,"Tate McRae","greedy"
35,"Jonas Brothers","Strong Enough (feat. Bailey Zimmerman)"
36,"Stereo MC's","Connected"
37,"Labi Siffre","Crying, Laughing, Loving, Lying"
38,"Paloma Faith","Bad Woman"
39,"Imany","Wonderful Life (Stream Jockey Rework)"
40,"Semisonic","Closing Time"
41,"Soul Coughing","Super Bon Bon"
42,"Switch Disco","VACANCY"
43,"Radiohead","Everything In Its Right Place"
44,"Rema","Calm Down"
45,"Jason Mraz","I Feel Like Dancing"
46,"Olivia Rodrigo","vampire"
47,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
48,"The Handsome Family","Far from Any Road"
49,"Darren Kiely","Sunrise"
50,"John Legend","Good (feat. Ledisi)"
