Shazam Top 200 Ireland Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Noah Kahan","Stick Season"
2,"Teddy Swims","Lose Control"
3,"Jim James","State Of The Art (A.E.I.O.U.)"
4,"Ed Sheeran","Life Goes On"
5,"Kneecap","Better Way To Live (feat. Grian Chatten)"
6,"Paul Russell","Lil Boo Thang"
7,"The Unthanks","Magpie"
8,"Billie Eilish","bury a friend"
9,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
10,"Jack Harlow","Lovin On Me"
11,"Zara Larsson & David Guetta","On My Love"
12,"Sophie Ellis-Bextor","Murder On The Dancefloor"
13,"Jax Jones & RobbieG","Forever"
14,"Carolina Liar","Show Me What I'm Looking For"
15,"Newera","Birds In The Sky"
16,"cassö, RAYE & D-Block Europe","Prada"
17,"Nathan Dawe & Bebe Rexha","Heart Still Beating"
18,"Kenya Grace","Strangers"
19,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
20,"Irish Women In Harmony","Nothing Compares 2 U"
21,"Jonas Brothers","Strong Enough (feat. Bailey Zimmerman)"
22,"Niall Horan","Heaven"
23,"Lynyrd Skynyrd","Simple Man"
24,"Tyla","Water"
25,"Jax Jones, D.O.D & Ina Wroldsen","Won't Forget You"
26,"Superlover","Dance (To The Beat) [Kronan Remix]"
27,"Tate McRae","greedy"
28,"Marty Guilfoyle & MIMI","Little Love"
29,"Tomcraft","Loneliness (Radio Cut)"
30,"Sinéad O'Connor","Mandinka"
31,"Tom Grennan","All These Nights"
32,"Dua Lipa","Houdini"
33,"MGMT","Time to Pretend"
34,"He Is We","I Wouldn't Mind"
35,"Switch Disco","VACANCY"
36,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
37,"Darren Kiely","Sunrise"
38,"Ariana Grande","yes, and?"
39,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
40,"Quaker City Night Hawks","Beat the Machine"
41,"Natasha Bedingfield","Unwritten"
42,"Semisonic","Closing Time"
43,"Paloma Faith","Bad Woman"
44,"Michael Marcagi","Scared To Start"
45,"Mason & Princess Superstar","Perfect (Exceeder)"
46,"Peggy Gou","(It Goes Like) Nanana (Edit)"
47,"Birdy","People Help the People"
48,"Olivia Rodrigo","vampire"
49,"Elaine Mai, Murli, Dave Spoon & Nick Reach Up","Ready (Mark Knight Extended Mix)"
50,"Rema","Calm Down"
51,"Jazzy","NRG"
52,"ZERB & Sofiya Nzau","Mwaki"
