Shazam Top 200 Israel Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Natasha Bedingfield","Unwritten"
2,"Itay Levy","אין לי מקום אחר"
3,"Sherine","Sabry 'Aalil"
4,"Yamê","Bécane - A Colors Show"
5,"Tyla","Water"
6,"Kfir Tsafrir","פחד אלוהים"
7,"Jimbo J, אורית טשומה & אברהם לגסה","במקום בו אני גר"
8,"שילה אליה","מחשבות טובות"
9,"Abdoulhay","Galbi Mix Dofin Chirine"
10,"Chris Brown","Angel Numbers / Ten Toes"
11,"The Idan Raichel Project & Roni Dalumi","תחזור"
12,"Shlomo Artzi & Peer Tasi","נהר הדמעות"
13,"Iñigo Quintero","Si No Estás"
14,"Miri Mesika & Mika Moshe","יש לך אותך"
15,"Jack Harlow","Lovin On Me"
16,"Sophie Ellis-Bextor","Murder On The Dancefloor"
17,"Tate McRae","greedy"
18,"He Is We","I Wouldn't Mind"
19,"Empire of the Sun","We Are The People"
20,"Avraham Tal","טוב לי שאת כאן"
21,"Benaia Barabi & החברים מהנובה","זה בסדר"
22,"Zakes Bantwini & Kasango","Osama"
23,"Noah Kahan","Stick Season"
24,"Shira Margalit","עד שייפול הירח"
25,"Nacho Radesca","Ya Yo Me Enteré (Tech House) [Remix]"
26,"Ness & Stilla","חרבו דרבו"
27,"Omer Adam","ואיך שלא"
28,"Kenya Grace","Strangers"
29,"Stephen Sanchez","Until I Found You"
30,"ששון איפרם שאולוב","משהו אמיתי בעיניים"
31,"The Rolling Stones & Lady Gaga","Sweet Sounds Of Heaven"
32,"Tom Odell","Another Love"
33,"Osher Cohen","אהבה"
34,"Olivia Rodrigo","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)"
35,"Michael Kiwanuka","Cold Little Heart"
36,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
37,"Lamis Kan","Mesytara"
38,"ששון איפרם שאולוב","גן עדן של משוגעים"
39,"Yoshi","אני רוצה את החיים שלי בחזרה"
40,"Sia","Unstoppable"
41,"Bad Bunny","Tití Me Preguntó"
42,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
43,"יגל אושרי","לצאת מדיכאון"
44,"Morad & GIMS","Seya"
45,"Osher Cohen","קווים לדמותו"
46,"Depedro","Te sigo soñando"
47,"Scorpions","Still Loving You"
48,"Argy & Omnya","Aria"
49,"Lucenzo","Danza Kuduro (feat. Don Omar)"
50,"Stromae","Formidable"
51,"Roni Alter","I Follow Rivers"
52,"Eviatar Banai","דמיון חופשי"
53,"Haifa Wehbe","Woseltelha"
54,"Troye Sivan","Got Me Started"
55,"Teddy Swims","Lose Control"
56,"Flume","Never Be Like You (feat. KAI)"
