Shazam Top 50 Florence
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"ZERB & Sofiya Nzau","Mwaki"
2,"Teddy Swims","Lose Control"
3,"Mr.Rain & Clara","UN MILIONE DI NOTTI"
4,"Argy & Omnya","Aria"
5,"Articolo 31","UNA COSA BENE (feat. Coma_Cose)"
6,"GAIA","TOKYO"
7,"Rose Villain","IO, ME ED ALTRI GUAI"
8,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
9,"Calcutta","Giro con te"
10,"BLANCO","Bruciasse Il Cielo"
11,"Achille Lauro","Stupidi Ragazzi"
12,"Jack Harlow","Lovin On Me"
13,"Paola & Chiara","Solo Mai"
14,"Club Dogo & Elodie","Soli A Milano"
15,"Tate McRae","greedy"
16,"Paul Russell","Lil Boo Thang"
17,"Emma & Lazza","AMORE CANE"
18,"Annalisa","Euforia"
19,"Peggy Gou & Lenny Kravitz","I Believe In Love Again"
20,"Coez & Frah Quintale","Terra bruciata"
21,"Malia","MAIORCA . dimenticarci"
22,"Sfera Ebbasta & Elodie","Anche Stasera"
23,"Lewis Capaldi","Strangers"
24,"The Blessed Madonna","Mercy (feat. Jacob Lusk)"
25,"Lady Gaga","Hold My Hand"
26,"Bob Sinclar & Matia Bazar","Ti Sento (feat. Antonella Ruggiero)"
27,"Tyla","Water"
28,"Dua Lipa","Houdini"
29,"Jung Kook & Jack Harlow","3D"
30,"Elisa","Quando Nevica"
31,"Matia Bazar","Ti Sento"
32,"Post Malone","Enough Is Enough"
33,"Tony Brundo & Nico Bruno","Changed at All"
34,"Noah Kahan","Stick Season"
35,"Mida","MI ODIERAI"
36,"Billie Eilish","bury a friend"
37,"Imany","Wonderful Life (Stream Jockey Rework)"
38,"Tropico","Ubriachi di Vita"
39,"The Knocks & Sofi Tukker","One On One"
40,"Jim James","State Of The Art (A.E.I.O.U.)"
41,"The Handsome Family","Far from Any Road"
42,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
43,"Neena","Pare parecchio Parigi"
44,"The Rolling Stones","Mess It Up"
45,"Rhove & ANNA","Petit Fou Fou"
46,"Angelina Mango","Che t'o dico a fa'"
47,"Petit","Guagliò"
48,"Marco Mengoni","Un'Altra Storia (feat. Franco126)"
49,"Gianna Nannini","Silenzio"
50,"Get Far, LennyMendy & KEL","In Your Eyes (Tu Mi Hai Capito)"
