Shazam Top 200 Italy Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"ZERB & Sofiya Nzau","Mwaki"
2,"Teddy Swims","Lose Control"
3,"Ste","Red"
4,"Rose Villain","IO, ME ED ALTRI GUAI"
5,"Jack Harlow","Lovin On Me"
6,"Mr.Rain & Clara","UN MILIONE DI NOTTI"
7,"GAIA","TOKYO"
8,"Argy & Omnya","Aria"
9,"Articolo 31","UNA COSA BENE (feat. Coma_Cose)"
10,"Malia","MAIORCA . dimenticarci"
11,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
12,"Emma & Lazza","AMORE CANE"
13,"Achille Lauro","Stupidi Ragazzi"
14,"BLANCO","Bruciasse Il Cielo"
15,"Sfera Ebbasta & Elodie","Anche Stasera"
16,"Tate McRae","greedy"
17,"Calcutta","Giro con te"
18,"Club Dogo & Elodie","Soli A Milano"
19,"Paola & Chiara","Solo Mai"
20,"Peggy Gou & Lenny Kravitz","I Believe In Love Again"
21,"Mida","MI ODIERAI"
22,"Coez & Frah Quintale","Terra bruciata"
23,"Annalisa","Euforia"
24,"Paul Russell","Lil Boo Thang"
25,"Lady Gaga","Hold My Hand"
26,"Lewis Capaldi","Strangers"
27,"Bob Sinclar & Matia Bazar","Ti Sento (feat. Antonella Ruggiero)"
28,"Rhove & ANNA","Petit Fou Fou"
29,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
30,"Petit","Guagliò"
31,"Dua Lipa","Houdini"
32,"Artie 5ive & Rondodasosa","BOULEVARD"
33,"Sophie Ellis-Bextor","Murder On The Dancefloor"
34,"Jung Kook & Jack Harlow","3D"
35,"Tony Brundo & Nico Bruno","Changed at All"
36,"Elisa","Quando Nevica"
37,"Post Malone","Enough Is Enough"
38,"Calcutta","2minuti"
39,"Marco Mengoni","Un'Altra Storia (feat. Franco126)"
40,"The Blessed Madonna","Mercy (feat. Jacob Lusk)"
41,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
42,"The Knocks & Sofi Tukker","One On One"
43,"Ultimo","La stella più fragile dell'universo"
44,"Angelina Mango","Che t'o dico a fa'"
45,"Matia Bazar","Ti Sento"
46,"Tyla","Water"
47,"Francesca Michielin","Solite chiacchiere"
48,"Colapesce & Dimartino","Sesso e architettura"
49,"Vale Lambo","Baby U Want Me (feat. Geolier & Michelangelo)"
50,"Tropico","Ubriachi di Vita"
51,"Holden","NUVOLA"
52,"Mida","ROSSOFUOCO"
53,"PNAU & Empire of the Sun","AEIOU"
54,"Francesco Gabbani","Spazio tempo"
55,"Biagio Antonacci","A cena con gli dei"
56,"Bresh & Pinguini Tattici Nucleari","Nightmares"
57,"Alok & Bebe Rexha","Deep In Your Love"
58,"The Rolling Stones","Mess It Up"
59,"Noah Kahan","Stick Season"
60,"U2","Atomic City"
61,"OneRepublic","I Ain't Worried"
62,"Subsonica","Mattino di Luce"
63,"Tom Walker","Just You and I"
64,"Ultimo","OCCHI LUCIDI"
65,"Mahmood","COCKTAIL D'AMORE"
66,"BENNETT","Vois sur ton chemin (Techno Mix)"
67,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
68,"Tedua, Capo Plaza & SHUNE","Parole Vuote (La Solitudine)"
69,"cassö, RAYE & D-Block Europe","Prada"
70,"Edward Maya & Vika Jigulina","Stereo Love"
71,"Sia","Gimme Love"
72,"Jennifer Lopez","Can't Get Enough"
73,"Billie Eilish","bury a friend"
74,"Gianna Nannini","Silenzio"
75,"Yamê","Bécane - A Colors Show"
76,"*NSYNC & Justin Timberlake","Better Place (From TROLLS Band Together)"
77,"Scarlett Johansson & Bono","I Still Haven’t Found What I’m Looking For (From Sing 2)"
78,"Iñigo Quintero","Si No Estás"
79,"Reneé Rapp & Megan Thee Stallion","Not My Fault"
80,"Liam Gallagher & John Squire","Just Another Rainbow"
81,"Club Dogo & Marracash","Nato Per Questo"
