Shazam Top 50 Milan
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"ZERB & Sofiya Nzau","Mwaki"
2,"Teddy Swims","Lose Control"
3,"Argy & Omnya","Aria"
4,"Rose Villain","IO, ME ED ALTRI GUAI"
5,"Club Dogo & Elodie","Soli A Milano"
6,"Jack Harlow","Lovin On Me"
7,"GAIA","TOKYO"
8,"Mr.Rain & Clara","UN MILIONE DI NOTTI"
9,"Articolo 31","UNA COSA BENE (feat. Coma_Cose)"
10,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
11,"Malia","MAIORCA . dimenticarci"
12,"Tate McRae","greedy"
13,"BLANCO","Bruciasse Il Cielo"
14,"Emma & Lazza","AMORE CANE"
15,"Achille Lauro","Stupidi Ragazzi"
16,"Paola & Chiara","Solo Mai"
17,"Calcutta","Giro con te"
18,"Sfera Ebbasta & Elodie","Anche Stasera"
19,"Peggy Gou & Lenny Kravitz","I Believe In Love Again"
20,"Coez & Frah Quintale","Terra bruciata"
21,"Annalisa","Euforia"
22,"Paul Russell","Lil Boo Thang"
23,"Jim James","State Of The Art (A.E.I.O.U.)"
24,"Billie Eilish","bury a friend"
25,"Bob Sinclar & Matia Bazar","Ti Sento (feat. Antonella Ruggiero)"
26,"Mida","MI ODIERAI"
27,"Noah Kahan","Stick Season"
28,"The Knocks & Sofi Tukker","One On One"
29,"Rhove & ANNA","Petit Fou Fou"
30,"Petit","Guagliò"
31,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
32,"Lewis Capaldi","Strangers"
33,"Jung Kook & Jack Harlow","3D"
34,"Francesca Michielin","Solite chiacchiere"
35,"Lady Gaga","Hold My Hand"
36,"Francesco Gabbani","Spazio tempo"
37,"Dua Lipa","Houdini"
38,"Angelina Mango","Che t'o dico a fa'"
39,"Elisa","Quando Nevica"
40,"Tony Brundo & Nico Bruno","Changed at All"
41,"Tyla","Water"
42,"Post Malone","Enough Is Enough"
43,"The Rolling Stones","Mess It Up"
44,"Subsonica","Mattino di Luce"
45,"The Handsome Family","Far from Any Road"
46,"Biagio Antonacci","A cena con gli dei"
47,"Alok & Bebe Rexha","Deep In Your Love"
48,"Matia Bazar","Ti Sento"
49,"Imany","Wonderful Life (Stream Jockey Rework)"
50,"Ultimo","La stella più fragile dell'universo"
