Shazam Top 50 Naples
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"ZERB & Sofiya Nzau","Mwaki"
2,"Ste","Red"
3,"Teddy Swims","Lose Control"
4,"Mr.Rain & Clara","UN MILIONE DI NOTTI"
5,"Calcutta","Giro con te"
6,"Emma & Lazza","AMORE CANE"
7,"Achille Lauro","Stupidi Ragazzi"
8,"GAIA","TOKYO"
9,"Sfera Ebbasta & Elodie","Anche Stasera"
10,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
11,"BLANCO","Bruciasse Il Cielo"
12,"Jack Harlow","Lovin On Me"
13,"Rose Villain","IO, ME ED ALTRI GUAI"
14,"Articolo 31","UNA COSA BENE (feat. Coma_Cose)"
15,"Paola & Chiara","Solo Mai"
16,"Malia","MAIORCA . dimenticarci"
17,"Peggy Gou & Lenny Kravitz","I Believe In Love Again"
18,"Argy & Omnya","Aria"
19,"Tyla","Water"
20,"Ultimo","La stella più fragile dell'universo"
21,"Petit","Guagliò"
22,"Valentina Stella","Stamme ancora ccà (feat. Andrea Sannino)"
23,"Bob Sinclar & Matia Bazar","Ti Sento (feat. Antonella Ruggiero)"
24,"Mida","MI ODIERAI"
25,"Tate McRae","greedy"
26,"Paul Russell","Lil Boo Thang"
27,"Coez & Frah Quintale","Terra bruciata"
28,"Annalisa","Euforia"
29,"Tony Brundo & Nico Bruno","Changed at All"
30,"Lady Gaga","Hold My Hand"
31,"The Blessed Madonna","Mercy (feat. Jacob Lusk)"
32,"Jung Kook & Jack Harlow","3D"
33,"Lewis Capaldi","Strangers"
34,"Marco Mengoni","Un'Altra Storia (feat. Franco126)"
35,"Dua Lipa","Houdini"
36,"Club Dogo & Elodie","Soli A Milano"
37,"Calcutta","2minuti"
38,"Biagio Antonacci","A cena con gli dei"
39,"Roberta Tondelli","Non Ti so Rinunciare"
40,"Mahmood","COCKTAIL D'AMORE"
41,"Elisa","Quando Nevica"
42,"Lexa Hill","Anikana-O (Extended Mix)"
43,"Wakyin","Beso (Fruta Fresca) [feat. Carlos Vives]"
44,"Colapesce & Dimartino","Sesso e architettura"
45,"Matia Bazar","Ti Sento"
46,"Post Malone","Enough Is Enough"
47,"Angelina Mango","Che t'o dico a fa'"
48,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
49,"Holden","NUVOLA"
50,"PNAU & Empire of the Sun","AEIOU"
