Shazam Top 50 Palermo
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"ZERB & Sofiya Nzau","Mwaki"
2,"Teddy Swims","Lose Control"
3,"Mr.Rain & Clara","UN MILIONE DI NOTTI"
4,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
5,"Emma & Lazza","AMORE CANE"
6,"Achille Lauro","Stupidi Ragazzi"
7,"GAIA","TOKYO"
8,"Rose Villain","IO, ME ED ALTRI GUAI"
9,"BLANCO","Bruciasse Il Cielo"
10,"Malia","MAIORCA . dimenticarci"
11,"Argy & Omnya","Aria"
12,"Articolo 31","UNA COSA BENE (feat. Coma_Cose)"
13,"Jack Harlow","Lovin On Me"
14,"Sfera Ebbasta & Elodie","Anche Stasera"
15,"Calcutta","Giro con te"
16,"Lewis Capaldi","Strangers"
17,"Peggy Gou & Lenny Kravitz","I Believe In Love Again"
18,"Paola & Chiara","Solo Mai"
19,"Ste","Red"
20,"Mida","MI ODIERAI"
21,"Ultimo","La stella più fragile dell'universo"
22,"Tate McRae","greedy"
23,"Bob Sinclar & Matia Bazar","Ti Sento (feat. Antonella Ruggiero)"
24,"Coez & Frah Quintale","Terra bruciata"
25,"Annalisa","Euforia"
26,"Paul Russell","Lil Boo Thang"
27,"Tony Brundo & Nico Bruno","Changed at All"
28,"Lady Gaga","Hold My Hand"
29,"Calcutta","2minuti"
30,"Elisa","Quando Nevica"
31,"Petit","Guagliò"
32,"Club Dogo & Elodie","Soli A Milano"
33,"Marco Mengoni","Un'Altra Storia (feat. Franco126)"
34,"Rhove & ANNA","Petit Fou Fou"
35,"Jung Kook & Jack Harlow","3D"
36,"Colapesce & Dimartino","Sesso e architettura"
37,"Dua Lipa","Houdini"
38,"Francesca Michielin","Solite chiacchiere"
39,"Post Malone","Enough Is Enough"
40,"Mahmood","COCKTAIL D'AMORE"
41,"Holden","NUVOLA"
42,"Matia Bazar","Ti Sento"
43,"Biagio Antonacci","A cena con gli dei"
44,"Tropico","Ubriachi di Vita"
45,"Ultimo","OCCHI LUCIDI"
46,"The Blessed Madonna","Mercy (feat. Jacob Lusk)"
47,"Tom Walker","Just You and I"
48,"Takagi & Ketra","EVERYDAY (feat. Shiva, ANNA & Geolier)"
49,"Jennifer Lopez","Can't Get Enough"
50,"Bresh & Pinguini Tattici Nucleari","Nightmares"
