Shazam Top 50 Rome
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"ZERB & Sofiya Nzau","Mwaki"
2,"Teddy Swims","Lose Control"
3,"Mr.Rain & Clara","UN MILIONE DI NOTTI"
4,"GAIA","TOKYO"
5,"Rose Villain","IO, ME ED ALTRI GUAI"
6,"Articolo 31","UNA COSA BENE (feat. Coma_Cose)"
7,"Calcutta","Giro con te"
8,"Achille Lauro","Stupidi Ragazzi"
9,"BLANCO","Bruciasse Il Cielo"
10,"Sfera Ebbasta & Elodie","Anche Stasera"
11,"Emma & Lazza","AMORE CANE"
12,"Peggy Gou & Lenny Kravitz","I Believe In Love Again"
13,"Annalisa","Euforia"
14,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
15,"Jack Harlow","Lovin On Me"
16,"Coez & Frah Quintale","Terra bruciata"
17,"Paola & Chiara","Solo Mai"
18,"Tate McRae","greedy"
19,"Marco Mengoni","Un'Altra Storia (feat. Franco126)"
20,"Lewis Capaldi","Strangers"
21,"Malia","MAIORCA . dimenticarci"
22,"Paul Russell","Lil Boo Thang"
23,"Mida","MI ODIERAI"
24,"Jung Kook & Jack Harlow","3D"
25,"Jim James","State Of The Art (A.E.I.O.U.)"
26,"Argy & Omnya","Aria"
27,"Tony Brundo & Nico Bruno","Changed at All"
28,"Calcutta","2minuti"
29,"Club Dogo & Elodie","Soli A Milano"
30,"Billie Eilish","bury a friend"
31,"Bob Sinclar & Matia Bazar","Ti Sento (feat. Antonella Ruggiero)"
32,"Elisa","Quando Nevica"
33,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
34,"Bresh & Pinguini Tattici Nucleari","Nightmares"
35,"Francesco Gabbani","Spazio tempo"
36,"Angelina Mango","Che t'o dico a fa'"
37,"The Knocks & Sofi Tukker","One On One"
38,"Lady Gaga","Hold My Hand"
39,"Holden","NUVOLA"
40,"Leonard Cohen","Dance Me to the End of Love (Live)"
41,"Colapesce & Dimartino","Sesso e architettura"
42,"Imany","Wonderful Life (Stream Jockey Rework)"
43,"Matia Bazar","Ti Sento"
44,"Tropico","Ubriachi di Vita"
45,"The Blessed Madonna","Mercy (feat. Jacob Lusk)"
46,"*NSYNC & Justin Timberlake","Better Place (From TROLLS Band Together)"
47,"Dua Lipa","Houdini"
48,"Ste","Red"
49,"Mida","ROSSOFUOCO"
50,"Tyla","Water"
