Shazam Top 50 Turin
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"ZERB & Sofiya Nzau","Mwaki"
2,"Teddy Swims","Lose Control"
3,"Rose Villain","IO, ME ED ALTRI GUAI"
4,"GAIA","TOKYO"
5,"Argy & Omnya","Aria"
6,"Articolo 31","UNA COSA BENE (feat. Coma_Cose)"
7,"Club Dogo & Elodie","Soli A Milano"
8,"Jack Harlow","Lovin On Me"
9,"Mr.Rain & Clara","UN MILIONE DI NOTTI"
10,"Emma & Lazza","AMORE CANE"
11,"BLANCO","Bruciasse Il Cielo"
12,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
13,"Malia","MAIORCA . dimenticarci"
14,"Achille Lauro","Stupidi Ragazzi"
15,"Sfera Ebbasta & Elodie","Anche Stasera"
16,"Annalisa","Euforia"
17,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
18,"Calcutta","Giro con te"
19,"Paola & Chiara","Solo Mai"
20,"Lady Gaga","Hold My Hand"
21,"Peggy Gou & Lenny Kravitz","I Believe In Love Again"
22,"Tate McRae","greedy"
23,"Lewis Capaldi","Strangers"
24,"The Knocks & Sofi Tukker","One On One"
25,"Coez & Frah Quintale","Terra bruciata"
26,"Mida","MI ODIERAI"
27,"Noah Kahan","Stick Season"
28,"Mida","ROSSOFUOCO"
29,"PNAU & Empire of the Sun","AEIOU"
30,"Subsonica","Mattino di Luce"
31,"Dua Lipa","Houdini"
32,"Paul Russell","Lil Boo Thang"
33,"Francesca Michielin","Solite chiacchiere"
34,"Tony Brundo & Nico Bruno","Changed at All"
35,"Bob Sinclar & Matia Bazar","Ti Sento (feat. Antonella Ruggiero)"
36,"Elisa","Quando Nevica"
37,"Rhove & ANNA","Petit Fou Fou"
38,"Alok & Bebe Rexha","Deep In Your Love"
39,"Emanuele Aloia","Si è spenta anche la luna - LUNA"
40,"The Rolling Stones","Mess It Up"
41,"Jung Kook & Jack Harlow","3D"
42,"Felix Jaehn & Leony","Waking Up"
43,"Calcutta","2minuti"
44,"Petit","Guagliò"
45,"Colapesce & Dimartino","Sesso e architettura"
46,"Jim James","State Of The Art (A.E.I.O.U.)"
47,"Tropico","Ubriachi di Vita"
48,"Francesco Gabbani","Spazio tempo"
49,"Billie Eilish","bury a friend"
50,"Post Malone","Enough Is Enough"
