Shazam Top 50 Venice
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"ZERB & Sofiya Nzau","Mwaki"
2,"Teddy Swims","Lose Control"
3,"Argy & Omnya","Aria"
4,"Jack Harlow","Lovin On Me"
5,"GAIA","TOKYO"
6,"Rose Villain","IO, ME ED ALTRI GUAI"
7,"Club Dogo & Elodie","Soli A Milano"
8,"BENNETT","Vois sur ton chemin (Techno Mix)"
9,"Tate McRae","greedy"
10,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
11,"Mr.Rain & Clara","UN MILIONE DI NOTTI"
12,"Mida","ROSSOFUOCO"
13,"Sfera Ebbasta & Elodie","Anche Stasera"
14,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
15,"Articolo 31","UNA COSA BENE (feat. Coma_Cose)"
16,"Peggy Gou & Lenny Kravitz","I Believe In Love Again"
17,"Paola & Chiara","Solo Mai"
18,"BLANCO","Bruciasse Il Cielo"
19,"Coez & Frah Quintale","Terra bruciata"
20,"Achille Lauro","Stupidi Ragazzi"
21,"Tropico","Ubriachi di Vita"
22,"Bob Sinclar & Matia Bazar","Ti Sento (feat. Antonella Ruggiero)"
23,"Lady Gaga","Hold My Hand"
24,"Calcutta","Giro con te"
25,"Francesca Michielin","Solite chiacchiere"
26,"Paul Russell","Lil Boo Thang"
27,"Dua Lipa","Houdini"
28,"Elisa","Quando Nevica"
29,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
30,"Rhove & ANNA","Petit Fou Fou"
31,"Annalisa","Euforia"
32,"Malia","MAIORCA . dimenticarci"
33,"Emma & Lazza","AMORE CANE"
34,"Myke Towers","LA FALDA"
35,"Lewis Capaldi","Strangers"
36,"Billie Eilish","bury a friend"
37,"Jennifer Lopez","Can't Get Enough"
38,"The Blessed Madonna","Mercy (feat. Jacob Lusk)"
39,"Lynyrd Skynyrd","Simple Man"
40,"Biagio Antonacci","A cena con gli dei"
41,"Angelina Mango","Che t'o dico a fa'"
42,"Takagi & Ketra","EVERYDAY (feat. Shiva, ANNA & Geolier)"
43,"Subsonica","Mattino di Luce"
44,"Alok & Bebe Rexha","Deep In Your Love"
45,"Colapesce & Dimartino","Sesso e architettura"
46,"Mida","MI ODIERAI"
47,"Imany","Wonderful Life (Stream Jockey Rework)"
48,"Noah Kahan","Stick Season"
49,"Post Malone","Enough Is Enough"
50,"Jung Kook & Jack Harlow","3D"
