Shazam Top 200 Ivory Coast Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Tam Sir","Coup du marteau (feat. Team Paiya, Ste Milano, Renard Barakissa, Tazeboy & PSK)"
2,"Dadju & Tayc","I love you"
3,"TEAM DÉCALÉ","Ambiance"
4,"RJ Kanierra","Tia"
5,"Kizz Daniel","Twe Twe"
6,"Isaac BUKASA","Les bontés de l’Éternel"
7,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
8,"Le Collectif Biama, Renard Barakissa, Khadirov Mania, Peroo, Kim Gavario & Azazou Satelite","Life pour la coupe d'afrique"
9,"Yodé & Siro & Abome Lelefant","La CAN c'est chez nous"
10,"Fior 2 Bior","CAN 2024 CHAUFFEZ (feat. Lil Jay Bingerack)"
11,"Magic System, Yemi Alade & محمد رمضان","Akwaba"
12,"Bass Thioung","Louy Problème Bi ?"
13,"Yamê","Bécane - A Colors Show"
14,"Asake","Lonely At The Top"
15,"Gazo & Tiakola","CARTIER"
16,"Veekto","Twee Twee"
17,"ISMO","Ils Ont Peur (feat. Menop, Judo & Jd)"
18,"Paulo Chakal","Y'a Dieu dedans (feat. Didi B)"
19,"Peroo & Renard Barakissa","Maman matchôtchô"
20,"Omah Lay","Holy Ghost"
21,"Lil Jay Bingerack","Moncler"
22,"KCee","Ojapiano"
23,"Le Créateur","Garant aux éléphants"
24,"Gazo & Tiakola","MAMI WATA"
25,"Youngdzee & Youngjnoni","Give Me Love (Speed up)"
26,"3xdavs","AMERICAINE"
27,"Marho","Femme Claire"
28,"Kaneki, Ninho & Naps","Blue"
29,"Tyla","Water"
30,"Ste Milano","Vroum! Vroum!"
31,"Magic System & éléphants CI","Eléphants"
32,"Dadju & Tayc","Makila : Wablé"
33,"Mayo","Bectance (feat. Ninho)"
34,"Zadi The King","Bossu"
35,"Doja Cat","Agora Hills"
36,"Chouchou Salvador","Debout couler"
37,"Slyonthebeat, Jr La Melo & 3xdav's","Gbon gbon (Remix)"
38,"Ali Gatie","What If I Told You That I Love You"
39,"Jeady Jay","Truc en plus / Hold You (Medley)"
40,"El Jay & Didi B","Tout Laisse"
41,"Himra & SK 07","Toi As Dit"
42,"Dydy Yeman","La Pression"
43,"Ste Milano","VROUM VROUM"
44,"Chris Brown","Angel Numbers / Ten Toes"
45,"DJ KEROZEN","Arc de triomphe (feat. Didi B)"
46,"Fally Ipupa","Mungala"
47,"Omah Lay","Bad Influence"
48,"Iba Montana","Gangsta"
49,"Josey","Cote d'ivoire"
50,"Fally Ipupa","Alliance"
51,"Ruger","Asiwaju"
52,"Alec Benjamin","Let Me Down Slowly"
53,"Marvel","Don't Let Me Down"
54,"Roseline Layo","Elotognan"
55,"Diamond Platnumz","Shu! (feat. Chley)"
56,"Dorty","Comment comment (feat. Black K) [Rmx Afro Beats Ivoire 1]"
57,"Dydy Yeman","Faut déposer (Dingriii !!) [feat. Maa Bio]"
58,"Ninho & Omah Lay","Bad"
59,"Krys M","Il va donner pour moi"
60,"Lil Jay Bingerack","Baoulé Superstar"
61,"Medzø","Geres"
62,"Omah Lay","soso"
63,"Jungeli & DYSTINCT","Rashel"
64,"Fally Ipupa","Mal accompagné"
65,"Fally Ipupa","Afsana"
66,"Merveille","Ghetto"
67,"Emma'a","Toi d'abord"
68,"Merveille","Citadelle"
69,"Black K","En Kabato (feat. Team de Poy & AB LE SUPERMAN)"
70,"Fally Ipupa","SL"
71,"Favé","Flashback (feat. Gazo)"
72,"Afara Tsena","Afro Mbokalisation"
73,"Kamo Mphela, Tyler ICU & Khalil Harrison","Dalie (feat. Baby S.O.N)"
74,"Alan Cavé","Se Pa Pou Dat"
75,"Chike & MohBad","Egwu"
76,"MohBad","Ronaldo"
77,"Exo Le Karismatik","Mon maillot (feat. Capo Le Zeleral, Prodo, Le Pambele & BM)"
78,"Fally Ipupa","Boulé"
79,"Ayra Starr","Rush"
80,"Iñigo Quintero","Si No Estás"
81,"SCHADRAC LOMAN","Il y'a une prophétie"
82,"Vda","Zouzouwôwô"
83,"Zagazougou","Djan Fa"
84,"Kabral & Bovann","Ma décision"
85,"Josey","VENEZ BOUGER"
86,"Conor Maynard","Someone You Loved"
87,"Ninho & Ayra Starr","No love"
88,"Dr. Keb","Allez les aigles"
89,"Fireboy DML & Asake","Bandana"
90,"Anaconda 512","On me guette"
91,"Lil Durk","All My Life (feat. J. Cole)"
92,"Tyler ICU & Tumelo.za","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)"
93,"MPUTU MEYA","Loketo (feat. Rebo Tchulo & Innoss'B) [Remix]"
