Shazam Top 200 Japan Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Number_i","Goat"
2,"Creepy Nuts","Bling-Bang-Bang-Born"
3,"tuki.","Bansanka"
4,"VAUNDY","Time Paradox"
5,"swetty","Junkie"
6,"J.Tajor","Like I Do"
7,"Ai Tomioka","Good Bye-Bye"
8,"JIN","The Astronaut"
9,"03- Performance & Rommy Montana","03- Cypher 2023 (feat. Watson, ChaoChao, Lunv Loyal, Bene Baby, JAKEN & Yvng Patra)"
10,"Cascada","Everytime We Touch"
11,"Chika Fujiwara","The Way I Still Love You"
12,"Yorushika","Sunny"
13,"Hikaru Utada","Michi"
14,"JO1","Your Key"
15,"Marcy","Love Song"
16,"Christell","Dubidubidu"
17,"Ryokuoushoku Shakai","Be a flower"
18,"Mrs. Green Apple","Nachtmusik"
19,"Ariana Grande","yes, and?"
20,"OFFICIAL HIGE DANDISM","Soulsoup"
21,"LE SSERAFIM","Perfect Night"
22,"go!go!vanillas","Shake"
23,"Kroi","Sesame"
24,"Hannah Montana","You'll Always Find Your Way Back Home"
25,"Bokugamitakattaaozora","Sotsugyomade"
26,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
27,"Coldplay","Viva La Vida"
28,"Tomonari Sora","Demons Banquet"
29,"21 Savage","redrum"
30,"Jung Kook & Latto","Seven"
31,"UMI & V","wherever u r"
32,"Gucci Prince","FXXKED UP (feat. week dudus, Tade Dust & Bonbero)"
33,"RADWIMPS","Cocorononaca (Complete Version)"
34,"YOASOBI","Gunjou"
35,"MY FIRST STORY","I'm a Mess"
36,"Jung Kook","Standing Next to You"
37,"Riria.","Saigo No Bye Bye."
38,"Fujii Kaze","Hana"
39,"VAUNDY","hanauranai"
40,"Eve","Pray"
41,"SKRYU","Izakaya (feat. Tokkuri)"
42,"IMP.","I Got It"
43,"Hiroji Miyamoto","Woman From "W No Higeki""
44,"Sugar Goose","Yozora"
45,"King Gnu","SPECIALZ"
46,"Mrs. Green Apple","Soranji"
47,"Masaharu Fukuyama","Soubou"
48,"illion","Gasshow"
49,"Tatsuya Kitani","Where Our Blue Is"
50,"Doja Cat","Paint The Town Red"
51,"Ado","Show"
52,"Katya Lel","Мой мармеладный (Я не права)"
53,"SEKAI NO OWARI","The Peak"
54,"PEDRO","Shunkasyuutou"
55,"Ano","You&I Heaven"
56,"Koresawa","My Life"
57,"SHISHAMO","top speed"
58,"Doja Cat","Agora Hills"
59,"Pmarusama","MOTTAI"
60,"Masanori Otoda","fake face dance music"
61,"AUDREY NUNA","Locket"
62,"Tyla","Water"
63,"Steelix","Lay It Down"
64,"Wemma","Mist! (feat. Curi)"
65,"Hitsujibungaku","more than words"
66,"XG","WINTER WITHOUT YOU"
67,"Harukamirai","to be continued"
68,"Tate McRae","greedy"
69,"PONCHET","พี่ชอบหนูที่สุดเลย (feat. วาลิน) [Sped Up Version]"
70,"Rkid'z","Himawari"
71,"Shy Taupe","Rendez-Vous"
72,"YOASOBI","The Brave"
73,"Jack Harlow","Lovin On Me"
74,"Ryan Mack","I Should Have Stayed at Home"
75,"Henry Moodie","pick up the phone"
76,"18stop & Rommy Montana","Cold Town"
77,"THE YELLOW MONKEY","Hotel Neutrino"
78,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
79,"wacci","Aiwakusuri"
80,"Retroriron","Tomodachi"
81,"NEXZ","Miracle"
82,"Olivia Rodrigo","vampire"
83,"TAEYEON","To. X"
84,"Re:name","24/7"
85,"YU-KA","Hoshizukiyo"
86,"Jung Kook & Jack Harlow","3D"
87,"BE:FIRST","Mainstream"
88,"Meghan Trainor","NO"
89,"Not Equal Me","Anti Confiture"
90,"YOASOBI","Idol"
91,"NewJeans","Ditto"
92,"Mahiru & RINZO","Fragrance"
93,"TEN'S UNIQUE, KAYA, JAMS ONE, BEAR B & 1LAW","Real Love"
94,"Stacey Q","Two of Hearts"
95,"10-FEET","Dai Zero Kan"
96,"K.E.I","Vacation"
97,"YUI","Gloria (Instrumental)"
98,"Beyoncé","Single Ladies (Put a Ring on It)"
99,"easy life","nightmares"
100,"VAUNDY","Kaiju no Hanauta - replica -"
101,"Mark Ronson","Uptown Funk (feat. Bruno Mars)"
102,"Billie Eilish","ocean eyes"
103,"Bruno Mars","Runaway Baby"
104,"Paul Russell","Lil Boo Thang"
105,"Taylor Swift","Cruel Summer"
106,"QWER","Discord"
107,"TOMOO","Super Ball"
108,"Noa","Any Angle"
109,"BUMP OF CHICKEN","Sleep Walking Orchestra"
110,"Clean Bandit","Rather Be (feat. Jess Glynne)"
111,"BOL4","You(=I)"
112,"BABYMONSTER","BATTER UP"
113,"BTS","Jamais Vu"
114,"edhiii boi","Friends"
115,"Shawn Mendes","There's Nothing Holdin' Me Back"
116,"Little Glee Monster","Kurenai"
117,"Justin Bieber","Beauty and a Beat (feat. Nicki Minaj)"
118,"Chaka Khan","Through the Fire"
119,"ACIDMAN","Shining"
120,"Kvi Baba","Luv Myself (feat. Aklo & Keiju)"
121,"Gen Hoshino","Why"
122,"Måneskin","I WANNA BE YOUR SLAVE"
123,"JAPANDEE & MIT","CALL OF SILENCE x AKUMA NO KO"
124,"ANGERME","RED LINE"
125,"Awesome City Club","hikari"
126,"Uru","Ambivalent"
127,"Rise Against","Savior"
128,"Kenya Grace","Strangers"
129,"Jimin","Closer Than This"
130,"Kim Jong Kook","사랑스러워"
131,"T.I.","Bring Em Out"
132,"Nogizaka46","Monopoly"
133,"ORβIT","Bull's Eye"
134,"tuki.","Bansanka (Acoustic Version)"
135,"The Weeknd","Die For You"
136,"LANY","Home Is Where The Hurt Is"
137,"Namedarumaaz","Feel or Beef Badpop Is Dead"
138,"Gracie Abrams","21"
139,"Chanmina","Best Boy Friend"
140,"Jess Glynne","Hold My Hand"
141,"JO1","WOW WAR TONIGHT ～時には起こせよムーヴメント(JO1 ver.)"
142,"YUKI","8"
143,"Mrs. Green Apple","Start"
144,"OFFICIAL HIGE DANDISM","Subtitle"
145,"Dua Lipa","Houdini"
146,"SawanoHiroyuki[nZk]","LEveL (feat. TOMORROW X TOGETHER)"
147,"lil diva","Remember (feat. Minto)"
148,"Ed Sheeran","Shape of You"
149,"FIRE SUZUKI","Kutabare"
150,"Lucy Rose","Could You Help Me"
151,"Loco & Punch","Say Yes"
152,"BALLISTIK BOYZ from EXILE TRIBE","N.E.X.T."
153,"One Direction","What Makes You Beautiful"
154,"Rinne","snow jam"
155,"Charlie Puth","I Don’t Think That I Like Her"
156,"TEN'S UNIQUE","Fall in Love"
157,"Mrs. Green Apple","Magic"
158,"Travis Japan","LEVEL UP"
159,"The Weeknd","Blinding Lights"
160,"Yoari","TRUE"
161,"bbno$","edamame (feat. Rich Brian)"
162,"Albert Connor","Hanamizuki (feat. Yo Hitoto) [Cover] [Remix]"
163,"Taiyouzoku","Happy Birthday"
164,"Sunstroke Project","Run Away (feat. Olia Tira)"
165,"Tota","Tsumugu"
166,"milet","Anytime Anywhere"
167,"TOMOO","Grapefruit Moon"
168,"Watson","Fake Love (feat. DADA)"
169,"Watson","Hokori"
170,"Bruno Mars","Just the Way You Are"
171,"Doechii","What It Is (Block Boy) [feat. Kodak Black]"
172,"JIN","Super Tuna"
173,"倉木麻衣","Y☺u & I"
174,"BLACKPINK","As If It's Your Last"
175,"ZIPANG OPERA","Get Over"
176,"RIIZE","Get A Guitar"
177,"Reynard Silva","The Way I Still Love You"
178,"Alicia Keys","If I Ain't Got You"
179,"5 Seconds of Summer","Teeth"
180,"YOASOBI","HEART BEAT"
181,"AYANE","Gomenne"
182,"Ed Sheeran","Thinking Out Loud"
183,"Jimin","Like Crazy"
184,"Atarayo","I am..."
185,"PinkPantheress","Nice to meet you (feat. Central Cee)"
186,"J. Dash","Wop (Official Version)"
187,"Avril Lavigne","Girlfriend"
188,"docsin","Docsin To Lunch"
189,"Novelbright","Sound of Snow"
190,"Egu-Splosion","千利休"
191,"фрози & joyful","Bounce (I Just Wanna Dance)"
192,"Ketsumeishi","We GO"
193,"ITZY","UNTOUCHABLE"
194,"Eurythmics","Sweet Dreams (Are Made of This)"
195,"JIN","Tonight"
196,"Ariana DeBose & Disney","This Wish"
197,"347aidan","MEMORIES!"
198,"WANDS","愛を叫びたい"
199,"Ariana Grande","Everyday (feat. Future)"
200,"Lil Durk","All My Life (feat. J. Cole)"
