Shazam Top 50 Osaka
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Number_i","Goat"
2,"Creepy Nuts","Bling-Bang-Bang-Born"
3,"VAUNDY","Time Paradox"
4,"tuki.","Bansanka"
5,"Ai Tomioka","Good Bye-Bye"
6,"Kroi","Sesame"
7,"JO1","Your Key"
8,"Mrs. Green Apple","Nachtmusik"
9,"OFFICIAL HIGE DANDISM","Soulsoup"
10,"Ariana Grande","yes, and?"
11,"Marcy","Love Song"
12,"go!go!vanillas","Shake"
13,"Ryokuoushoku Shakai","Be a flower"
14,"Little Glee Monster","Kurenai"
15,"Yorushika","Sunny"
16,"UMI & V","wherever u r"
17,"Bokugamitakattaaozora","Sotsugyomade"
18,"VAUNDY","hanauranai"
19,"Hiroko Yakushimaru","Kimi to Watashi no Uta (feat. LIBERA)"
20,"YOASOBI","Gunjou"
21,"Jung Kook & Latto","Seven"
22,"Hiroji Miyamoto","Woman From "W No Higeki""
23,"TOMOO","Super Ball"
24,"Masaharu Fukuyama","Soubou"
25,"Ado","Show"
26,"Doja Cat","Paint The Town Red"
27,"LE SSERAFIM","Perfect Night"
28,"Tatsuya Kitani","Where Our Blue Is"
29,"MY FIRST STORY","I'm a Mess"
30,"Fujii Kaze","Hana"
31,"The Last Dinner Party","My Lady of Mercy"
32,"Coldplay","Viva La Vida"
33,"RADWIMPS","Cocorononaca (Complete Version)"
34,"Shy Taupe","Rendez-Vous"
35,"Ano","You&I Heaven"
36,"10-FEET","Dai Zero Kan"
37,"Jung Kook","Standing Next to You"
38,"King Gnu","SPECIALZ"
39,"IMP.","I Got It"
40,"Chaka Khan","Through the Fire"
41,"Rkid'z","Himawari"
42,"Black Eyed Peas","Where Is The Love?"
43,"SHISHAMO","top speed"
44,"Ketsumeishi","We GO"
45,"Olivia Rodrigo","vampire"
46,"Hitsujibungaku","more than words"
47,"BUMP OF CHICKEN","Sleep Walking Orchestra"
48,"Ed Sheeran","Shivers"
49,"Lucy Rose","Could You Help Me"
50,"Eve","Pray"
