Shazam Top 200 Kazakhstan Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Jax (02.14) & Nel (02.14)","Зая"
2,"Asik","Клятвы"
3,"Russ","I Love You Boy"
4,"Nikos Band","Georgian Disco (Live)"
5,"Cleffy","Meet you at the Graveyard"
6,"V $ X V PRiNCE","Hey Papa"
7,"Don Omar","Virtual Diva"
8,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
9,"Neki, ALEMOND & Xcho","Моя"
10,"ADAM","Zhurek"
11,"Sherine","Sabry 'Aalil"
12,"Skryptonite & FEDUK","Аста ла виста"
13,"Stromae","Formidable"
14,"Yamê","Bécane - A Colors Show"
15,"Lx24","Лунная"
16,"Baga","7:00"
17,"Kendrick Lamar","Swimming Pools (Drank)"
18,"AIHAN","Тонкая нить"
19,"Sasha Santa","Счастливыми"
20,"Халиф Атуев","Ва Марьяна"
21,"Tate McRae","greedy"
22,"Guf & A.V.G","Спонсор твоих проблем"
23,"Cartel de Santa","Shorty Party (feat. La Kelly)"
24,"Аль Nasr","Дала Ерлері (feat. Райм)"
25,"Loreen","Tattoo"
26,"Guf, Baller & V $ X V PRiNCE","ШАРАУТ"
27,"Gillette","Shake Your Money Maker"
28,"ZERB & Sofiya Nzau","Mwaki"
29,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
30,"Marenberg Kollektiv","Sun Goes Down"
31,"Mary J. Blige","Family Affair"
32,"лампабикт & Элли на маковом поле","немерено"
33,"Kim Petras","XXX"
34,"АИГЕЛ","Пыяла"
35,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
36,"Timbaland","The Way I Are (feat. Keri Hilson & D.O.E.)"
37,"Xamdam Sobirov","Janze"
38,"LXNGVX","Montagem Mysterious Game"
39,"Diana Ismail","Kezdeser"
40,"Miyagi & Эндшпиль","Круговорот"
41,"Gassyr & Qanat","Maqta Qyz"
42,"Ицык Цыпер","Нефертити (feat. Игорь Цыба)"
43,"21 Savage","redrum"
44,"Диета.KZ","Ләйлә 2"
45,"MACAN & SCIRENA","IVL"
46,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
47,"JANAGA","По сути"
48,"Castle","Control (feat. Эндшпиль)"
49,"shometyle","Alien Flame"
50,"Miyagi & Эндшпиль","Голгофа"
51,"Kenya Grace","Strangers"
52,"DemAir","Korikti"
53,"JANAGA & Sevak","На грани"
54,"Inna","Hot"
55,"Artik & Asti","Мне не нужны"
56,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
57,"Qarakesek","Қою"
58,"Basta & HammAli & Navai","Где ты теперь и с кем"
59,"Edward Maya & Vika Jigulina","Stereo Love"
60,"Alok & Alan Walker","Headlights (feat. KIDDO)"
61,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
62,"The Kolors","ITALODISCO"
63,"QARAKESEK","Сүйікті етші (Cover)"
64,"Clams Casino & Imogen Heap","I'm God"
65,"Doja Cat","Paint The Town Red"
66,"Jengi","Bel Mercy"
67,"Lady Gaga","Bloody Mary"
68,"Ace of Base","Happy Nation"
69,"Dosekesh","Zhañbyr"
70,"Wenzl McGowen & Enisa","Disco Cone (Take It High)"
71,"Roza Filberg","В белом самолете"
72,"Ara Martirosyan","Моя"
73,"Moya Mishel","Зима в сердце"
74,"Mihey & Jumanji","Сука любовь"
75,"Amirchik","Розовый вечер"
76,"Craig David","Insomnia"
77,"Zvika Brand","Potahat Tik (feat. 69 & Jah B)"
78,"Tom Odell","Another Love"
79,"Sherine","El Watar El Hassas"
80,"Basta","На заре"
81,"Дариға Бадықова & Олжас Абай","Сезім Үшін Ost "Таптым-Ау Сені""
82,"Lely45","Моя душа"
83,"He Is We","I Wouldn't Mind"
84,"Joe Layne","Portrait"
85,"Три дня дождя & MONA","Прощание"
86,"Lil Wayne","Love Me (feat. Drake & Future)"
87,"Miyagi & Andy Panda","Freeman"
88,"Xcho & Ramil'","Январь"
89,"Joel Sunny","Luminary (Sped Up)"
90,"The Weeknd","After Hours"
91,"Sadraddin","Aiga qarap"
92,"Teddy Swims","Lose Control"
93,"Lilithzplug","CLEARED - Remix"
94,"ANNA ASTI","Царица"
95,"Ariana Grande","bloodline"
96,"akimmmich","Шағала"
97,"TARAS","Тебя нежно грубо"
98,"Modern Talking","Cheri Cheri Lady"
99,"MACAN & Xcho","Простуда"
100,"Ұланғасыр Қами","Балқия"
101,"DJ Tons","Always Remember Us This Way"
102,"6YNTHMANE & RXDXVIL","BRAZILIAN DANÇA PHONK"
103,"Марат Альборов","Люби меня, родная"
104,"Flume","Never Be Like You (feat. KAI)"
105,"ADAM","Zhurek (Isko Alvarez remix)"
106,"KOREL & NEEL","Она делит вайб"
107,"Sadraddin","Qansha kun?"
108,"The Neighbourhood","Softcore"
109,"J. Dash","Wop (Official Version)"
110,"Tarkan","Şımarık"
111,"Miyagi & Эндшпиль","Пронзай"
112,"Peggy Gou","(It Goes Like) Nanana (Edit)"
113,"Lucenzo","Danza Kuduro (feat. Don Omar)"
114,"Creepy Nuts","Bling-Bang-Bang-Born"
115,"Ragheb Alama","Nasini El Donya"
116,"Xxanteria & isq","Funked Up (Slowed)"
117,"Passenger","Let Her Go (feat. Ed Sheeran) [Anniversary Edition]"
118,"Pitbull","Fireball (feat. John Ryan)"
119,"Yoari","TRUE"
120,"KVPV","Dollars (Club Mix)"
121,"Ирина Кайратовна","Чина"
122,"Neki & ALEMOND","Ловлю"
123,"Flo Rida","Low (feat. T-Pain)"
124,"Shiza","Bas"
125,"6ELLUCCI","Qara"
126,"Nina Simone","Don't Let Me Be Misunderstood"
127,"Mitski","My Love Mine All Mine"
128,"KALEO","Way Down We Go"
129,"Sarah de Warren, Charming Horses & Hanno","This Is The Life"
130,"Indila","Love Story"
131,"Lady Gaga","Poker Face"
132,"Mirazh","Новый герой"
133,"Inna & Bob Taylor","Deja Vu (feat. Bob Taylor)"
134,"Lesley Gore","You Don't Own Me"
135,"James Arthur","Train Wreck"
136,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
137,"Jax (02.14)","Зая (feat. Nel (02.14)"
138,"Ivan Dorn","Целовать другого"
139,"Ed Sheeran","Shivers"
140,"Black Eyed Peas","My Humps"
141,"Maher Zain","For the Rest of My Life"
142,"Brent Morgan","Gonna Be Okay (Acoustic)"
143,"Moya Mishel","Ветер меняет направление"
144,"By Индия","pa pa pi"
145,"Young Dee","The Clubbanger"
146,"Miyagi & Эндшпиль & NERAK","Именно та"
147,"Sadraddin & BYTANAT","Sura"
148,"The Weeknd","House Of Balloons / Glass Table Girls (Original)"
149,"James Arthur","Impossible"
150,"JANAGA","Удали, забудь, уходи"
151,"Miyagi & Эндшпиль","I Got Love (feat. Рем Дигга)"
152,"phamhoang anh","It Was Mild"
153,"Arctic Monkeys","I Wanna Be Yours"
154,"ADEKE","Оян Қазақ! (feat. SQ-NIGHT)"
155,"Eminem","Without Me"
156,"Lauv","Love U Like That"
157,"МОТ","Случайности не случайны"
158,"2Pac","All Eyez On Me (feat. Big Syke)"
159,"Ramin Montazeri","Tanham (feat. Mohammad Bibak)"
160,"Adele","Set Fire to the Rain"
161,"Vahram Vazyan","Любовь и боль"
162,"Empire of the Sun","We Are The People"
163,"Sophie Ellis-Bextor","Murder On The Dancefloor"
164,"Doja Cat","Agora Hills"
165,"Marhaba Sabi","Senimen"
166,"Ed Sheeran","Perfect"
167,"Alexandra Stan","Mr. Saxobeat (Radio Edit)"
168,"George Michael","Careless Whisper"
169,"Dua Lipa","Houdini"
170,"Egzod, Maestro Chives & Neoni","Royalty"
171,"Sergey Zeynalyan & Rafael Zeynalyan","В сердце у него болит"
172,"Женя Трофимов & Комната культуры","Поезда"
173,"IL'HAN","Mars"
174,"Ludovico Einaudi","Una Mattina"
175,"Taylor Swift","cardigan"
176,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
177,"Miguel","Sure Thing"
178,"Lana Del Rey","Diet Mountain Dew"
179,"Orange Sector","Farben"
180,"Christell","Dubidubidu"
181,"Bonapart","F**k You (Freestyle)"
182,"Akon","Smack That (feat. Eminem)"
183,"Ariis","Manda Bala"
184,"Tyla","Water"
185,"Nana Darkman","Remember the Time"
186,"V $ X V PRiNCE & De Lacure","Big City Life"
187,"DON XHONI & Dhurata Dora","Lej"
188,"DPR IAN","Don't Go Insane"
189,"Sherine","Kalam Eneih"
190,"Жолдасбек Абдиханов","Менің әлемім"
191,"G-Eazy & Halsey","Him & I"
192,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
193,"Miyagi & Эндшпиль","Река"
194,"Nancy Ajram","Inta Eyh"
195,"Lilly Wood & The Prick","Prayer In C"
196,"Dedublüman","Belki (Akustik)"
197,"IL'HAN","Арман (Сені күнде көру)"
198,"Jung Kook & Jack Harlow","3D"
199,"Mani Beats","N&N"
200,"Jay Sean","Ride It"
