Shazam Top 200 Kenya Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Dayoo","Huu Mwaka"
2,"Gody Tennor","Mukuchu (feat. Spoiler, Soundkraft & RanzScooby)"
3,"Preston Pablo","Dance Alone"
4,"Christopher Martin","Worldwide #1 (No Other Girl)"
5,"Yammi","Tiririka"
6,"Soundkraft","Tiktoker (feat. Gody Tennor, Tipsy Gee & Kappy)"
7,"Chris Brown","Angel Numbers / Ten Toes"
8,"Phina","Manu (feat. Jay Melody)"
9,"Patoranking","Babylon (feat. Victony)"
10,"Israel Mbonyi","Nina Siri"
11,"Fally Ipupa","Mayday"
12,"Phina","Sisi Ni Wale"
13,"ELEMENT EleéeH","FOU DE TOi (feat. Ross Kana & Bruce Melodie)"
14,"Qing Madi","American Love"
15,"Alikiba & Tommy Flavour","Huku"
16,"Doja Cat","Agora Hills"
17,"Crayon & Ayra Starr","Ngozi"
18,"D Voice","BamBam (feat. Zuchu)"
19,"Johnny Drille","How Are You (My Friend)"
20,"ELEMENT EleéeH","Kashe"
21,"Vybz Kartel","Wine To the Top (feat. ft. Wizkid)"
22,"King Promise & Gabzy","Perfect Combi"
23,"Chancelle Ngoie","Salama"
24,"Asake","Lonely At The Top"
25,"Blaqbonez","Like Ice Spice"
26,"Sam Wa Ukweli","Sina Raha"
27,"Davido","KANTE (feat. Fave)"
28,"Nzalu","Mbayumbayu (Marlaw)"
29,"Bnxn, Kizz Daniel & Seyi Vibez","GWAGWALADA"
30,"Jay Melody","Baridi"
31,"Ni/Co","On Purpose"
32,"ZERB & Sofiya Nzau","Mwaki"
33,"Nandy","Dah!"
34,"Demarco","Party Tonight"
35,"Iyanya, Mayorkun & Tekno","One Side (Remix)"
36,"Watendawili","Cham Thum (Atoti)"
37,"Nyashinski","Perfect Design"
38,"Jux & Diamond Platnumz","Enjoy"
39,"Israel Mbonyi","Nita Amini"
40,"DJ Razak","Latest Arbantone Kenyan Vibes (Mix)"
41,"Marcia Griffiths & Da'Ville","All My Life"
42,"Burna Boy","Tested, Approved & Trusted"
43,"King Promise","Terminator (feat. Young Jonn)"
44,"Diar","If I Don't Lagu I'll Cry (Remix)"
45,"Demarco","Build a Vibes"
46,"Mbosso","Umechelewa"
47,"Wakadinali","Hizi Stance"
48,"Dj Kawest & Gaëlle","Serre-moi fort"
49,"Loreen","Tattoo"
50,"Khaid","Anabella"
51,"Bien & Scar Mkadinali","Lifestyle"
52,"6uff & Rezman","Badda Dan"
53,"Papi Clever & Dorcas","Ameniweka Huru Kweli"
54,"Lony Bway","Wewe hapoo (feat. Marioo)"
55,"Madilu System","Franco de mi amor"
56,"Mr.Tee","Digii (feat. Chacha & Frost)"
57,"Miles Away & Miles Away VIP","Bring Me Back (feat. Claire Ridgely) [Sped Up]"
58,"Dayoo & Rayvanny","Huu Mwaka"
59,"Yamê","Bécane - A Colors Show"
60,"Marakwet Daughter","Mali Safi Chito"
61,"Kamo Mphela, Tyler ICU & Khalil Harrison","Dalie (feat. Baby S.O.N)"
62,"Omah Lay","Holy Ghost"
63,"Prince Indah","Osiepe"
64,"Omah Lay","soso"
65,"Fally Ipupa","MH"
66,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
67,"Rema","Charm"
68,"Memo y su Grupo Cazador","Cumbia Cazador"
69,"JoJo","Too Little Too Late"
70,"Blaiz Fayah & Tribal Kush","Bad"
71,"Qing Madi & Bnxn","Ole"
72,"DJ WIZZY 254","Bongo Flava mix.vol3"
73,"Chris Brown","Sensational (feat. Davido & Lojay)"
74,"Vybz Kartel","Bicycle Ride (Radio Edit)"
75,"Bien","Ma Cherie"
76,"V-Be","Nakupenda (feat. Gogo Ashley)"
77,"Dirtsman","Hot This Year"
78,"Chege","Njoo"
79,"21 Savage","redrum"
80,"Head Concussion","Go Go Club Riddim (Instrumental)"
81,"Christina Shusho","Shusha Nyavu"
