Shazam Top 50 Guadalajara
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
2,"Xavi","La Víctima"
3,"Sophie Ellis-Bextor","Murder On The Dancefloor"
4,"Fuerza Regida & Marshmello","HARLEY QUINN"
5,"Xavi","La Diabla"
6,"Ha-Ash & Nanpa Básico","Todavía No"
7,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
8,"Oscar Ortiz & Edgardo Nuñez","First Love"
9,"Reik & Carin Leon","El Correcto"
10,"Feid & ATL Jacob","LUNA"
11,"Tyla","Water"
12,"Argy & Omnya","Aria"
13,"Jack Harlow","Lovin On Me"
14,"Eden Muñoz","Como En Los Viejos Tiempos"
15,"Carin Leon","La Primera Cita"
16,"Myke Towers","LA FALDA"
17,"Grupo Frontera & Grupo Firme","EL AMOR DE SU VIDA"
18,"Danna Paola","AÚN TE QUIERO"
19,"Alex Favela, Grupo Marca Registrada & Joaquin Medina","Elovrga"
20,"Arcángel & Grupo Frontera","ALV"
21,"Peggy Gou","(It Goes Like) Nanana (Edit)"
22,"Kenya Grace","Strangers"
23,"Kim Loaiza","Los Besos Que Te Di"
24,"Simon & Garfunkel","El Condor Pasa (If I Could)"
25,"Eugenio Esquivel, Grupo Marca Registrada & Sebastian Esquivel","Alucin"
26,"Olivia Rodrigo","vampire"
27,"Jung Kook","Standing Next to You"
28,"bbno$","edamame (feat. Rich Brian)"
29,"Tate McRae","greedy"
30,"Eladio Carrión","TQMQA"
31,"Ozuna & David Guetta","Vocation"
32,"Paul Russell","Lil Boo Thang"
33,"Maluma & Carin Leon","Según Quién"
34,"Tiagz, Fuerza Regida & El Alfa","Tacata (Remix)"
35,"Sabrina Carpenter","Feather"
36,"Reneé Rapp & Megan Thee Stallion","Not My Fault"
37,"Ariana Grande","yes, and?"
38,"Natasha Bedingfield","Unwritten"
39,"Djane Housecat","Girls in Luv (feat. Rameez) [Radio Edit]"
40,"Doble ONE Flow Letal","Mi Kryptonita"
41,"Julión Álvarez y su Norteño Banda","Lo Tienes Todo"
42,"Kany García & Carin Leon","Te Lo Agradezco"
43,"KAROL G & Peso Pluma","QLONA"
44,"Natanael Cano","O Me Voy O Te Vas"
45,"The Hollies","Long Cool Woman (In a Black Dress)"
46,"Iñigo Quintero","Si No Estás"
47,"BENNETT","Vois sur ton chemin (Techno Mix)"
48,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
49,"Grupo Frontera & Manuel Turizo","DE LUNES A LUNES"
50,"Xavi & Tony Aguirre","Modo DND"
