Shazam Top 200 Mexico Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
2,"Oscar Ortiz & Edgardo Nuñez","First Love"
3,"Xavi","La Diabla"
4,"Xavi","La Víctima"
5,"Sophie Ellis-Bextor","Murder On The Dancefloor"
6,"Feid & ATL Jacob","LUNA"
7,"Fuerza Regida","BARBIEZ"
8,"Fuerza Regida & Manuel Turizo","UNA CERVEZA"
9,"Calle 24 & Chino Pacas","Apaga El Cel"
10,"Eugenio Esquivel, Grupo Marca Registrada & Sebastian Esquivel","Alucin"
11,"Xavi","Aquí Estoy Yo"
12,"Jere Klein & Gittobeatz","ANDO"
13,"Adrian L Santos & Joaquin Medina","Ya No Estoy Dolido"
14,"21 Savage","redrum"
15,"Doble ONE Flow Letal","Mi Kryptonita"
16,"Tiagz, Fuerza Regida & El Alfa","Tacata (Remix)"
17,"Junior H","ROCKSTAR"
18,"Julión Álvarez y su Norteño Banda","Regalo De Dios"
19,"Pitbull","Guantanamera (She's Hot)"
20,"C. Tangana","Mala Mujer"
21,"Yamê","Bécane - A Colors Show"
22,"Milky Chance","Stolen Dance"
23,"Javier Rosas y Su Artillería Pesada & Lupe Borbon y su Blindaje 7","La Suma"
24,"Julión Álvarez y su Norteño Banda","Lo Tienes Todo"
25,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
26,"Sunstroke Project","Run Away (feat. Olia Tira)"
27,"Fuerza Regida & Marshmello","HARLEY QUINN"
28,"Katya Lel","Мой мармеладный (Я не права)"
29,"Alacranes Musical","Por Tu Amor (Duranguense)"
30,"Grupo Frontera & Grupo Firme","EL AMOR DE SU VIDA"
31,"Peso Pluma & Anitta","BELLAKEO"
32,"Xavi","Sin Pagar Renta"
33,"Myke Towers","LA FALDA"
34,"Gabito Ballesteros","A Puro Dolor"
35,"Junior H","Y LLORO"
36,"Xavi & Tony Aguirre","Modo DND"
37,"Carin Leon","La Primera Cita"
38,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
39,"Óscar Maydon, Gabito Ballesteros & Chino Pacas","Elvira"
40,"Calle 24, Chino Pacas & Fuerza Regida","Qué Onda"
41,"Rio Romeo","Nothing's New"
42,"Arcángel & Grupo Frontera","ALV"
43,"Alex Favela, Grupo Marca Registrada & Joaquin Medina","Elovrga"
44,"Tyla","Water"
45,"Peggy Gou","(It Goes Like) Nanana (Edit)"
46,"Fuerza Regida","CRAZYZ"
47,"Michael Bublé","Feeling Good"
48,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
49,"Lesley Gore","You Don't Own Me"
50,"LATIN MAFIA & Humbe","Patadas de Ahogado"
51,"Jung Kook","Standing Next to You"
52,"Los Caimanes De Sinaloa","Derecho y Chueco"
53,"Junior H","A TU NOMBRE"
54,"Uriel S. Vázquez","Peonia"
55,"Peso Pluma, Jasiel Nuñez & Junior H","BIPOLAR"
56,"Natanael Cano","O Me Voy O Te Vas"
57,"Los Gemelos De Sinaloa & Óscar Maydon","F*CK"
58,"Natasha Bedingfield","Unwritten"
59,"Clave Especial","Kalashnikov"
60,"Ariana Grande","yes, and?"
61,"Óscar Maydon & Tyga","Kim Kardashian"
62,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
63,"Jagwar Twin","Bad Feeling (Oompa Loompa)"
64,"Electric Light Orchestra","Last Train to London"
65,"Adrian L Santos & Óscar Maydon","Pal Amor Soy Malo (Remix)"
66,"Óscar Maydon","YW&F (Versión Reggaeton)"
67,"Alu Mix & Jencko el Shinobi","Ñero Session 3"
68,"Kenya Grace","Strangers"
69,"Creepy Nuts","Bling-Bang-Bang-Born"
70,"bbno$","edamame (feat. Rich Brian)"
71,"Tom Odell","Another Love"
72,"George Michael","Careless Whisper"
73,"Uzielito Mix, Yeri Mua & El Jordan 23","Linea del Perreo (feat. Dj Kiire)"
74,"Junior H","Extssy Model"
75,"Empire of the Sun","We Are The People"
76,"The Alan Parsons Project","Eye In the Sky"
77,"mehro","exploding"
78,"RÜFÜS DU SOL","Innerbloom"
79,"Mary J. Blige","Family Affair"
80,"New West","Those Eyes"
81,"Luis R Conriquez & Peso Pluma","Pixelados"
82,"Iñigo Quintero","Si No Estás"
83,"Christell","Dubidubidu"
84,"Jack Harlow","Lovin On Me"
85,"Eden Muñoz","Como En Los Viejos Tiempos"
86,"Gaby Music, Luar La L & Lunay","No Te Quieren Conmigo"
87,"Maluma & Carin Leon","Según Quién"
88,"Cartel de Santa","Chula"
89,"Ha-Ash & Nanpa Básico","Todavía No"
90,"Junior H","LOKERON X AMOR"
91,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
92,"Alex Favela, Código FN & Oscar Ortiz","Alvrgzo"
93,"Keane","Somewhere Only We Know"
94,"Humbe","fantasmas"
95,"Sofia Castro","Te Juro No Te Miento"
96,"D-Sides","Alucín"
97,"Noriel","La Paso C****n (feat. Gigolo Y La Exce, Falsetto y Sammy, Mike Duran & Baby Angel)"
98,"Olivia Rodrigo","vampire"
99,"Fuerza Regida","EXCESOS"
100,"Tears for Fears","Everybody Wants To Rule The World"
101,"Simon & Garfunkel","El Condor Pasa (If I Could)"
102,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
103,"Flume","Never Be Like You (feat. KAI)"
104,"Los Temerarios","Se Que Te Amo"
105,"Mitski","My Love Mine All Mine"
106,"Adalberto Santiago","La Noche Mas Linda"
107,"Tate McRae","greedy"
108,"Xavi & Los Dareyes De La Sierra","Poco A Poco"
109,"Capotes & Joel De La P","A la puta orden"
110,"Black Sabbath","Paranoid"
111,"Verzache","Needs"
112,"Rauw Alejandro","DILUVIO"
113,"Kevin AMF","Rich Kid"
114,"Paul Russell","Lil Boo Thang"
