Shazam Top 50 Mexico City
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
2,"Sophie Ellis-Bextor","Murder On The Dancefloor"
3,"mehro","exploding"
4,"Jagwar Twin","Bad Feeling (Oompa Loompa)"
5,"Xavi","La Víctima"
6,"Tyla","Water"
7,"Xavi","La Diabla"
8,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
9,"Milky Chance","Stolen Dance"
10,"Ha-Ash & Nanpa Básico","Todavía No"
11,"Jung Kook","Standing Next to You"
12,"Peggy Gou","(It Goes Like) Nanana (Edit)"
13,"Olivia Rodrigo","vampire"
14,"bbno$","edamame (feat. Rich Brian)"
15,"Paul Russell","Lil Boo Thang"
16,"Carin Leon","La Primera Cita"
17,"Fresto Music","Me Hace Daño Verte"
18,"Ariana Grande","yes, and?"
19,"Grupo Frontera & Grupo Firme","EL AMOR DE SU VIDA"
20,"Kenya Grace","Strangers"
21,"Fuerza Regida & Marshmello","HARLEY QUINN"
22,"Lost Frequencies & Bastille","Head Down"
23,"Feid & ATL Jacob","LUNA"
24,"Simon & Garfunkel","El Condor Pasa (If I Could)"
25,"Yiyo Sarante","Manos de Tijera"
26,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
27,"Natasha Bedingfield","Unwritten"
28,"Black Sabbath","Paranoid"
29,"Myke Towers","LA FALDA"
30,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
31,"Purple Disco Machine","Dished (Male Stripper)"
32,"Julión Álvarez y su Norteño Banda","Lo Tienes Todo"
33,"Grupo Cumbia Nova","Tus Mentiras"
34,"Tears for Fears","Everybody Wants To Rule The World"
35,"Jim James","State Of The Art (A.E.I.O.U.)"
36,"Natanael Cano","O Me Voy O Te Vas"
37,"KAROL G & Peso Pluma","QLONA"
38,"Arcángel & Grupo Frontera","ALV"
39,"Eugenio Esquivel, Grupo Marca Registrada & Sebastian Esquivel","Alucin"
40,"Alex Favela, Grupo Marca Registrada & Joaquin Medina","Elovrga"
41,"Calle 24, Chino Pacas & Fuerza Regida","Qué Onda"
42,"Curtis Mayfield","Move On Up"
43,"Danna Paola","AÚN TE QUIERO"
44,"Keane","Somewhere Only We Know"
45,"Sunstroke Project","Run Away (feat. Olia Tira)"
46,"DJ Tons","Always Remember Us This Way"
47,"Jere Klein & Gittobeatz","ANDO"
48,"Alok, Zeeba & Bruno Martini","Hear Me Now"
49,"Jack Harlow","Lovin On Me"
50,"Maluma & Carin Leon","Según Quién"
