Shazam Top 50 Monterrey
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
2,"Sophie Ellis-Bextor","Murder On The Dancefloor"
3,"Oscar Ortiz & Edgardo Nuñez","First Love"
4,"Jagwar Twin","Bad Feeling (Oompa Loompa)"
5,"Xavi","La Diabla"
6,"Arcángel & Grupo Frontera","ALV"
7,"Tyla","Water"
8,"Xavi","La Víctima"
9,"Grupo Frontera & Grupo Firme","EL AMOR DE SU VIDA"
10,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
11,"Paul Russell","Lil Boo Thang"
12,"Olivia Rodrigo","vampire"
13,"Simon & Garfunkel","El Condor Pasa (If I Could)"
14,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
15,"bbno$","edamame (feat. Rich Brian)"
16,"Jung Kook","Standing Next to You"
17,"Fuerza Regida & Marshmello","HARLEY QUINN"
18,"Peggy Gou","(It Goes Like) Nanana (Edit)"
19,"Kenya Grace","Strangers"
20,"Ha-Ash & Nanpa Básico","Todavía No"
21,"Eugenio Esquivel, Grupo Marca Registrada & Sebastian Esquivel","Alucin"
22,"Danna Paola","AÚN TE QUIERO"
23,"Milky Chance","Stolen Dance"
24,"Lost Frequencies & Bastille","Head Down"
25,"Camila Fernández","Aquí Lo Siento"
26,"Ariana Grande","yes, and?"
27,"Troye Sivan","Got Me Started"
28,"mehro","exploding"
29,"Doja Cat","Paint The Town Red"
30,"Natasha Bedingfield","Unwritten"
31,"Kim Loaiza","Los Besos Que Te Di"
32,"Eden Muñoz","Como En Los Viejos Tiempos"
33,"Carin Leon","La Primera Cita"
34,"Jack Harlow","Lovin On Me"
35,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
36,"Teddy Swims","Lose Control"
37,"Maluma & Carin Leon","Según Quién"
38,"Natanael Cano","O Me Voy O Te Vas"
39,"Feid & ATL Jacob","LUNA"
40,"Grupo Frontera & Ke personajes","OJITOS ROJOS"
41,"Whiskey Myers","Stone"
42,"Billie Eilish","bury a friend"
43,"Sunstroke Project","Run Away (feat. Olia Tira)"
44,"LANY","XXL"
45,"Tate McRae","greedy"
46,"Myke Towers","LA FALDA"
47,"Keane","Somewhere Only We Know"
48,"Loreen","Tattoo"
49,"Mitski","My Love Mine All Mine"
50,"Calle 24, Chino Pacas & Fuerza Regida","Qué Onda"
