Shazam Top 50 Puebla
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
2,"Xavi","La Víctima"
3,"Xavi","La Diabla"
4,"Sophie Ellis-Bextor","Murder On The Dancefloor"
5,"Jung Kook","Standing Next to You"
6,"mehro","exploding"
7,"Tyla","Water"
8,"Eugenio Esquivel, Grupo Marca Registrada & Sebastian Esquivel","Alucin"
9,"Arcángel & Grupo Frontera","ALV"
10,"Kenya Grace","Strangers"
11,"Fuerza Regida & Marshmello","HARLEY QUINN"
12,"Oscar Ortiz & Edgardo Nuñez","First Love"
13,"Doble ONE Flow Letal","Mi Kryptonita"
14,"Grupo Frontera & Grupo Firme","EL AMOR DE SU VIDA"
15,"Jack Harlow","Lovin On Me"
16,"Grupo Cumbia Nova","Tus Mentiras"
17,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
18,"Feid & ATL Jacob","LUNA"
19,"Carin Leon","La Primera Cita"
20,"Paul Russell","Lil Boo Thang"
21,"Djane Housecat","Girls in Luv (feat. Rameez) [Radio Edit]"
22,"Alex Favela, Grupo Marca Registrada & Joaquin Medina","Elovrga"
23,"Sabrina Carpenter","Feather"
24,"Danna Paola","AÚN TE QUIERO"
25,"Sunstroke Project","Run Away (feat. Olia Tira)"
26,"Olivia Rodrigo","vampire"
27,"Ariana Grande","yes, and?"
28,"Calle 24, Chino Pacas & Fuerza Regida","Qué Onda"
29,"The Alan Parsons Project","Eye In the Sky"
30,"Simon & Garfunkel","El Condor Pasa (If I Could)"
31,"Peggy Gou","(It Goes Like) Nanana (Edit)"
32,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
33,"Julión Álvarez y su Norteño Banda","Lo Tienes Todo"
34,"Ha-Ash & Nanpa Básico","Todavía No"
35,"Tears for Fears","Everybody Wants To Rule The World"
36,"Maluma & Carin Leon","Según Quién"
37,"Camila Fernández","Aquí Lo Siento"
38,"Ritmo Tropical","Es El Amor, Éxito de Sonido Famoso"
39,"Jere Klein & Gittobeatz","ANDO"
40,"Los Temerarios","Se Que Te Amo"
41,"Milky Chance","Stolen Dance"
42,"bbno$","edamame (feat. Rich Brian)"
43,"Stephen Sanchez","Until I Found You"
44,"Eden Muñoz","Como En Los Viejos Tiempos"
45,"Black Sabbath","Paranoid"
46,"Hoobastank","The Reason"
47,"Natanael Cano","O Me Voy O Te Vas"
48,"LATIN MAFIA & Humbe","Patadas de Ahogado"
49,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
50,"Dua Lipa","Houdini"
