Shazam Top 200 Morocco Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Abdoulhay","Galbi Mix Dofin Chirine"
2,"Cheb Nassim","Tayha Love (feat. Tchikou 22)"
3,"Duke","Mimti"
4,"Dada & Oussama Menay","3ADI JIDAN"
5,"Cheb Hichem TGV","Allo Oui"
6,"Seysey","King Gnawa (feat. Tariq Hmitti)"
7,"Sherine","Sabry 'Aalil"
8,"Kouz1","Trap Roumi V5"
9,"ADAM","Zhurek"
10,"Yamê","Bécane - A Colors Show"
11,"Haifa Wehbe","Woseltelha"
12,"ZERB & Sofiya Nzau","Mwaki"
13,"Habib Belk","Homiya"
14,"Tam Sir","Coup du marteau (feat. Team Paiya, Ste Milano, Renard Barakissa, Tazeboy & PSK)"
15,"Nelly","Just a Dream (feat. Shireen Abdul Wahab) [Coke Studio Fusion Mix]"
16,"LXNGVX","Montagem Mysterious Game"
17,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
18,"Salim Louza","Yakarhoni Gololi Limada"
19,"Chris Brown","Angel Numbers / Ten Toes"
20,"DYSTINCT","La"
21,"Morad","Pelele"
22,"Azzedine","lamhayane"
23,"Francis Mercier, Nitefreak & Idd Aziz","Kamili"
24,"Cheba Chinou","bent kartier populair (feat. Oussama Torkish)"
25,"Mouado Production","Cheb Mirou (عندي خوتي هوما كلشي)"
26,"Jul","Battistu"
27,"Jack Harlow","Lovin On Me"
28,"Redouane Sghir","Denya Marahach Kima Mdari (feat. Manini Sahar) [Sayti Ghadi Ngarui]"
29,"ElGrandeToto","BLUE LOVE"
30,"A6drizzy","Pippi (feat. Inkonnu)"
31,"Eden Shalev","Papi (Bhabi)"
32,"Bilel Tacchini","BiChoufou L’amour Madar Fiya"
33,"Kader Tirigou & Kader Zakzouk","Ki telfetlah bgha ykatefna"
34,"Sofiane","Arafricain (feat. Maître Gims)"
35,"Hamit Karadeniz","Leyla"
36,"Oualid, Norel & Yam","Di Mochkila"
37,"Abdou Gambetta","الڤلب بيض و الزهر عيان"
38,"310babii","Soak City (Do it)"
39,"Cheba Warda","Chakam Ya Taalam (feat. Dj Badro)"
40,"ElGrandeToto","RAZONES (feat. Morad)"
41,"Kouskous","Sanawat (feat. Hamza Hard)"
42,"Iñigo Quintero","Si No Estás"
43,"Edward Maya & Vika Jigulina","Stereo Love"
44,"ElGrandeToto","BGHAWNI"
45,"Afrikan Drums","Comitin Dedo"
46,"Bilel Tacchini","Mechatni"
47,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
48,"Merveille","Citadelle"
49,"Bracket","Mama Africa"
50,"AYOUB IDRI","Scketchosi9a 1 (feat. Soufiane Az)"
51,"TFLOW","BIDOUN"
52,"Dz Prod","Cheb Rochdi Djazira (Khayna)"
53,"TIF","MATHUSALEM (LIVE SESSION)"
54,"Bilel Tacchini","كلها و زهرو"
55,"Amine Tiger","Matala3bihalich Populaire"
56,"Modern Talking","Cheri Cheri Lady"
57,"Magic System, Yemi Alade & محمد رمضان","Akwaba"
58,"Cheb Mouiz","Malki Malki (feat. Yousri Oscar)"
59,"Dadju & Tayc","I love you"
60,"Morad & GIMS","Seya"
61,"cheb nadir 22","Nti meryoula w ana ktar"
62,"Nouamane Belaiachi","Toxicomane"
63,"Tamer Ashour","هيجيلي موجوع"
64,"Ayoub Anbaoui","Kan Kis7abli"
65,"Cheb Ramzi Tix","Yan Aalbou Zhar (Live)"
66,"Jul","C'est la cité (feat. Naps)"
67,"Wawi","Om Satori"
68,"ElGrandeToto","SARCELLES"
69,"Stormy & Tagne","Marroki"
70,"Duke","Hyati"
71,"Kaaris","Panama (feat. Hamza)"
72,"Roger Sanchez","Again"
73,"Cheb Mustapha","شاداك تبع زين لافير كملت مال (feat. Manini Sahar)"
74,"Mohamed Rouicha","Ha L'mahayen"
75,"حمادة الليثي","Tareq El Andal (feat. Amr Salama)"
76,"Bilel Tacchini","خصومة و معاير (Live)"
77,"Sunstroke Project","Run Away (feat. Olia Tira)"
78,"Dollypran","Flilou"
79,"Nitefreak & Emmanuel Jal","Gorah"
80,"Peso Pluma & Anitta","BELLAKEO"
81,"Cheb Amine 31","Madama"
82,"DJ MEED","Le3bi La3bek (feat. Hamza Afro & Bayzii)"
83,"Foljad","Mabidi Chay (Piano Version)"
84,"ElGrandeToto","DELLALI (feat. Hamza)"
85,"Tate McRae","greedy"
86,"Kamo Mphela, Tyler ICU & Khalil Harrison","Dalie (feat. Baby S.O.N)"
87,"Fiegta","Wahiyani Chaabiat (feat. Adil & Zakaria)"
88,"Katya Lel","Мой мармеладный (Я не права)"
89,"21 Savage","redrum"
90,"Kader Japonais","وحدي نداوي جروحي"
91,"Daft Punk & Julian Casablancas","Instant Crush"
92,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
93,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
94,"ElGrandeToto","MAGHRIBI"
95,"Dj Fouzi","Galale Raï"
96,"Cheb Momo","تحسبي بلا بيك راها حاكمة"
97,"Raid & L'morphine","Sommaire"
98,"Lady Gaga","Bloody Mary"
99,"Cheikh Azzedin","طريق حيدرة"
100,"yassine taliano","9Albi Kan Khasah (Dj Yassine)"
101,"Stormy, Tagne & Smallx","Médaille d'or"
102,"AriBeatz, Nimo & Lacrim","J-Lo"
103,"ياسر الدوسري سورة المؤمنون","ياسر الدوسري سورة المؤمنون"
104,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
105,"Cheb Momo","N3ichou la vida (feat. Housseyn Benguerna)"
106,"Didou Parisien","Rohou Hawlouha \ Rani Mtwahchha"
107,"He Is We","I Wouldn't Mind"
108,"Cheb Amine Tigre","نعطيها فالزورق معليش لابغا نغرق"
109,"Joezi","7 Seconds (feat. Coco & Pape Diouf)"
110,"TalkinToys","Bleeding"
111,"Tom Odell","Another Love"
112,"Taj el Baroudi","Nsitini F Lowla"
113,"Xhoni Beats","Pse? (feat. Naldi & Aleks)"
114,"Creepy Nuts","Bling-Bang-Bang-Born"
115,"Diamond Platnumz","Shu! (feat. Chley)"
116,"Abdellah Daoudi","Chhal 3adit Men Hmoum"
117,"Alexandra Stan","Mr. Saxobeat (Radio Edit)"
118,"DON XHONI & Dhurata Dora","Lej"
119,"Cheb Momo","Ndamt 3Lik"
120,"Tyla","Water"
121,"A-JEY","Ya Layli"
122,"HVBEEN","ماس و لولي"
123,"Giggs","Incredible Sauce (feat. Dave)"
124,"EMIN & JONY","Камин"
125,"D-Block Europe & Central Cee","Overseas"
126,"BENNETT","Vois sur ton chemin (Techno Mix)"
127,"Dj Amine MGn","Gasba Maghreb (feat. Nawel Uk)"
128,"Sherine","El Watar El Hassas"
129,"Loreen","Tattoo"
130,"Imagine Dragons","Demons (Live in Vegas)"
131,"Lbenj","Kif Kif"
132,"Adele","Set Fire to the Rain"
133,"Cheb Mohamed Bouski","Khrajt Flaysi"
134,"Wale","Bad (feat. Tiara Thomas)"
135,"L'morphine","Kill 2"
136,"7-Toun","TIMSAH"
137,"Peggy Gou","(It Goes Like) Nanana (Edit)"
138,"TIF","SHADOW BOXING"
