Shazam Top 50 Maastricht
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Son Mieux","Tonight"
2,"Noah Kahan","Stick Season"
3,"Dean Lewis","Trust Me Mate (Acoustic)"
4,"P!nk","All Out Of Fight"
5,"Claude","Écoutez - Moi"
6,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
7,"Teddy Swims","The Door"
8,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
9,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
10,"BENNETT","Vois sur ton chemin (Techno Mix)"
11,"Teddy Swims","Lose Control"
12,"Hannah Mae","Waterdicht"
13,"Lost Frequencies & Bastille","Head Down"
14,"Chef'Special","Speed of Light"
15,"Donnie & Marco Schuitmaker","Hier Mag Alles"
16,"Kris Kross Amsterdam, SERA & Conor Maynard","Stay (Never Leave)"
17,"Racoon","Nickel For Goodbye"
18,"Loreen","Is It Love"
19,"ZERB & Sofiya Nzau","Mwaki"
20,"Tiësto & FAST BOY","All My Life"
21,"Nathan Dawe & Bebe Rexha","Heart Still Beating"
22,"Nothing But Thieves","Overcome"
23,"Nick Schilder","Realize"
24,"Alok, The Chainsmokers & Mae Stephens","Jungle"
25,"FLEMMING, Zoë Tauran & Ronnie Flex","Alles Op Gevoel"
26,"Marshmello, P!nk & Sting","Dreaming"
27,"Ariana Grande","yes, and?"
28,"FLEMMING & Boef","Champions League"
29,"Wesly Bronkhorst & Bizzey","Gap"
30,"Alok & Bebe Rexha","Deep In Your Love"
31,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
32,"cassö, RAYE & D-Block Europe","Prada"
33,"Douwe Bob","Nothing To Lose"
34,"Kenya Grace","Strangers"
35,"Roxy Dekker","Satisfyer"
36,"Cian Ducrot","Heaven"
37,"Douwe Bob","This World Is Our Home"
38,"SERA & YouNotUs","I Can’t Be The Only One"
39,"Dua Lipa","Houdini"
40,"Jack Harlow","Lovin On Me"
41,"Cigarettes After Sex","Apocalypse"
42,"Tate McRae","greedy"
43,"Imany","Wonderful Life (Stream Jockey Rework)"
44,"Suzan & Freek & Claude","Vas-y (Ga Maar)"
45,"Ed Sheeran","American Town"
46,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
47,"Kygo & Ava Max","Whatever"
48,"Davina Michelle","17"
49,"Lady Gaga & Bradley Cooper","Shallow"
50,"RMB","Spring (Video Mix)"
