Shazam Top 200 New Zealand Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"CYRIL","Stumblin' In"
2,"YG Marley","Praise Jah In the Moonlight"
3,"Noah Kahan","Stick Season"
4,"Ocean Alley","Confidence"
5,"Fred again.. & Baby Keem","leavemealone"
6,"Teddy Swims","Lose Control"
7,"Netsky & Jazmine Johnson","Hell in High Heels"
8,"Jack Harlow","Lovin On Me"
9,"Sophie Ellis-Bextor","Murder On The Dancefloor"
10,"Morgan Wallen","Thinkin’ Bout Me"
11,"Doja Cat","Agora Hills"
12,"He Is We","I Wouldn't Mind"
13,"L.A.B","Oh No, Pt. 2"
14,"4batz","Act ii: Date @ 8"
15,"Jelly Roll","Need A Favor"
16,"Lynyrd Skynyrd","Simple Man"
17,"Becky Hill & Chase & Status","Disconnect"
18,"Teddy Swims","Some Things I'll Never Know (feat. Maren Morris)"
19,"DENM & Landon McNamara","Wild Trip"
20,"Ella Henderson","Alibi (feat. Rudimental)"
21,"Songer","Toxic (Freestyle)"
22,"Fall Out Boy","We Didn’t Start The Fire"
23,"Dom Dolla","Saving Up"
24,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
25,"Kenya Grace","Strangers"
26,"21 Savage","redrum"
27,"Issey Cross","Bittersweet Goodbye"
28,"Flume","Never Be Like You (feat. KAI)"
29,"Flo Milli","Never Lose Me"
30,"cassö, RAYE & D-Block Europe","Prada"
31,"Corrella","Blue Eyed Māori"
32,"L.A.B","Casanova"
33,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
34,"NO CIGAR","Concubine"
35,"Jim James","State Of The Art (A.E.I.O.U.)"
36,"Paul Russell","Lil Boo Thang"
37,"Nicki Minaj","FTCU"
38,"Joy Anonymous & Sugababes","JOY (Push The Button)"
39,"PARISI","Believe In Myself"
40,"D-Block Europe & Central Cee","Overseas"
41,"Lewis Capaldi","Strangers"
42,"Whiskey Myers","Stone"
43,"venbee","rampage (feat. DJ SS)"
44,"Marshmello, P!nk & Sting","Dreaming"
45,"Natasha Bedingfield","Unwritten"
46,"Soul Coughing","Super Bon Bon"
47,"Tate McRae","greedy"
48,"Chris Brown","Angel Numbers / Ten Toes"
49,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
50,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
51,"Muni Long","Made For Me"
52,"bbno$","edamame (feat. Rich Brian)"
53,"Tawaz","He Aho"
54,"Dua Lipa","Houdini"
55,"Ariana Grande","yes, and?"
56,"The Magician & A-Trak","Love On You (feat. Griff Clawson)"
57,"Nicki Minaj","Needle (feat. Drake)"
58,"Tyla","Water"
59,"USHER, Summer Walker & 21 Savage","Good Good"
60,"MGMT","Time to Pretend"
61,"King George","Too Long"
62,"SWIDT","YOUPHORIA (feat. High Hoops)"
63,"MUZZ","Don't Stop"
64,"Yamê","Bécane - A Colors Show"
65,"Chase & Status","Selecta (feat. Stefflon Don)"
66,"Corrella","Lady Divine"
67,"Burna Boy","Cheat On Me (feat. Dave)"
68,"Mary J. Blige","Family Affair"
69,"Quaker City Night Hawks","Beat the Machine"
70,"ZERB & Sofiya Nzau","Mwaki"
71,"Diggy Dupé","We the City"
72,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
73,"Colter Wall","Sleeping on the Blacktop"
74,"Victoria Monét","On My Mama"
75,"Olivia Rodrigo","get him back!"
76,"Rema","Calm Down"
77,"Hybrid Minds & Lily Denning","Stay"
78,"Zimmer90","What Love Is"
79,"Josh Levi","BIRTHDAY DANCE"
80,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
81,"Benson Boone","Beautiful Things"
82,"Lil Nas X","J CHRIST"
83,"Empire of the Sun","We Are The People"
84,"Justin Timberlake","Mirrors"
85,"Wilkinson & Kelli-Leigh","This Moment"
86,"Florence + the Machine","Dog Days Are Over"
87,"Michael Marcagi","Scared To Start"
88,"21 Savage & Summer Walker","prove it"
89,"Travis Scott","MY EYES"
90,"Offset & Don Toliver","WORTH IT"
91,"Chase & Status & Bou","Baddadan (feat. IRah, Flowdan, Trigga & Takura)"
92,"Chris Stapleton","Outlaw State of Mind"
93,"Luke Combs","Fast Car"
94,"The Stranglers","Golden Brown"
95,"Edward Maya & Vika Jigulina","Stereo Love"
96,"Uncle Lucius","Keep the Wolves Away"
97,"Doja Cat","Paint The Town Red"
98,"Peggy Gou","(It Goes Like) Nanana (Edit)"
99,"Tems","Me & U"
100,"Curtis Mayfield","Move On Up"
101,"L.A.B","In the Air"
102,"Tomcraft","Loneliness (Radio Cut)"
103,"50 Cent","Baby By Me (feat. Ne-Yo)"
104,"Billie Eilish","bury a friend"
105,"Kanine","Light It Up"
106,"AJR","Yes I'm A Mess"
107,"Catching Cairo & Disrupta","For Your Love"
108,"D.O.D","So Much in Love (Sub Focus Remix)"
109,"Tate McRae","exes"
110,"Becky Hill & Sonny Fodera","Never Be Alone"
111,"Zach Bryan","Something in the Orange"
112,"Spectrum","I’ll Be Gone (Single Edit)"
113,"Katya Lel","Мой мармеладный (Я не права)"
114,"Ed Sheeran","Life Goes On (feat. Luke Combs)"
115,"Clams Casino & Imogen Heap","I'm God"
116,"Dolly Parton & Kenny Rogers","Islands In the Stream"
117,"Lola Brooke","You (feat. Bryson Tiller)"
118,"21 Savage, Burna Boy & Metro Boomin","just like me"
119,"Cigarettes After Sex","Apocalypse"
120,"Post Malone","Chemical"
121,"Amistosos de la Sierra","Dame Beso y Dime Adiós"
122,"Chris Brown","Sensational (feat. Davido & Lojay)"
123,"Sherine","Sabry 'Aalil"
124,"Troye Sivan","Rush"
125,"Australian Crawl","Reckless (Don't Be So...) [Remastered]"
126,"Taylor Swift","I Can See You (Taylor's Version) (From The Vault)"
127,"Nickelback","How You Remind Me"
128,"Dermot Kennedy","Kiss Me"
129,"Mitski","My Love Mine All Mine"
130,"Lauren Daigle","Rescue"
131,"Sammy Virji","If U Need It"
132,"COTERIE","Paradise"
133,"Ariana Grande","bloodline"
134,"Chris Norman & Suzi Quatro","Stumblin' In"
135,"LXNGVX","Montagem Mysterious Game"
136,"Keane","Somewhere Only We Know"
137,"Mason & Princess Superstar","Perfect (Exceeder)"
138,"Myshaan","Sway"
139,"Miguel","Sure Thing"
140,"Campbell & Alcemist","Would You (go to bed with me?)"
141,"Disclosure","You & Me (feat. Eliza Doolittle) [Rivo Remix]"
142,"DJ Noiz & Mikey Mayz","Still the One"
143,"The Goo Goo Dolls","Iris"
144,"Kanye West","Runaway (feat. Pusha T)"
145,"L.A.B","Take It Away"
146,"Kendrick Lamar","Swimming Pools (Drank)"
147,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
148,"Travis Scott","TIL FURTHER NOTICE (feat. James Blake & 21 Savage)"
149,"Fejoint, Lomez Brown & Switche","Stay"
150,"Highway Gloom","Freakish by Nature"
151,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
152,"Chase & Status & Hedex","Liquor & Cigarettes (feat. ArrDee)"
153,"Drake","Practice"
154,"Flowdan, Lil Baby & Skrillex","Pepper"
155,"Zeddy Will","Cha Cha"
156,"Fleetwood Mac","Dreams"
157,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
158,"Dave & Central Cee","Sprinter"
159,"4 Non Blondes","What's Up?"
160,"Burna Boy","City Boys"
161,"Men At Work","Be Good Johnny"
162,"BigXthaPlug","Mmhmm"
163,"Kaylee Bell","Good Things"
164,"Stan Walker","I AM (Live) [From the Ava DuVernay feature film 'Origin']"
165,"Shenseea","Shen Yeng Anthem"
166,"Rihanna","Talk That Talk (feat. JAY Z)"
167,"The Angels","Am I Ever Gonna See Your Face Again"
168,"Lil Wayne","Love Me (feat. Drake & Future)"
169,"Agnes Obel","Fuel to Fire"
170,"LIVE","Lightning Crashes"
171,"The Unthanks","Magpie"
172,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
173,"ILIR808 & LSBTZ","Magic Stick"
174,"21 Savage, Travis Scott & Metro Boomin","née-nah"
175,"Darude","Sandstorm"
176,"New Radicals","You Get What You Give"
177,"AR/CO","Supersonic L.U.V"
178,"Empire of the Sun","Walking On A Dream"
179,"LiBand","Rollin (feat. Mouse On Da Track)"
180,"Hori shaw","Country Roads"
181,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
182,"Lee Mvtthews & Tiki Taane","Kick the Doors Down"
183,"Sia","Unstoppable"
184,"Lee Mvtthews & Mikeyy","Promises"
185,"The Outfield","Your Love"
186,"Elton John & Dua Lipa","Cold Heart (PNAU Remix)"
187,"Sabrina Carpenter","Feather"
188,"Giggs","Incredible Sauce (feat. Dave)"
189,"Kasbo","Alive (Edit)"
190,"Tears for Fears","Everybody Wants To Rule The World"
191,"Teddy Swims","Some Things I'll Never Know"
192,"Bushbaby","Cutty Dub 23"
193,"Thee Sacred Souls","Can I Call You Rose?"
194,"Olivia Rodrigo","vampire"
195,"Spawnbreezie","La'u Pele Ea"
196,"Keyshia Cole","Love"
197,"Jungle","Back On 74"
198,"Victor Ray","Comfortable"
199,"Jhené Aiko","Bed Peace (feat. Childish Gambino)"
200,"Daya","Hide Away"
