Shazam Top 50 Benin City
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"The Real Prechly, Dj Lux & Dj Guti BPM","A Collision of Two Worlds"
2,"Chike & MohBad","Egwu"
3,"Boy Spyce","Pepe"
4,"Kizz Daniel","Too Busy To Be Bae"
5,"Josiah De Disciple","Funguvhu"
6,"Wizkid","IDK (feat. Zlatan)"
7,"ODUMODUBLVCK, Bloody Civilian & Wale","BLOOD ON THE DANCE FLOOR"
8,"Kizz Daniel","Twe Twe"
9,"Zerrydl","Popo"
10,"Teejay & Davido","Drift (Remix)"
11,"Zlatan","10 Bottles"
12,"Sarkodie","Otan"
13,"ODUMODUBLVCK & Black Sherif","WOTOWOTO SEASONING"
14,"Pcee","Gabriella (feat. Officixl Rsa)"
15,"Nasboi","Umbrella (feat. Wande Coal)"
16,"Destys","Thinta Umoya Wami (feat. Haylow & Vuyô)"
17,"Majeeed","Cry (shayo) [feat. Lojay]"
18,"Shallipopi","Cast (feat. ODUMODUBLVCK)"
19,"Loxiie dee","209 Notes"
20,"Blaqbonez","NYEM EGO (feat. Jeriq)"
21,"LAZ MFANAKA","StapTap (Sgivard Revisit)"
22,"Tyler ICU & Tumelo.za","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)"
23,"Password","Amaghimo"
24,"DJ Neptune & Joeboy","Mumu"
25,"Flavour","Big Baller"
26,"Phyno & Burna Boy","Do I (Remix)"
27,"Khaid","Marry (feat. Shallipopi)"
28,"Omah Lay","Holy Ghost"
29,"Chris Brown","Angel Numbers / Ten Toes"
30,"Asake","Only Me"
31,"Mr.Tee","Digii (feat. Chacha & Frost)"
32,"Wizkid","Diamonds"
33,"Yamê","Bécane - A Colors Show"
34,"Patoranking","Babylon (feat. Victony)"
35,"Rema","DND"
36,"Zinoleesky","Sunny Ade"
37,"Crayon & Ayra Starr","Ngozi"
38,"Seyi Vibez","Different Pattern"
39,"Larry Gaaga","Doe (feat. Davido)"
40,"Spyro","No Gree for Anybody (NGFA)"
41,"Victony & Tempoe","Soweto (Sped up)"
42,"Teejay","Drift"
43,"Mellow & Sleazy, SjavasDaDeejay & Titom","Imnandi lento (feat. Tman Xpress)"
44,"Sarz, Asake & Gunna","Happiness"
45,"Zerrydl","Knack Am"
46,"Shallipopi","Never Ever"
47,"Bnxn","Pidgin & English"
48,"Pheelz","JELO (feat. Young Jonn)"
49,"Vsagz","Sunrise (feat. Parpae & Kaptain)"
50,"Nandipha808 & Ceeka RSA","Forgive Our Trespasses (feat. Demola)"
