Shazam Top 50 Kaduna
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Chike & MohBad","Egwu"
2,"The Real Prechly, Dj Lux & Dj Guti BPM","A Collision of Two Worlds"
3,"Kizz Daniel","Too Busy To Be Bae"
4,"Nasboi","Umbrella (feat. Wande Coal)"
5,"Kizz Daniel","Twe Twe"
6,"Majeeed","Cry (shayo) [feat. Lojay]"
7,"Boy Spyce","Pepe"
8,"Sarkodie","Otan"
9,"Victony","Ohema (feat. Crayon & Bella Shmurda)"
10,"Shallipopi","Cast (feat. ODUMODUBLVCK)"
11,"ODUMODUBLVCK, Bloody Civilian & Wale","BLOOD ON THE DANCE FLOOR"
12,"Zlatan","10 Bottles"
13,"Sarz, Asake & Gunna","Happiness"
14,"Omah Lay","Holy Ghost"
15,"ODUMODUBLVCK & Black Sherif","WOTOWOTO SEASONING"
16,"Asake","Only Me"
17,"Qing Madi","American Love"
18,"Young Jonn","Go Hard"
19,"Teejay & Davido","Drift (Remix)"
20,"Flavour","Big Baller"
21,"Wizkid","IDK (feat. Zlatan)"
22,"Seyi Vibez","Different Pattern"
23,"DJ Neptune & Joeboy","Mumu"
24,"Skales","Don't Say Much"
25,"Crayon & Ayra Starr","Ngozi"
26,"Phyno & Burna Boy","Do I (Remix)"
27,"Patoranking","Babylon (feat. Victony)"
28,"Chris Brown","Angel Numbers / Ten Toes"
29,"King Promise","Terminator (feat. Young Jonn)"
30,"Blaqbonez","NYEM EGO (feat. Jeriq)"
31,"Kukbeatz & Ruger","All of Us"
32,"Rema","DND"
33,"Ado Gwanja","Bani"
34,"Spyro","Only Fine Girl"
35,"Spyro & Simi","Only Fine Girl (Remix)"
36,"Khaid","Marry (feat. Shallipopi)"
37,"Kamo Mphela, Tyler ICU & Khalil Harrison","Dalie (feat. Baby S.O.N)"
38,"Fireboy DML","Obaa Sima"
39,"Spyro","No Gree for Anybody (NGFA)"
40,"Seyi Vibez","Cana"
41,"Abdul Hassan","Meerah"
42,"Lojay & Olamide","Arizona"
43,"Auta mg boy","Soyayya Ba Fada Bane"
44,"Khaid","Anabella"
45,"Phyno","Do I"
46,"Victony & Tempoe","Soweto (Sped up)"
47,"Tyla","Water"
48,"Wizkid","Diamonds"
49,"Chris Brown","Sensational (feat. Davido & Lojay)"
50,"Asake","Lonely At The Top"
