Shazam Top 200 Nigeria Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"The Real Prechly, Dj Lux & Dj Guti BPM","A Collision of Two Worlds"
2,"Chike & MohBad","Egwu"
3,"Boy Spyce","Pepe"
4,"Majeeed","Cry (shayo) [feat. Lojay]"
5,"Kizz Daniel","Too Busy To Be Bae"
6,"ODUMODUBLVCK & Black Sherif","WOTOWOTO SEASONING"
7,"Asake","Only Me"
8,"Larry Gaaga","Doe (feat. Davido)"
9,"Chris Brown","Angel Numbers / Ten Toes"
10,"Kizz Daniel","Twe Twe"
11,"Teejay & Davido","Drift (Remix)"
12,"BhadBoi OML","Memories (Acoustic version)"
13,"Sarkodie","Otan"
14,"Wizkid","IDK (feat. Zlatan)"
15,"Josiah De Disciple","Funguvhu"
16,"Mr.Tee","Digii (feat. Chacha & Frost)"
17,"Shallipopi","Cast (feat. ODUMODUBLVCK)"
18,"Yan Yan","ON GHAD (feat. Debby sugar)"
19,"Nasboi","Umbrella (feat. Wande Coal)"
20,"Zlatan","10 Bottles"
21,"Zerrydl","Popo"
22,"Seyi Vibez","Cana"
23,"TeeFamous","Buga"
24,"Wizkid","Diamonds"
25,"Yamê","Bécane - A Colors Show"
26,"Qing Madi","American Love"
27,"Zinoleesky","Sunny Ade"
28,"ODUMODUBLVCK, Bloody Civilian & Wale","BLOOD ON THE DANCE FLOOR"
29,"Omah Lay","Holy Ghost"
30,"Mofe.","Prince of Egypt"
31,"Victony","Ohema (feat. Crayon & Bella Shmurda)"
32,"Smallgod & Black Sherif","Fallen Angel"
33,"Melvitto & Gabzy","In Fact (feat. Gabzy)"
34,"Seyi Vibez","Different Pattern"
35,"Victony & Tempoe","Soweto (Sped up)"
36,"BhadBoi OML","Shkran Lak"
37,"Khaid","Marry (feat. Shallipopi)"
38,"Sarz, Asake & Gunna","Happiness"
39,"Flavour","Big Baller"
40,"Ayox","Ashewo Boy (feat. Tekno)"
41,"Sunockzbeatz","Osadebe x Umuobiligbo Freebeat"
42,"Lil Tjay","2 Grown (feat. The Kid LAROI)"
43,"Stormzy","Hide & Seek"
44,"Amon","Not Responsible (Slowed)"
45,"Master KG","Ntlo Ea Swa"
46,"Patoranking","Babylon (feat. Victony)"
47,"Qing Madi","Vision"
48,"ESTHER OJI","Fragrance (feat. GGTQ All Stars)"
49,"Blaqbonez","NYEM EGO (feat. Jeriq)"
50,"DJ Neptune & Joeboy","Mumu"
51,"Ayinla Omowura and His Apala Group","Ebi K'ipagun D'ale Ajasa Sansaliu Owo Laso Oge Bojo Ori Se Nle Si Kosogodo Tio Gbe Rin Mi Kosi Igi-Tole Ninu Igbo"
52,"Shallipopi","Never Ever"
53,"DeJ Loaf","Hey There (feat. Future)"
54,"Debby Sugar","ALOT (feat. BhadBoi OML)"
55,"Tyler ICU & Tumelo.za","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)"
56,"Vsagz","Sunrise (feat. Parpae & Kaptain)"
57,"Crayon & Ayra Starr","Ngozi"
58,"Young Jonn","Go Hard"
59,"Rema","Red Potion"
60,"Suherlan Maulana","Cinta Diriku"
61,"Phyno & Burna Boy","Do I (Remix)"
62,"Password","Amaghimo"
