Shazam Top 50 Port Harcourt
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Chike & MohBad","Egwu"
2,"The Real Prechly, Dj Lux & Dj Guti BPM","A Collision of Two Worlds"
3,"Boy Spyce","Pepe"
4,"Majeeed","Cry (shayo) [feat. Lojay]"
5,"Kizz Daniel","Too Busy To Be Bae"
6,"Shallipopi","Cast (feat. ODUMODUBLVCK)"
7,"Kizz Daniel","Twe Twe"
8,"Sarkodie","Otan"
9,"ODUMODUBLVCK & Black Sherif","WOTOWOTO SEASONING"
10,"Flavour","Big Baller"
11,"Teejay & Davido","Drift (Remix)"
12,"ODUMODUBLVCK, Bloody Civilian & Wale","BLOOD ON THE DANCE FLOOR"
13,"Nasboi","Umbrella (feat. Wande Coal)"
14,"Sunockzbeatz","Osadebe x Umuobiligbo Freebeat"
15,"Dj Kamoko","Kazoumba"
16,"Zlatan","10 Bottles"
17,"Omah Lay","Holy Ghost"
18,"Patoranking","Babylon (feat. Victony)"
19,"Victony & Tempoe","Soweto (Sped up)"
20,"DJ Neptune & Joeboy","Mumu"
21,"Khaid","Marry (feat. Shallipopi)"
22,"Wizkid","IDK (feat. Zlatan)"
23,"Blaqbonez","NYEM EGO (feat. Jeriq)"
24,"Umu obiligbo","Udemba"
25,"Victony","Ohema (feat. Crayon & Bella Shmurda)"
26,"Zerrydl","Popo"
27,"Spyro","Only Fine Girl"
28,"Seyi Vibez","Different Pattern"
29,"Shallipopi","Never Ever"
30,"Mr.Tee","Digii (feat. Chacha & Frost)"
31,"Smallgod & Black Sherif","Fallen Angel"
32,"DennyB","OBA (feat. sparkle tee) [speed up]"
33,"Phyno & Burna Boy","Do I (Remix)"
34,"Teejay","Drift"
35,"Flavour","Her Excellency (Nwunye Odogwu)"
36,"Qing Madi","American Love"
37,"Chris Brown","Angel Numbers / Ten Toes"
38,"Gyakie","Rent Free"
39,"Kamo Mphela, Tyler ICU & Khalil Harrison","Dalie (feat. Baby S.O.N)"
40,"Master KG","Ntlo Ea Swa"
41,"Crayon & Ayra Starr","Ngozi"
42,"Sarz, Asake & Gunna","Happiness"
43,"Asake","Only Me"
44,"Ebuka Songs","Calling My Name (I'm a Soldier) [Live]"
45,"Rema","Red Potion"
46,"Yamê","Bécane - A Colors Show"
47,"Phyno","Do I"
48,"Qing Madi","Vision"
49,"Flavour","Fearless (feat. Ejyk Nwamba)"
50,"Kizz Daniel","﻿﻿Anchovy"
