Shazam Top 200 Norway Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Fjellrev & Roc Meiniac","Jeg Vil Ha (Parlamentet)"
2,"Sophie Ellis-Bextor","Murder On The Dancefloor"
3,"Teddy Swims","Lose Control"
4,"He Is We","I Wouldn't Mind"
5,"Jim James","State Of The Art (A.E.I.O.U.)"
6,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
7,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
8,"The Allman Brothers Band","Whipping Post"
9,"Chris Brown","Angel Numbers / Ten Toes"
10,"Kenya Grace","Strangers"
11,"Sherine","Sabry 'Aalil"
12,"Yamê","Bécane - A Colors Show"
13,"cassö, RAYE & D-Block Europe","Prada"
14,"Edward Maya & Vika Jigulina","Stereo Love"
15,"Jack Harlow","Lovin On Me"
16,"Angelina Jordan","Love Don't Let Me Go"
17,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
18,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
19,"The Handsome Family","Far from Any Road"
20,"Cleffy","Meet you at the Graveyard"
21,"Torine","medicine"
22,"Tate McRae","greedy"
23,"Lynyrd Skynyrd","Simple Man"
24,"Emilie Nicolas","Everyday"
25,"LXNGVX","Montagem Mysterious Game"
26,"Timmy Trumpet, Prezioso & 71 Digits","Three Little Birds"
27,"Empire of the Sun","We Are The People"
28,"ZERB & Sofiya Nzau","Mwaki"
29,"Travis Scott","MY EYES"
30,"YG Marley","Praise Jah In the Moonlight"
31,"Flume","Never Be Like You (feat. KAI)"
32,"Delara","Josefin"
33,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
34,"Stromae","Formidable"
35,"Troye Sivan","One Of Your Girls"
36,"Alan Walker, Putri Ariani & Peder Elias","Who I Am"
37,"Lykke Li","I Follow Rivers (The Magician Remix)"
38,"Broiler & Beathoven","når du slår ut håret blir jeg slått ut"
39,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
40,"Kygo & Ava Max","Whatever"
41,"Matoma, Gabrielle & Hver gang vi møtes","Barn Som Deg"
42,"Natasha Bedingfield","Unwritten"
43,"Billie Eilish","bury a friend"
44,"Benson Boone","Beautiful Things"
45,"Tyla","Water"
46,"Veronica Maggio","Trädgården en fredag"
47,"Aden Foyer","The Ballet Girl"
48,"Cigarettes After Sex","Apocalypse"
49,"Radiohead","Everything In Its Right Place"
50,"Clams Casino & Imogen Heap","I'm God"
51,"Katya Lel","Мой мармеладный (Я не права)"
52,"David Kushner","Daylight"
53,"BBC Scottish Symphony Orchestra, Rebecca Miller & Danny Driver","Piano Concerto in C-Sharp Minor, Op. 45: IV. Allegro con scioltezza"
54,"bbno$","edamame (feat. Rich Brian)"
55,"Beathoven & Randi Oline","ER DETTE TIL Å OVERLEVE"
56,"Trine Uthaug","I Wanna Know"
57,"Stéphane Denève, Brussels Philharmonic & Renaud Capuçon","Cinema Paradiso"
58,"Tom Odell","Another Love"
59,"Sunstroke Project","Run Away (feat. Olia Tira)"
60,"Cartel de Santa","Shorty Party (feat. La Kelly)"
61,"James Ehnes & Andrew Armstrong","Violin Sonata in G Minor, B.g5 "The Devil's Trill": III. Grave - Allegro assai (arr. F. Kreisler)"
62,"Jeff Russo","Toxic (feat. Lisa Hannigan)"
63,"The Unthanks","Magpie"
64,"Alan Walker, Dash Berlin & Vikkstar","Better Off (Alone, Pt. III)"
65,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
66,"Olivia Rodrigo","vampire"
67,"Imany","Wonderful Life (Stream Jockey Rework)"
68,"Noah Kahan","Stick Season"
69,"лампабикт & Элли на маковом поле","немерено"
70,"21 Savage","redrum"
71,"Peggy Gou","(It Goes Like) Nanana (Edit)"
72,"Giggs","Incredible Sauce (feat. Dave)"
73,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
74,"Christell","Dubidubidu"
75,"Olivia Rodrigo","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)"
76,"Dua Lipa","Houdini"
77,"Xxanteria & isq","Funked Up (Slowed)"
78,"Chris Avantgarde & Red Rosamond","Inside"
79,"ADAM","Zhurek"
80,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
81,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
82,"Alba August","Quitter"
83,"Curtis Mayfield","Move On Up"
84,"MGMT","Time to Pretend"
85,"BENNETT","Vois sur ton chemin (Techno Mix)"
86,"Zara Larsson & David Guetta","On My Love"
87,"Robbie Nevil","C'est La Vie"
88,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
89,"Ariana Grande","yes, and?"
90,"Pinchas Steinberg & Cologne Radio Orchestra","The Syncopated Clock"
91,"Kendrick Lamar","Swimming Pools (Drank)"
92,"Dagny","Same Again (For Love)"
93,"Flo Milli","Never Lose Me"
94,"KALEO","Way Down We Go"
95,"Michael Marcagi","Scared To Start"
96,"4batz","Act ii: Date @ 8"
97,"Zara Larsson","Can't Tame Her"
98,"Tomcraft","Loneliness (Radio Cut)"
