Shazam Top 50 Oslo
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Jim James","State Of The Art (A.E.I.O.U.)"
2,"Teddy Swims","Lose Control"
3,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
4,"The Allman Brothers Band","Whipping Post"
5,"Angelina Jordan","Love Don't Let Me Go"
6,"Emilie Nicolas","Everyday"
7,"The Handsome Family","Far from Any Road"
8,"Kenya Grace","Strangers"
9,"cassö, RAYE & D-Block Europe","Prada"
10,"Torine","medicine"
11,"Jack Harlow","Lovin On Me"
12,"Billie Eilish","bury a friend"
13,"Lynyrd Skynyrd","Simple Man"
14,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
15,"Timmy Trumpet, Prezioso & 71 Digits","Three Little Birds"
16,"The Unthanks","Magpie"
17,"BBC Scottish Symphony Orchestra, Rebecca Miller & Danny Driver","Piano Concerto in C-Sharp Minor, Op. 45: IV. Allegro con scioltezza"
18,"Sophie Ellis-Bextor","Murder On The Dancefloor"
19,"Delara","Josefin"
20,"Troye Sivan","One Of Your Girls"
21,"James Ehnes & Andrew Armstrong","Violin Sonata in G Minor, B.g5 "The Devil's Trill": III. Grave - Allegro assai (arr. F. Kreisler)"
22,"Stéphane Denève, Brussels Philharmonic & Renaud Capuçon","Cinema Paradiso"
23,"Matoma, Gabrielle & Hver gang vi møtes","Barn Som Deg"
24,"ZERB & Sofiya Nzau","Mwaki"
25,"Alan Walker, Putri Ariani & Peder Elias","Who I Am"
26,"Radiohead","Everything In Its Right Place"
27,"Tate McRae","greedy"
28,"Jeff Russo","Toxic (feat. Lisa Hannigan)"
29,"Pinchas Steinberg & Cologne Radio Orchestra","The Syncopated Clock"
30,"Aden Foyer","The Ballet Girl"
31,"Zara Larsson","Can't Tame Her"
32,"Imany","Wonderful Life (Stream Jockey Rework)"
33,"Kygo","Say Say Say (feat. Paul McCartney & Michael Jackson)"
34,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
35,"Beathoven & Randi Oline","ER DETTE TIL Å OVERLEVE"
36,"Tyla","Water"
37,"Dua Lipa","Houdini"
38,"Trine Uthaug","I Wanna Know"
39,"Kygo & Ava Max","Whatever"
40,"Robbie Nevil","C'est La Vie"
41,"Chris Avantgarde & Red Rosamond","Inside"
42,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
43,"bbno$","edamame (feat. Rich Brian)"
44,"Alan Walker, Dash Berlin & Vikkstar","Better Off (Alone, Pt. III)"
45,"Broiler & Beathoven","når du slår ut håret blir jeg slått ut"
46,"Cigarettes After Sex","Apocalypse"
47,"Hillari","Fall Into Place"
48,"P!nk","A Million Dreams"
49,"ARY","La Vie Est Une Rose"
50,"Shawn Mullins","Lullaby"
