Shazam Top 50 Lima
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Feid & ATL Jacob","LUNA"
2,"Iñigo Quintero","Si No Estás"
3,"Big One, FMK & Ke personajes","Un Finde  CROSSOVER #2"
4,"Diego Torres","Mejor Que Ayer"
5,"Cesar BK & Alvaro Rod","Hoy Te Voy a Olvidar"
6,"Myke Towers","LA FALDA"
7,"Mawell","La Triple M"
8,"Ke personajes & Onda Sabanera","Pobre Corazón (En Vivo)"
9,"Carin Leon","La Primera Cita"
10,"Peso Pluma & Anitta","BELLAKEO"
11,"Grupo Frontera & Ke personajes","OJITOS ROJOS"
12,"FIFTY FIFTY","Cupid"
13,"Arcángel & Grupo Frontera","ALV"
14,"Sophie Ellis-Bextor","Murder On The Dancefloor"
15,"Jere Klein & Gittobeatz","ANDO"
16,"Feid & Rema","BUBALU"
17,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
18,"Simon & Garfunkel","El Condor Pasa (If I Could)"
19,"Maria Becerra","ADIÓS"
20,"Yahritza Y Su Esencia & Grupo Frontera","Frágil"
21,"KAROL G & Peso Pluma","QLONA"
22,"KAROL G","MI EX TENÍA RAZÓN"
23,"Myke Towers","LALA"
24,"Bad Bunny & Feid","PERRO NEGRO"
25,"George Michael","Careless Whisper"
26,"Fresto Music","Me Hace Daño Verte"
27,"Darell","Lollipop"
28,"Jung Kook","Standing Next to You"
29,"Maluma & Carin Leon","Según Quién"
30,"JP el Chamaco","Toma Que Toma"
31,"Marshmello & Manuel Turizo","El Merengue"
32,"Quevedo","Columbia"
33,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
34,"F.R. David","Words (Original 1982)"
35,"a-ha","Take On Me"
36,"El Chulo, Dany Ome & Wampi","Tienes Que Nacer de Nuevo (feat. Kevincito El 13, DJ ALEX & Lex White)"
37,"Ricky Martin","Disparo al Corazón"
38,"Tears for Fears","Everybody Wants To Rule The World"
39,"LIT killah, Tiago PZK, Maria Becerra, Duki, Emilia, Rusherking, Big One & FMK","Los del Espacio"
40,"Doja Cat","Paint The Town Red"
41,"Sebastián Yatra, Manuel Turizo & Beéle","VAGABUNDO"
42,"Bad Bunny","NO ME QUIERO CASAR"
43,"Ariana Grande","yes, and?"
44,"El Último de la Fila","Como un burro amarrado en la puerta del baile (Versión 2023)"
45,"4 Non Blondes","What's Up?"
46,"Rosa Linn","SNAP"
47,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
48,"Jessica Jay","Casablanca"
49,"Electric Light Orchestra","Last Train to London"
50,"Keane","Somewhere Only We Know"
