Shazam Top 200 Peru Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Feid & ATL Jacob","LUNA"
2,"Jessica Jay","Casablanca"
3,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
4,"Xavi","La Diabla"
5,"El Chulo, Dany Ome & Wampi","Tienes Que Nacer de Nuevo (feat. Kevincito El 13, DJ ALEX & Lex White)"
6,"Sophie Ellis-Bextor","Murder On The Dancefloor"
7,"Iñigo Quintero","Si No Estás"
8,"Cesar BK & Alvaro Rod","Hoy Te Voy a Olvidar"
9,"Mesita, NICKI NICOLE & Tiago PZK","Una Foto Remix (feat. Emilia)"
10,"Peso Pluma & Anitta","BELLAKEO"
11,"Rio Romeo","Nothing's New"
12,"Myke Towers","LA FALDA"
13,"Gaby Music, Luar La L & Lunay","No Te Quieren Conmigo"
14,"Jere Klein & Gittobeatz","ANDO"
15,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
16,"Katya Lel","Мой мармеладный (Я не права)"
17,"Big One, FMK & Ke personajes","Un Finde  CROSSOVER #2"
18,"El Joan & Celso El Potente","Le Gustan lo' Flaites"
19,"Yamê","Bécane - A Colors Show"
20,"Michael Bublé","Feeling Good"
21,"Diego Torres","Mejor Que Ayer"
22,"Carin Leon","La Primera Cita"
23,"Sunstroke Project","Run Away (feat. Olia Tira)"
24,"Keane","Somewhere Only We Know"
25,"Grupo Frontera & Ke personajes","OJITOS ROJOS"
26,"Pitbull","Guantanamera (She's Hot)"
27,"Arcángel & Grupo Frontera","ALV"
28,"Mawell","La Triple M"
29,"George Michael","Careless Whisper"
30,"Mitski","My Love Mine All Mine"
31,"Ke personajes & Onda Sabanera","Pobre Corazón (En Vivo)"
32,"C. Tangana","Mala Mujer"
33,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
34,"Oasis","Stop Crying Your Heart Out"
35,"Tom Odell","Another Love"
36,"Darell","Lollipop"
37,"Laura Branigan","Self Control"
38,"Maluma & Carin Leon","Según Quién"
39,"Modern Talking","Cheri Cheri Lady"
40,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
41,"Doble ONE Flow Letal","Mi Kryptonita"
42,"Eugenio Esquivel, Grupo Marca Registrada & Sebastian Esquivel","Alucin"
43,"Lady Gaga","Bloody Mary"
44,"Milo j","M.A.I"
45,"KAROL G & Peso Pluma","QLONA"
46,"El Último de la Fila","Como un burro amarrado en la puerta del baile (Versión 2023)"
47,"21 Savage","redrum"
48,"Bad Bunny & Feid","PERRO NEGRO"
49,"Mary J. Blige","Family Affair"
50,"LATIN MAFIA & Humbe","Patadas de Ahogado"
51,"Peggy Gou","(It Goes Like) Nanana (Edit)"
52,"Feid & Rema","BUBALU"
53,"Edward Maya & Vika Jigulina","Stereo Love"
54,"Electric Light Orchestra","Last Train to London"
55,"Men At Work","Who Can It Be Now?"
56,"Fresto Music","Me Hace Daño Verte"
57,"Tears for Fears","Everybody Wants To Rule The World"
58,"Noriel","La Paso C****n (feat. Gigolo Y La Exce, Falsetto y Sammy, Mike Duran & Baby Angel)"
59,"Haddaway","What Is Love"
60,"Creepy Nuts","Bling-Bang-Bang-Born"
61,"Natasha Bedingfield","Unwritten"
62,"Humbe","fantasmas"
63,"Lesley Gore","You Don't Own Me"
64,"Grupo 5 & Eddy Herrera","Amor Vuelve (En Vivo)"
65,"KAROL G","AMARGURA"
66,"Bad Bunny","NO ME QUIERO CASAR"
67,"Sean Paul","I'm Still in Love with You (feat. Sasha)"
68,"Fuerza Regida & Marshmello","HARLEY QUINN"
69,"Jung Kook","Standing Next to You"
70,"Young the Giant","Mind Over Matter"
71,"Yahritza Y Su Esencia & Grupo Frontera","Frágil"
72,"Men At Work","Down Under"
73,"He Is We","I Wouldn't Mind"
74,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
75,"Jere Klein, Nickoog Clk, Lucky Brown & El Bai","PRINCESITA DE ..."
76,"Stephen Sanchez & Em Beihold","Until I Found You (Em Beihold Version)"
77,"The Greg Kihn Band","The Break up Song"
78,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
79,"KALEO","Way Down We Go"
80,"FIFTY FIFTY","Cupid"
81,"Harry Styles","As It Was"
82,"Milky Chance","Stolen Dance"
83,"Synapson","Hide Away (feat. Holly)"
84,"Alan Gomez & Maty Deejay","Live Set Retro 1 (Remix)"
85,"James Arthur","Car's Outside"
86,"Yoari","TRUE"
87,"Quevedo","Columbia"
88,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
89,"Sofia Castro","Te Juro No Te Miento"
90,"Daryl Hall & John Oates","Maneater"
91,"French Montana","Unforgettable (feat. Swae Lee)"
92,"Myke Towers","LALA"
93,"Prince Royce","La Carretera"
94,"Fitz and The Tantrums","Out of My League"
95,"Zion, Jory Boy & Ken-Y","More"
96,"Lord Huron","The Night We Met"
97,"Maria Becerra","ADIÓS"
98,"Survivor","Eye of the Tiger"
99,"New West","Those Eyes"
100,"Boa","Duvet"
101,"David Kushner","Daylight"
102,"Estación 21 & Los Villacorta Orquesta","Mix Chelero 2 (Volverás/ Traicionera)"
103,"Ariana Grande","yes, and?"
104,"Peter Schilling","Major Tom (Völlig losgelöst)"
105,"Hoobastank","The Reason"
106,"Christell","Dubidubidu"
107,"JP el Chamaco","Toma Que Toma"
108,"Eminem","Love The Way You Lie (feat. Rihanna)"
109,"a-ha","Take On Me"
110,"Rauw Alejandro","DILUVIO"
111,"Loreen","Tattoo"
