Shazam Top 200 Philippines Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Nik Makino","We Made It (feat. Flow G)"
2,"Hev Abi","Walang Alam"
3,"Kristina Dawn","Makasarili Malambing (feat. Hev Abi)"
4,"Up Dharma Down","Unti-Unti"
5,"Flume","Never Be Like You (feat. KAI)"
6,"J.Tajor","Like I Do"
7,"Justin Timberlake","Mirrors"
8,"O SIDE MAFIA & Brgr","Get Low"
9,"Rob Deniel","Miss Miss"
10,"He Is We","I Wouldn't Mind"
11,"Alicia Keys","If I Ain't Got You"
12,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
13,"Skusta Clee","Lagabog"
14,"Katya Lel","Мой мармеладный (Я не права)"
15,"Natasha Bedingfield","Unwritten"
16,"Yamê","Bécane - A Colors Show"
17,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
18,"Doja Cat","Agora Hills"
19,"Illest Morena","Faded (Raw)"
20,"Kendrick Lamar","Swimming Pools (Drank)"
21,"Hev Abi","Lil Kasalanan Shortie"
22,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
23,"4batz","Act ii: Date @ 8"
24,"Ben&Ben","Sa Susunod na Habang Buhay"
25,"Denise Julia & P-LO","B.A.D."
26,"Ariana Grande","bloodline"
27,"Mitski","My Love Mine All Mine"
28,"Sugar High","Sugar Sugar"
29,"Cup of Joe & Janine","Tingin"
30,"gins&melodies","Babaero (feat. Hev Abi)"
31,"Tyla","Water"
32,"Jack Harlow","Lovin On Me"
33,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
34,"Arthur Nery","TAKE ALL THE LOVE"
35,"Orange & Lemons","Heaven Knows (This Angel Has Flown)"
36,"Arthur Miguel","Lihim"
37,"Mary J. Blige","Family Affair"
38,"Creed","One Last Breath"
39,"Tate McRae","greedy"
40,"Keane","Somewhere Only We Know"
41,"Radkidz (PABLO and josue), PABLO & Josue","DETERMINADO"
42,"SAM KIM","Say You Love Me"
43,"bbno$","edamame (feat. Rich Brian)"
44,"Jung Kook","Standing Next to You"
45,"Keahiwai","Falling"
46,"Hev Abi","Alam Mo Ba Girl"
47,"NIKI","Take A Chance With Me"
48,"Ariana Grande","yes, and?"
49,"Sophie Ellis-Bextor","Murder On The Dancefloor"
50,"Paul Russell","Lil Boo Thang"
51,"USHER","Hey Daddy (Daddy's Home) [feat. Plies]"
52,"Shanti Dope","Mau"
53,"Rob Deniel","RomCom"
54,"G-Eazy","Tumblr Girls (feat. Christoph Andersson)"
55,"Felip","Kanako"
56,"21 Savage","redrum"
57,"Taylor Swift",""Slut!" (Taylor's Version) [From The Vault]"
58,"Pappel","Taguan Sa Maliwanag Na Buwan"
59,"Janine Berdin","SITWASYONSHIP"
60,"JRLDM","Para Sa Sarili"
61,"Katy Perry","Wide Awake"
62,"Nicki Minaj","FTCU"
63,"Gilbert O'Sullivan","Alone Again (Naturally)"
64,"Harry James","It's Been a Long, Long Time"
65,"DĖMI","Pakundangan (feat. Hev Abi)"
66,"Lana Del Rey","Chemtrails Over the Country Club"
67,"DĖMI & slimedemidemislime","homebdy (feat. MADMAN STAN)"
68,"Boa","Duvet"
69,"50 Cent","Baby By Me (feat. Ne-Yo)"
70,"Kenya Grace","Strangers"
71,"Binangonan Hustla","Cerrero Hollywood (feat. 2ldok & Madman Stan)"
