Shazam Top 50 Kraków
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"CYRIL","Stumblin' In"
2,"Teddy Swims","Lose Control"
3,"Vixen","Ne Rozumiju"
4,"Imany","Wonderful Life (Stream Jockey Rework)"
5,"Daria Zawiałow & Taco Hemingway","SUPRO"
6,"Alan Walker & Daya","Heart over Mind"
7,"Lanberry & Tribbs","Dzięki, że jesteś"
8,"Conan Gray","Killing Me"
9,"EMO & marta bijan","Cud"
10,"Kleks, IGO, Kaśka Sochacka, Mrozu, Artur Rojek, Brodka, Ralph Kaminski, Bedoes 2115 & Sokół","Całkiem Nowa Bajka"
11,"Cigarettes After Sex","Apocalypse"
12,"Kleks & sanah","Jestem Twoją Bajką"
13,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
14,"KSHMR","Tears On The Dancefloor (feat. Hannah Boleyn) [Night Mode]"
15,"Tiësto & BIA","BOTH (with 21 Savage)"
16,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
17,"Alok, The Chainsmokers & Mae Stephens","Jungle"
18,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
19,"ZERB & Sofiya Nzau","Mwaki"
20,"Kwiat Jabłoni","Byłominęło"
21,"Wiktor Waligóra","Podróż w czasie"
22,"Dua Lipa","Houdini"
23,"Lost Frequencies & Bastille","Head Down"
24,"James Hype & Kim Petras","Drums"
25,"Paul Russell","Lil Boo Thang"
26,"Simon & Garfunkel","El Condor Pasa (If I Could)"
27,"The Kolors","ITALODISCO"
28,"Oskar Cyms","Nigdy wcześniej"
29,"Doda","Mama"
30,"Kenya Grace","Strangers"
31,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
32,"Dead Man's Bones","Lose Your Soul"
33,"Oliver Heldens & WeiBird","Out of Love"
34,"A.A.Williams","Where Is My Mind?"
35,"Sylwia Grzeszczak","Motyle"
36,"Troye Sivan","Got Me Started"
37,"Tate McRae","greedy"
38,"Kleks, Oskar Cyms & Carla Fernandes","Do gwiazd"
39,"Jim James","State Of The Art (A.E.I.O.U.)"
40,"Sophie Ellis-Bextor","Murder On The Dancefloor"
41,"Noah Kahan","Stick Season"
42,"Daria Marx","Feelings"
43,"HUTS & y_x","Out Of My Head"
44,"Alan Walker, JVKE & YUQI","Fire!"
45,"Fleetwood Mac","Everywhere"
46,"Gibbs, Jonatan & 4money","Stan"
47,"DJ Tons","Always Remember Us This Way"
48,"LIAMOO & Kuba","Running With Lightning"
49,"Thirty Seconds to Mars","Seasons"
50,"The Hybsters","Spacer (2min Version) [Orchestral Rework]"
