Shazam Top 200 Poland Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"CYRIL","Stumblin' In"
2,"Vixen","Ne Rozumiju"
3,"Teddy Swims","Lose Control"
4,"Alan Walker & Daya","Heart over Mind"
5,"Daria Zawiałow & Taco Hemingway","SUPRO"
6,"Lanberry & Tribbs","Dzięki, że jesteś"
7,"Imany","Wonderful Life (Stream Jockey Rework)"
8,"ZERB & Sofiya Nzau","Mwaki"
9,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
10,"KSHMR","Tears On The Dancefloor (feat. Hannah Boleyn) [Night Mode]"
11,"Kleks, IGO, Kaśka Sochacka, Mrozu, Artur Rojek, Brodka, Ralph Kaminski, Bedoes 2115 & Sokół","Całkiem Nowa Bajka"
12,"Conan Gray","Killing Me"
13,"Cigarettes After Sex","Apocalypse"
14,"Tiësto & BIA","BOTH (with 21 Savage)"
15,"Alok, The Chainsmokers & Mae Stephens","Jungle"
16,"EMO & marta bijan","Cud"
17,"Kleks & sanah","Jestem Twoją Bajką"
18,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
19,"Oskar Cyms","Nigdy wcześniej"
20,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
21,"James Hype & Kim Petras","Drums"
22,"Dua Lipa","Houdini"
23,"Wiktor Waligóra","Podróż w czasie"
24,"Kwiat Jabłoni","Byłominęło"
25,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
26,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
27,"Sylwia Grzeszczak","Motyle"
28,"Kenya Grace","Strangers"
29,"Lost Frequencies & Bastille","Head Down"
30,"Cleffy","Meet you at the Graveyard"
31,"Kleks, Oskar Cyms & Carla Fernandes","Do gwiazd"
32,"Sophie Ellis-Bextor","Murder On The Dancefloor"
33,"Doda","Mama"
34,"Tate McRae","greedy"
35,"Szpaku & Deemz","Plaster"
36,"DJ Tons","Always Remember Us This Way"
37,"HUTS & y_x","Out Of My Head"
38,"Alan Walker, JVKE & YUQI","Fire!"
39,"Yamê","Bécane - A Colors Show"
40,"The Kolors","ITALODISCO"
41,"Kendrick Lamar","Swimming Pools (Drank)"
42,"Paul Russell","Lil Boo Thang"
43,"SERA & YouNotUs","I Can’t Be The Only One"
44,"He Is We","I Wouldn't Mind"
45,"Troye Sivan","Got Me Started"
46,"ADAM","Zhurek"
47,"Oliver Heldens & WeiBird","Out of Love"
48,"The Hybsters","Spacer (2min Version) [Orchestral Rework]"
49,"Jack Harlow","Lovin On Me"
50,"LXNGVX","Montagem Mysterious Game"
51,"Alok, Mondello'G & Ceres","LET'S GET FKD UP (feat. Tribbs)"
52,"alyona alyona & Jerry Heil","Teresa & Maria"
53,"Empire of the Sun","We Are The People"
54,"Sunstroke Project","Run Away (feat. Olia Tira)"
55,"Figo i Samogony","Erotyczne Pif-Paf"
56,"LIAMOO & Kuba","Running With Lightning"
57,"Fleetwood Mac","Everywhere"
58,"Noah Kahan","Stick Season"
59,"Sherine","Sabry 'Aalil"
60,"Simon & Garfunkel","El Condor Pasa (If I Could)"
61,"Flume","Never Be Like You (feat. KAI)"
62,"Edward Maya & Vika Jigulina","Stereo Love"
63,"Lost Frequencies & Tom Gregory","Dive"
64,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
65,"BENNETT","Vois sur ton chemin (Techno Mix)"
66,"Jax Jones, D.O.D & Ina Wroldsen","Won't Forget You"
67,"Daria Marx","Feelings"
68,"Jim James","State Of The Art (A.E.I.O.U.)"
69,"Ace of Base","Happy Nation"
70,"Gibbs, Jonatan & 4money","Stan"
71,"A.A.Williams","Where Is My Mind?"
72,"Jonas Brothers","Strong Enough (feat. Bailey Zimmerman)"
73,"Dead Man's Bones","Lose Your Soul"
74,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
75,"shometyle","Alien Flame"
76,"Olivia Addams","Dangerous"
77,"Nikos Band","Georgian Disco (Live)"
78,"Stromae","Formidable"
79,"21 Savage","redrum"
80,"Skolim","Co W Tobie Jest"
81,"George Michael","Careless Whisper"
82,"Kaśka Sochacka","Madison"
83,"Wenzl McGowen & Enisa","Disco Cone (Take It High)"
84,"Kizo & Bletka","Taxi (feat. BeMelo, Eddie Block & Adash)"
85,"Peggy Gou","(It Goes Like) Nanana (Edit)"
86,"Marf","Headphones (feat. Aron Blom)"
87,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
88,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
89,"James Blunt","Beside You"
