Shazam Top 50 Warsaw
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"CYRIL","Stumblin' In"
2,"Imany","Wonderful Life (Stream Jockey Rework)"
3,"Vixen","Ne Rozumiju"
4,"Teddy Swims","Lose Control"
5,"Cigarettes After Sex","Apocalypse"
6,"Alan Walker & Daya","Heart over Mind"
7,"Lanberry & Tribbs","Dzięki, że jesteś"
8,"ZERB & Sofiya Nzau","Mwaki"
9,"Daria Zawiałow & Taco Hemingway","SUPRO"
10,"KSHMR","Tears On The Dancefloor (feat. Hannah Boleyn) [Night Mode]"
11,"Jim James","State Of The Art (A.E.I.O.U.)"
12,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
13,"Kleks, IGO, Kaśka Sochacka, Mrozu, Artur Rojek, Brodka, Ralph Kaminski, Bedoes 2115 & Sokół","Całkiem Nowa Bajka"
14,"Kleks & sanah","Jestem Twoją Bajką"
15,"Conan Gray","Killing Me"
16,"Dua Lipa","Houdini"
17,"Tiësto & BIA","BOTH (with 21 Savage)"
18,"Kenya Grace","Strangers"
19,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
20,"A.A.Williams","Where Is My Mind?"
21,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
22,"Kwiat Jabłoni","Byłominęło"
23,"The Kolors","ITALODISCO"
24,"EMO & marta bijan","Cud"
25,"James Hype & Kim Petras","Drums"
26,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
27,"Billie Eilish","bury a friend"
28,"Oskar Cyms","Nigdy wcześniej"
29,"The Unthanks","Magpie"
30,"Simon & Garfunkel","El Condor Pasa (If I Could)"
31,"Alan Walker, JVKE & YUQI","Fire!"
32,"Dead Man's Bones","Lose Your Soul"
33,"The Hybsters","Spacer (2min Version) [Orchestral Rework]"
34,"HUTS & y_x","Out Of My Head"
35,"Wiktor Waligóra","Podróż w czasie"
36,"Doda","Mama"
37,"Fleetwood Mac","Everywhere"
38,"Alok, The Chainsmokers & Mae Stephens","Jungle"
39,"DJ Tons","Always Remember Us This Way"
40,"Oliver Heldens & WeiBird","Out of Love"
41,"SERA & YouNotUs","I Can’t Be The Only One"
42,"Lost Frequencies & Bastille","Head Down"
43,"Tomcraft","Loneliness (Radio Cut)"
44,"Radiohead","Everything In Its Right Place"
45,"Jamie xx","It's So Good"
46,"Troye Sivan","Got Me Started"
47,"Gibbs, Jonatan & 4money","Stan"
48,"Kleks, Oskar Cyms & Carla Fernandes","Do gwiazd"
49,"bbno$","edamame (feat. Rich Brian)"
50,"Tate McRae","greedy"
