Shazam Top 50 Lisbon
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Slow J","Tata"
2,"Iñigo Quintero","Si No Estás"
3,"Teddy Swims","Lose Control"
4,"Maninho","Até ao Fim"
5,"Noah Kahan","Stick Season"
6,"Tyla","Water"
7,"SYRO & Bispo","Brutos Diamantes"
8,"Pablo Alborán","Amigos (con María Becerra)"
9,"Loreen","Tattoo"
10,"AgroPlay & Ana Castela","Nosso Quadro"
11,"Bárbara Bandeira","Carro (feat. Dillaz)"
12,"Nena","os croquetes acabam"
13,"Feid & Rema","BUBALU"
14,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
15,"Doja Cat","Paint The Town Red"
16,"Olivia Rodrigo","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)"
17,"Marshmello & Manuel Turizo","El Merengue"
18,"Calema","Perfume"
19,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
20,"Myke Towers","LALA"
21,"Sia","Gimme Love"
22,"Peggy Gou","(It Goes Like) Nanana (Edit)"
23,"D.A.M.A","Mãe"
24,"Zara Larsson & David Guetta","On My Love"
25,"Miley Cyrus","Used To Be Young"
26,"Van Zee","Alma Nua"
27,"Ivandro & Vitor Kley","Noite"
28,"Mitski","My Love Mine All Mine"
29,"Bad Bunny","MONACO"
30,"GIULIA BE","perfeita"
31,"Calema","A Nossa Dança"
32,"D.A.M.A & The Romeros","Loucamente"
33,"Buba Espinho","Ao Teu Ouvido (feat. Bárbara Tinoco)"
34,"Jim James","State Of The Art (A.E.I.O.U.)"
35,"Joana Almeirante","Dois corações partidos (feat. Samuel Uria)"
36,"Kenya Grace","Strangers"
37,"Ivandro & Julinho Ksd","Chakras"
38,"Mickael Carreira","Caladinho"
39,"Matay & Matias Damásio","Deus Sabe O Que Faz"
40,"Dua Lipa","Houdini"
41,"Luan Pereira, Mc Daniel & MC Ryan SP","DENTRO DA HILUX"
42,"Olivia Rodrigo","vampire"
43,"Jung Kook","Standing Next to You"
44,"Richie Campbell","Heartless"
45,"Natasha Bedingfield","Unwritten"
46,"Diogo Piçarra","Não Te Odeio"
47,"Diana Lima","Ponto Para Terminar"
48,"James Arthur","A Year Ago"
49,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
50,"Tate McRae","greedy"
