Shazam Top 50 Porto
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Slow J","Tata"
2,"Iñigo Quintero","Si No Estás"
3,"Teddy Swims","Lose Control"
4,"Maninho","Até ao Fim"
5,"Noah Kahan","Stick Season"
6,"Pablo Alborán","Amigos (con María Becerra)"
7,"Feid & Rema","BUBALU"
8,"SYRO & Bispo","Brutos Diamantes"
9,"Loreen","Tattoo"
10,"Tyla","Water"
11,"Nena","os croquetes acabam"
12,"AgroPlay & Ana Castela","Nosso Quadro"
13,"Bárbara Bandeira","Carro (feat. Dillaz)"
14,"Calema","Perfume"
15,"Roger Sanchez","Again"
16,"Disclosure","You & Me (feat. Eliza Doolittle) [Rivo Remix]"
17,"Sia","Gimme Love"
18,"Zara Larsson & David Guetta","On My Love"
19,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
20,"Olivia Rodrigo","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)"
21,"ZERB & Sofiya Nzau","Mwaki"
22,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
23,"Miley Cyrus","Used To Be Young"
24,"Doja Cat","Paint The Town Red"
25,"Mickael Carreira","Caladinho"
26,"Mitski","My Love Mine All Mine"
27,"Peggy Gou","(It Goes Like) Nanana (Edit)"
28,"Ivandro & Vitor Kley","Noite"
29,"D.A.M.A","Mãe"
30,"Dua Lipa","Houdini"
31,"Diogo Piçarra","Não Te Odeio"
32,"Calema","A Nossa Dança"
33,"GIULIA BE","perfeita"
34,"Bad Bunny","MONACO"
35,"Natasha Bedingfield","Unwritten"
36,"Marshmello & Manuel Turizo","El Merengue"
37,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
38,"Olivia Rodrigo","vampire"
39,"D.A.M.A & The Romeros","Loucamente"
40,"Kenya Grace","Strangers"
41,"TR3NACRIA & StereoKilla","La Foule (Le Monde Mix)"
42,"Peso Pluma & Anitta","BELLAKEO"
43,"Myke Towers","LALA"
44,"Niall Horan","Heaven"
45,"Buba Espinho","Ao Teu Ouvido (feat. Bárbara Tinoco)"
46,"Luan Pereira, Mc Daniel & MC Ryan SP","DENTRO DA HILUX"
47,"Jung Kook","Standing Next to You"
48,"Joana Almeirante","Dois corações partidos (feat. Samuel Uria)"
49,"MARO","we've been loving in silence"
50,"James Arthur","A Year Ago"
