Shazam Top 200 Portugal Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Slow J","Tata"
2,"Teddy Swims","Lose Control"
3,"Iñigo Quintero","Si No Estás"
4,"Maninho","Até ao Fim"
5,"Noah Kahan","Stick Season"
6,"SYRO & Bispo","Brutos Diamantes"
7,"Pablo Alborán","Amigos (con María Becerra)"
8,"Loreen","Tattoo"
9,"Feid & Rema","BUBALU"
10,"Bárbara Bandeira","Carro (feat. Dillaz)"
11,"Calema","Perfume"
12,"Tyla","Water"
13,"AgroPlay & Ana Castela","Nosso Quadro"
14,"Olivia Rodrigo","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)"
15,"Nena","os croquetes acabam"
16,"Zara Larsson & David Guetta","On My Love"
17,"Yamê","Bécane - A Colors Show"
18,"Sia","Gimme Love"
19,"Chris Brown","Angel Numbers / Ten Toes"
20,"Natasha Bedingfield","Unwritten"
21,"Mitski","My Love Mine All Mine"
22,"Doja Cat","Paint The Town Red"
23,"Peggy Gou","(It Goes Like) Nanana (Edit)"
24,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
25,"Pineapple StormTv, Salve Malak, Mc Poze do Rodo, Luiz Lins, Mc Hariel, Azzy, JayA Luuck, Oruam, Slipmami, MC Cabelinho & Chefin","Poesia Acústica 15"
26,"Mickael Carreira","Caladinho"
27,"D.A.M.A","Mãe"
28,"Diogo Piçarra","Não Te Odeio"
29,"Bad Bunny","MONACO"
30,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
31,"Marshmello & Manuel Turizo","El Merengue"
32,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
33,"Myke Towers","LALA"
34,"Dua Lipa","Houdini"
35,"GIULIA BE","perfeita"
36,"Ivandro & Vitor Kley","Noite"
37,"MC PH, Borges, WIU, Pedro Lotto & WEY","Tenho Que Me Decidir"
38,"Jung Kook","Standing Next to You"
39,"ZERB & Sofiya Nzau","Mwaki"
40,"Miley Cyrus","Used To Be Young"
41,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
42,"Peso Pluma & Anitta","BELLAKEO"
43,"Calema","A Nossa Dança"
44,"Kenya Grace","Strangers"
45,"CAMPIRA","Garrafa (feat. IURI STONE)"
46,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
47,"D.A.M.A & The Romeros","Loucamente"
48,"Sophie Ellis-Bextor","Murder On The Dancefloor"
49,"David Carreira","Borboleta"
50,"Van Zee","Alma Nua"
51,"Joana Almeirante","Dois corações partidos (feat. Samuel Uria)"
52,"Dean Lewis","Trust Me Mate (Acoustic)"
53,"Buba Espinho","Ao Teu Ouvido (feat. Bárbara Tinoco)"
54,"21 Savage","redrum"
55,"Niall Horan","Heaven"
56,"YG Marley","Praise Jah In the Moonlight"
57,"MC PH, MC Ryan SP & MC Luki","Let's Go 4 (feat. Mc Davi, Mc Don Juan, Mc Kadu, MC Gh do 7, MC GP, TrapLaudo, DJ Gbr & Mc IG)"
58,"Tate McRae","greedy"
59,"Matay & Matias Damásio","Deus Sabe O Que Faz"
60,"Paul Russell","Lil Boo Thang"
61,"Badoxa","365"
62,"Richie Campbell","Heartless"
63,"Tom Odell","Another Love"
64,"Ivandro & Julinho Ksd","Chakras"
65,"Ivandro & Van Zee","Chamadas"
66,"Justin Timberlake","Mirrors"
67,"Diana Lima","Ponto Para Terminar"
68,"James Arthur","A Year Ago"
69,"Juliette","Tengo"
70,"Luan Pereira, Mc Daniel & MC Ryan SP","DENTRO DA HILUX"
71,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
72,"He Is We","I Wouldn't Mind"
73,"Olivia Rodrigo","vampire"
74,"Melim & Vitor Kley","Mapa"
75,"Os Quatro e Meia","Na Escola"
76,"Borges, MC Cabelinho, Veigh, Ruxn, Palma & Kizzy","Loucura"
77,"Disclosure","You & Me (feat. Eliza Doolittle) [Rivo Remix]"
78,"Edward Maya & Vika Jigulina","Stereo Love"
79,"LXNGVX","Montagem Mysterious Game"
80,"Manu & Simone Mendes","Daqui pra Sempre (Ao Vivo)"
81,"PEDRO SAMPAIO","POCPOC"
82,"Roger Sanchez","Again"
83,"Rachel Reis, Cuper & Zamba","Maresia (feat. Fredinho O Louco)"
84,"MARO","we've been loving in silence"
85,"JC no beat, DJ F7 & MC Meno Dani","Maria Mariah (feat. Silva MC)"
86,"2WEI","Toxic"
87,"Jim James","State Of The Art (A.E.I.O.U.)"
88,"Lon3r Johny & Plutónio","UH LA LA LA"
89,"Charlotte Cardin","Next to you"
90,"KeeMo","Beautiful Lie (feat. Cosmo Klein) [Keemo's Terrace Mix]"
91,"Cian Ducrot","Heaven"
92,"Manuel Turizo","La Bachata"
93,"Sabrina Carpenter","Feather"
94,"ROSALÍA & The Weeknd","LA FAMA"
95,"Jacob Collier","Witness Me (feat. Shawn Mendes, Stormzy & Kirk Franklin)"
96,"Pedrinha Moraes","Pi Po Po Po Ro Po"
97,"Jack Harlow","Lovin On Me"
98,"Bianca Barros","Antes Da Noite Acabar"
99,"Slow J","CorDaPele"
100,"Os Quatro e Meia","O Tempo Vai Esperar (Ao Vivo)"
101,"Rema","Calm Down"
102,"Lady Gaga & Bradley Cooper","Shallow"
103,"Paula Fernandes","Não Precisa (Live)"
104,"Piruka","Impossíveis"
105,"Kappa Jotta & MUN","ROSAS"
106,"Tom Walker","Burn"
107,"Mickael Carreira & Matias Damásio","Pelos Cantos do Mundo"
108,"Calvin Harris & Sam Smith","Desire"
109,"Richie Campbell","Do You No Wrong"
110,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
111,"Cian Ducrot","All For You"
112,"Keane","Somewhere Only We Know"
113,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
114,"Doja Cat","Agora Hills"
115,"T-Rex","TA TUDO BEM"
116,"Tyla","Truth or Dare"
117,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
118,"Marshmello & Anuel AA","Alcohol"
119,"MC Livinho & DJ Matt D","Novidade na Área"
120,"Murta & Diana Lima","Tu Sabes"
121,"Cigarettes After Sex","Apocalypse"
122,"BENNETT","Vois sur ton chemin (Techno Mix)"
123,"KAROL G & Shakira","TQG"
124,"George Michael","Careless Whisper"
125,"Jung Kook & Latto","Seven"
126,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
127,"Eminem","Love The Way You Lie (feat. Rihanna)"
128,"Empire of the Sun","We Are The People"
129,"D.A.M.A & Buba Espinho","CASA"
130,"Ne-Yo & Fabolous","Link Up (Remix)"
131,"Lewis Capaldi","Wish You The Best"
132,"Ana Moura","Agarra Em Mim (feat. Pedro Mafama)"
133,"Dave & Central Cee","Sprinter"
134,"WIU","Coração de Gelo"
135,"Miley Cyrus","Flowers"
136,"Liquideep","Alone"
137,"Camila Cabello","Don't Go Yet"
138,"Flume","Never Be Like You (feat. KAI)"
139,"DENNIS & MC Kevin O Chris","Tá OK"
140,"Fernando Daniel","casa"
141,"Niko","Figure Me Out"
142,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
143,"Dadju & Tayc","I love you"
144,"Nuno Ribeiro, Calema & Mariza","Maria Joana"
145,"Sam Smith","Too Good at Goodbyes"
146,"Alvaro De Luna & Timo","Hoy Festejo"
147,"Harry Styles","As It Was"
148,"Dua Lipa","Dance The Night (From Barbie The Album)"
149,"4batz","Act ii: Date @ 8"
150,"bbno$","edamame (feat. Rich Brian)"
151,"DELLAFUENTE & Morad","Manos Rotas"
152,"Chris Isaak","Wicked Game"
153,"Jung Kook & Jack Harlow","3D"
154,"David Carreira, Bluay & Chelsea Dinorath","Saudade"
155,"Modjo","Lady (Hear Me Tonight)"
156,"Dillaz","Colãs"
157,"Lady Gaga","Always Remember Us This Way"
158,"Hands On Approach","If You Give Up"
159,"Pedro Alonso & Tristan Ulloa","Felicidad (De La Serie 'berlin' De Netflix)"
160,"Alex Mica","Dalinda"
161,"Passenger","Let Her Go"
162,"King Defofera","Mimo, Vol. 4 (feat. Kelmer Pastilha) [Alterada]"
163,"Scro Que Cuia, Bruno De Carvalho & Liliana Almeida","Aqueceu"
164,"MC PH & Murillo e LT no Beat","Os Menino Tá Com o Pacote"
165,"ROSALÍA & Rauw Alejandro","BESO"
166,"Thirty Seconds to Mars","Stuck"
167,"Alok & Bebe Rexha","Deep In Your Love"
168,"zzoilo & Aitana","Mon Amour (Remix)"
169,"Nuno Ribeiro","Não Devia (feat. Loony Johnson)"
170,"Lynyrd Skynyrd","Simple Man"
171,"Julinho Ksd & Soraia Ramos","Mónica"
172,"Mc GP, DJ Victor & Mc IG","Modo Esquece (feat. TrapLaudo, MC Menor da VG, Lil Kid 777, Aaron Modesto, MC Gui Da Norte & MC Tuto)"
173,"Underworld","Born Slippy (Nuxx)"
174,"David Kushner","Daylight"
175,"Guru Josh Project","Infinity 2008 (Klaas Vocal Edit)"
176,"Veigh, Bvga Beatz, Supernova Ent & Prod Malax","Novo Balanço"
177,"Isadora Pompeo","Bênçãos Que Não Têm Fim (Counting My Blessings)"
178,"Matias Damásio","Como Antes"
179,"MC PH","Eternos Alunos (feat. Mc Hariel & Mc Don Juan)"
180,"Alicia Keys","If I Ain't Got You"
181,"Bob Sinclar","World, Hold On (feat. Steve Edwards)"
182,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
183,"Morad","Pelele"
184,"Rita Rocha","Outros Planos"
185,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
186,"MC Gontijo & Dj Sati Marconex","Baile do Cinga do 12"
187,"Alejandro Sanz","Nao Me Compares (feat. Ivete Sangalo)"
188,"MC Kevin O Chris & Dj Nk Da Serra","Faz um Vuk Vuk (Teto Espelhado) [feat. Mc Magrinho]"
189,"Foreigner","I Want To Know What Love Is (Live)"
190,"Imany","Wonderful Life (Stream Jockey Rework)"
191,"Flo Milli","Never Lose Me"
192,"Marshmello, P!nk & Sting","Dreaming"
193,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
194,"3 Doors Down","Here Without You"
195,"Radiohead","Everything In Its Right Place"
196,"Ayra Starr","Rush"
197,"Grupo Menos É Mais & Matheus Fernandes","Lapada Dela (Ao Vivo)"
198,"Lewis Capaldi","Strangers"
199,"Jimmy P","Girassol"
200,"Luan Santana & Ana Castela","DEJA VU"
