Shazam Top 50 Bucharest
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"ZERB & Sofiya Nzau","Mwaki"
2,"Teddy Swims","Lose Control"
3,"Tyla","Water"
4,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
5,"Enrique Iglesias & Maria Becerra","ASI ES LA VIDA"
6,"Maluma & Carin Leon","Según Quién"
7,"Angelina Jordan","Love Don't Let Me Go"
8,"Jack Harlow","Lovin On Me"
9,"The Urs","Taramul interzis"
10,"Andia & Deliric","Pentru ca"
11,"AriBeatz","MIRAGE (feat. Ozuna, Sfera Ebbasta & GIMS)"
12,"Alina Eremia","Nu te mai aștept (Radio Edit)"
13,"Mindcage","La Espera"
14,"DOMINO & Andrei Banuta","Afară plouă"
15,"Dua Lipa","Houdini"
16,"Misha Miller","Bratele Tale"
17,"Jason Derulo","Slow Low"
18,"Kenya Grace","Strangers"
19,"STEVE ANT & Liviu Teodorescu","Mi Loca"
20,"Mario Fresh","Si Ce Daca"
21,"Tate McRae","greedy"
22,"Bianca Tilici & Liviu Teodorescu","Pe val"
23,"Nicole Cherry & Puya","Paharul sus"
24,"AMI","Nostalgia"
25,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
26,"The Motans & Deliric","București"
27,"Anna Vissi","Oti Thes Ego"
28,"Alexia & Spike","Infinituri"
29,"Yuka","Clipe"
30,"J Balvin, USHER & DJ Khaled","Dientes"
31,"Lauren Daigle","Rescue"
32,"Jim James","State Of The Art (A.E.I.O.U.)"
33,"Sherine","Sabry 'Aalil"
34,"Minelli","picpocpac"
35,"Cabron & Raluka","Pânzele albe"
36,"Peggy Gou","(It Goes Like) Nanana (Edit)"
37,"DJ Tons","Always Remember Us This Way"
38,"Jason Derulo","Hands On Me (feat. Meghan Trainor)"
39,"Argy & Omnya","Aria"
40,"Loreen","Tattoo"
41,"Smiley","Oameni"
42,"Holy Molly","Pastila de somn"
43,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
44,"Theo Rose & Andrei Ursu","Noaptea ne fură iubiri"
45,"Doja Cat","Paint The Town Red"
46,"ADI & Holy Molly","Totul meu"
47,"Qodës","Love Drunk"
48,"The Motans & Delia","Tu O'clock"
49,"Dan Stanciu","As Vrea Sa Te Sarut"
50,"Iñigo Quintero","Si No Estás"
