Shazam Top 200 Romania Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"ZERB & Sofiya Nzau","Mwaki"
2,"Teddy Swims","Lose Control"
3,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
4,"Tyla","Water"
5,"Enrique Iglesias & Maria Becerra","ASI ES LA VIDA"
6,"Maluma & Carin Leon","Según Quién"
7,"Jack Harlow","Lovin On Me"
8,"Angelina Jordan","Love Don't Let Me Go"
9,"The Urs","Taramul interzis"
10,"Andia & Deliric","Pentru ca"
11,"AriBeatz","MIRAGE (feat. Ozuna, Sfera Ebbasta & GIMS)"
12,"Sherine","Sabry 'Aalil"
13,"Alina Eremia","Nu te mai aștept (Radio Edit)"
14,"DOMINO & Andrei Banuta","Afară plouă"
15,"Misha Miller","Bratele Tale"
16,"Chris Brown","Angel Numbers / Ten Toes"
17,"Minelli","picpocpac"
18,"Kenya Grace","Strangers"
19,"Tate McRae","greedy"
20,"Dua Lipa","Houdini"
21,"Jason Derulo","Slow Low"
22,"Nicole Cherry & Puya","Paharul sus"
23,"ADAM","Zhurek"
24,"Tony One & Costel Biju","Sistem Otoman"
25,"J Balvin, USHER & DJ Khaled","Dientes"
26,"AMI","Nostalgia"
27,"Yamê","Bécane - A Colors Show"
28,"Mario Fresh","Si Ce Daca"
29,"Inna","Love"
30,"Bianca Tilici & Liviu Teodorescu","Pe val"
31,"Pantelis Pantelidis","Ginete"
32,"Alex Botea","Decibeli"
33,"Alexandra Stan","I Did It Mama (Extended)"
34,"Cabron & Raluka","Pânzele albe"
35,"Alexia & Spike","Infinituri"
36,"Peggy Gou","(It Goes Like) Nanana (Edit)"
37,"He Is We","I Wouldn't Mind"
38,"Iñigo Quintero","Si No Estás"
39,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
40,"STEVE ANT & Liviu Teodorescu","Mi Loca"
41,"Tzanca Uraganu & Morgana","Ah Ce M-Ai Manca"
42,"Holy Molly","Pastila de somn"
43,"The Motans & Deliric","București"
44,"Tzanca Uraganu","Florin Salam (feat. Mr Juve)"
45,"Robi, Aerozen & Sapte","SUS"
46,"Loreen","Tattoo"
47,"DJ Tons","Always Remember Us This Way"
48,"The Motans & Delia","Tu O'clock"
49,"Smiley","Oameni"
50,"Yuka & Zodier","La sacou"
51,"Jason Derulo","Hands On Me (feat. Meghan Trainor)"
52,"Yuka","Clipe"
53,"21 Savage","redrum"
54,"Doja Cat","Paint The Town Red"
55,"Mindcage","La Espera"
56,"Edward Maya & Vika Jigulina","Stereo Love"
57,"Cleffy","Meet you at the Graveyard"
58,"Lauren Daigle","Rescue"
59,"Robert Georgescu & White","Mi-ai făcut fluturii să plângă (feat. Gabriela Marin)"
60,"Lele, Narcisa & Manele VTM","Te Ador (Acustic)"
61,"Poni","Ledhat (feat. Altin Sulku)"
62,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
63,"Flori Mumajesi","Nallane 2 (feat. Vicky DJ)"
64,"MIRA","Dor De Tine"
65,"Konstantinos Koufos","Metro Antistrofa (5, 4, 3, 2, 1)"
66,"Jo","Tot la tine ma intorc"
67,"Anna Vissi","Oti Thes Ego"
68,"Naïka","Ma Chérie"
69,"Dragana Mirkovic","Placi Zemljo"
70,"Feli & NANE","Până-n zori"
71,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
72,"50 Cent","Baby By Me (feat. Ne-Yo)"
73,"Rich Amiri","One Call"
74,"Maria Nazionale","Ciao Ciao"
75,"Theo Rose & Andrei Ursu","Noaptea ne fură iubiri"
76,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
77,"RANDI","Singur acum"
78,"LXNGVX","Montagem Mysterious Game"
79,"ADI & Holy Molly","Totul meu"
80,"Las Ketchup","Aserejé (Hippy)"
81,"J Balvin","6 AM (feat. Farruko)"
