Shazam Top 50 Moscow
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Nikos Band","Georgian Disco (Live)"
2,"АИГЕЛ","Пыяла"
3,"The Kolors","ITALODISCO"
4,"ZERB & Sofiya Nzau","Mwaki"
5,"5UTRA","Давай сбежим (Искорки)"
6,"Teddy Swims","Lose Control"
7,"Kenya Grace","Strangers"
8,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
9,"Tate McRae","greedy"
10,"Moya Mishel","Ветер меняет направление"
11,"J Balvin, USHER & DJ Khaled","Dientes"
12,"ADAM","Zhurek"
13,"Dezko","Ascend"
14,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
15,"Guf & A.V.G","Спонсор твоих проблем"
16,"Galibri & Mavik","Взгляни на небо"
17,"Imanbek","All Eyez On Me (Rework)"
18,"Dua Lipa","Houdini"
19,"Jung Kook & Jack Harlow","3D"
20,"TONI & МОТ","Просто — сложно"
21,"PNAU & Empire of the Sun","AEIOU"
22,"Amirchik","Розовый вечер"
23,"Doja Cat","Paint The Town Red"
24,"Tiësto & BIA","BOTH (with 21 Savage)"
25,"Sherine","Sabry 'Aalil"
26,"The Knocks & Sofi Tukker","One On One"
27,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
28,"Три дня дождя & MONA","Прощание"
29,"Xcho","DIAMOND"
30,"Sarah de Warren, Charming Horses & Hanno","This Is The Life"
31,"Yamê","Bécane - A Colors Show"
32,"NILETTO, Oleg Miami & Lesha Svik","Не вспоминай"
33,"Peggy Gou","(It Goes Like) Nanana (Edit)"
34,"Moya Mishel","Зима в сердце"
35,"Mackenzie Arromba","underwater"
36,"Miyagi & Эндшпиль","Круговорот"
37,"Basta","На заре"
38,"Mari Kraymbreri","Случилась осень"
39,"CYRIL","Stumblin' In"
40,"ANNA ASTI","Царица"
41,"Люся Чеботина","МАЛЫШ"
42,"МОТ","Случайности не случайны"
43,"GAYAZOV$ BROTHER$","НУЖНА ПЕРЕЗАГРУЗКА"
44,"Mirazh","Новый герой"
45,"Zivert","бери и беги"
46,"Troye Sivan","Rush"
47,"Leonid Rudenko & Yulianna Karaulova","Жестокая Любовь"
48,"Calvin Harris & Sam Smith","Desire"
49,"Cleffy","Meet you at the Graveyard"
50,"Dima Bilan","Острой бритвой"
