Shazam Top 200 Russia Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Nikos Band","Georgian Disco (Live)"
2,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
3,"Ицык Цыпер","Нефертити (feat. Игорь Цыба)"
4,"АИГЕЛ","Пыяла"
5,"Cleffy","Meet you at the Graveyard"
6,"ADAM","Zhurek"
7,"Kenya Grace","Strangers"
8,"The Kolors","ITALODISCO"
9,"5UTRA","Давай сбежим (Искорки)"
10,"ZERB & Sofiya Nzau","Mwaki"
11,"Tate McRae","greedy"
12,"Yamê","Bécane - A Colors Show"
13,"Cartel de Santa","Shorty Party (feat. La Kelly)"
14,"Moya Mishel","Ветер меняет направление"
15,"Teddy Swims","Lose Control"
16,"Stromae","Formidable"
17,"Peggy Gou","(It Goes Like) Nanana (Edit)"
18,"Galibri & Mavik","Взгляни на небо"
19,"лампабикт & Элли на маковом поле","немерено"
20,"Kendrick Lamar","Swimming Pools (Drank)"
21,"BUSHIDO ZHO","Романтик и Вандал"
22,"Miyagi & Эндшпиль","Круговорот"
23,"Guf & A.V.G","Спонсор твоих проблем"
24,"Doja Cat","Paint The Town Red"
25,"Тото","Баяноммай (KalashnikOFF Remix)"
26,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
27,"The Weeknd","House Of Balloons / Glass Table Girls (Original)"
28,"PNAU & Empire of the Sun","AEIOU"
29,"Dezko","Ascend"
30,"Christell","Dubidubidu"
31,"Три дня дождя & MONA","Прощание"
32,"Basta","На заре"
33,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
34,"Amirchik","Розовый вечер"
35,"NILETTO, Oleg Miami & Lesha Svik","Не вспоминай"
36,"Sarah de Warren, Charming Horses & Hanno","This Is The Life"
37,"KOREL & NEEL","Она делит вайб"
38,"DEAD BLONDE","Снег растаял на плечах"
39,"Jung Kook & Jack Harlow","3D"
40,"Moya Mishel","Зима в сердце"
41,"J Balvin, USHER & DJ Khaled","Dientes"
42,"Sherine","Sabry 'Aalil"
43,"Edward Maya & Vika Jigulina","Stereo Love"
44,"Mirazh","Новый герой"
45,"ANNA ASTI","Царица"
46,"Dua Lipa","Houdini"
47,"shometyle","Alien Flame"
48,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
49,"Miyagi & Эндшпиль","Голгофа"
50,"Memphis Cult, Groove Dealers & SPLYXER","9mm"
51,"5mewmet","Разноцветные таблетки"
52,"Tiësto & BIA","BOTH (with 21 Savage)"
