Shazam Top 50 Saint Petersburg
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"The Kolors","ITALODISCO"
2,"АИГЕЛ","Пыяла"
3,"Kenya Grace","Strangers"
4,"ZERB & Sofiya Nzau","Mwaki"
5,"Teddy Swims","Lose Control"
6,"Nikos Band","Georgian Disco (Live)"
7,"Tate McRae","greedy"
8,"Moya Mishel","Ветер меняет направление"
9,"5UTRA","Давай сбежим (Искорки)"
10,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
11,"PNAU & Empire of the Sun","AEIOU"
12,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
13,"Doja Cat","Paint The Town Red"
14,"Dezko","Ascend"
15,"Dua Lipa","Houdini"
16,"Sarah de Warren, Charming Horses & Hanno","This Is The Life"
17,"Jung Kook & Jack Harlow","3D"
18,"Guf & A.V.G","Спонсор твоих проблем"
19,"Amirchik","Розовый вечер"
20,"Galibri & Mavik","Взгляни на небо"
21,"Lauv","Love U Like That"
22,"J Balvin, USHER & DJ Khaled","Dientes"
23,"NILETTO, Oleg Miami & Lesha Svik","Не вспоминай"
24,"Mari Kraymbreri","Случилась осень"
25,"Ya Rick, KDDK & The Hatters","Bloody Sun"
26,"Yamê","Bécane - A Colors Show"
27,"Alan Walker & Daya","Heart over Mind"
28,"Moya Mishel","Зима в сердце"
29,"ADAM","Zhurek"
30,"Peggy Gou","(It Goes Like) Nanana (Edit)"
31,"Tiësto & BIA","BOTH (with 21 Savage)"
32,"Imanbek","All Eyez On Me (Rework)"
33,"TONI & МОТ","Просто — сложно"
34,"NЮ","Я тебя обидел"
35,"James Hype & Kim Petras","Drums"
36,"Måneskin","HONEY (ARE U COMING?)"
37,"Alok, The Chainsmokers & Mae Stephens","Jungle"
38,"Felix Jaehn","Still Fall"
39,"The Knocks & Sofi Tukker","One On One"
40,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
41,"GAYAZOV$ BROTHER$ & Sveta","Что мне делать?"
42,"Basta","На заре"
43,"Zivert","бери и беги"
44,"Miyagi & Эндшпиль","Круговорот"
45,"Lesha Svik","Замок из дождя"
46,"МОТ","Случайности не случайны"
47,"Lufthaus & Robbie Williams","Immortal (feat. Sophie Ellis-Bextor)"
48,"Leonid Rudenko & Yulianna Karaulova","Жестокая Любовь"
49,"Calvin Harris & Sam Smith","Desire"
50,"PIZZA","Триумфальная"
