Shazam Top 200 Saudi Arabia Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Tamer Ashour","هيجيلي موجوع"
2,"Haifa Wehbe","Woseltelha"
3,"حمادة الليثي","Tareq El Andal (feat. Amr Salama)"
4,"He Is We","I Wouldn't Mind"
5,"Fouad Abdulwahed","Thaag El Ghamaam"
6,"Fouad Abdulwahed","Kel Ahebek"
7,"Khadejah Moaath","Habni Gherak"
8,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
9,"Rostëv","Im Good (Blue) (Speed Up) [Remix]"
10,"LXNGVX","Montagem Mysterious Game"
11,"DYSTINCT","La"
12,"فتية الكميل","احنه العياله"
13,"Modern Talking","Cheri Cheri Lady"
14,"Empire of the Sun","We Are The People"
15,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
16,"Scatman John","Scatman (Ski-Ba-Bop-Ba-Dop-Bop) [Basic-Radio]"
17,"50 Cent","Baby By Me (feat. Ne-Yo)"
18,"Katya Lel","Мой мармеладный (Я не права)"
19,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
20,"Pitbull","Fireball (feat. John Ryan)"
21,"Lady Gaga","Bloody Mary"
22,"TalkinToys","Bleeding"
23,"Jack Harlow","Lovin On Me"
24,"Yamê","Bécane - A Colors Show"
25,"David Guetta & Bebe Rexha","I'm Good (Blue)"
26,"Doja Cat","Agora Hills"
27,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
28,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
29,"A Touch of Class","Around the World (La La La La La) [Radio Version]"
30,"Rio Romeo","Nothing's New"
31,"Magida El Roumi","Kalimat"
32,"Sabrina Carpenter","Feather (Sped Up)"
33,"Rashed Al Majid & Yara","زفة أنت نصيبي"
34,"Chris Brown","Angel Numbers / Ten Toes"
35,"Ariana Grande","bloodline"
36,"Adele","Set Fire to the Rain"
37,"Sherine","Sabry 'Aalil"
38,"Angham","Hata Naasa"
39,"Coldplay","Clocks"
40,"Cian Ducrot","Part Of Me"
41,"George Michael","Careless Whisper"
42,"Tate McRae","greedy"
43,"Edward Maya & Vika Jigulina","Stereo Love"
44,"Mitski","My Love Mine All Mine"
45,"Billie Eilish","watch"
46,"The Weeknd","House Of Balloons / Glass Table Girls (Original)"
47,"Lumi Athena & jnhygs","SMOKE IT OFF (Slowed & Reverb)"
48,"Nelly","Just a Dream (feat. Shireen Abdul Wahab) [Coke Studio Fusion Mix]"
49,"Keane","Somewhere Only We Know"
50,"Cigarettes After Sex","Apocalypse"
51,"Amy Macdonald","This Is The Life"
52,"Tom Odell","Another Love"
53,"Fly By Midnight","No Choice"
54,"Çağan Şengül","Çok Yazık"
55,"Metro Boomin & Future","Too Many Nights (feat. Don Toliver)"
56,"Boa","Duvet"
57,"The Fray","Look After You"
58,"Creepy Nuts","Bling-Bang-Bang-Born"
59,"Ayed","Rdy"
60,"EMIN & JONY","Камин"
61,"Peggy Gou","(It Goes Like) Nanana (Edit)"
62,"Mary J. Blige","Family Affair"
63,"Ghazi Al Amir","Daba Tjibek El Ayam"
64,"Kodaline","Everything Works Out in the End"
65,"Ramy Sabry","Seket Leh"
66,"Adel Ebrahim","Dl3nak"
67,"Cigarettes After Sex","Cry"
68,"Kenya Grace","Strangers"
69,"bbno$","edamame (feat. Rich Brian)"
70,"Nancy Ajram","Tegy Nenbeset"
71,"Taylor Swift","cardigan"
