Shazam Top 200 Senegal Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Tam Sir","Coup du marteau (feat. Team Paiya, Ste Milano, Renard Barakissa, Tazeboy & PSK)"
2,"Dadju & Tayc","I love you"
3,"Soraia Ramos","Nha Terra"
4,"Sokhou Bb","Ni La Deh"
5,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
6,"Iss 814","SAMA BÉBÉ"
7,"Vybz Kartel & Danielle "DI"","Beat It"
8,"FATY NIAME KOUYATE","Nakan"
9,"Jeeba","Thiopet Yobu"
10,"Yamê","Bécane - A Colors Show"
11,"Bass Thioung","Louy Problème Bi ?"
12,"Chris Brown","Angel Numbers / Ten Toes"
13,"Viviane Chidid","SOPÉ"
14,"Asake","Lonely At The Top"
15,"Magic System, Yemi Alade & محمد رمضان","Akwaba"
16,"Gazo & Tiakola","CARTIER"
17,"Iss 814","DIOKH KO LOVE"
18,"Jahman X-press","Khalé Bingay Wo"
19,"Merveille","Citadelle"
20,"Assiko Band P.A","Ay Woma Senegal (feat. Golden Sico)"
21,"Kamo Mphela, Tyler ICU & Khalil Harrison","Dalie (feat. Baby S.O.N)"
22,"Doja Cat","Agora Hills"
23,"Dadju & Tayc","Makila : Wablé"
24,"Elage Diouf","Navetane"
25,"Canabasse & Pispa","Topp La (feat. Gun Mor)"
26,"Eljaz","Senegal LA (feat. Baxaaw Assiko Family)"
27,"JZyNO","Butta My Bread (feat. Lasmid)"
28,"Miles Away & Miles Away VIP","Bring Me Back (feat. Claire Ridgely) [Sped Up]"
29,"Iss 814","TEKNA CI YAW"
30,"Isaac BUKASA","Les bontés de l’Éternel"
31,"5ive","Me and My Brother"
32,"Million Stylez","Miss Fatty"
33,"Maroon 5","Girls Like You (feat. Cardi B)"
34,"Teejay","Drift"
35,"Ruger","WeWe"
36,"Omah Lay","soso"
37,"Gazo & Tiakola","MAMI WATA"
38,"RJ Kanierra","Tia"
39,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
40,"Kizz Daniel","Twe Twe"
41,"Dip Doundou Guiss & Ashs The Best","Suba"
42,"Dip Doundou Guiss & mohrei","Doon benn"
43,"Blaiz Fayah & Tribal Kush","Bad"
44,"Tyler ICU & Tumelo.za","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)"
45,"Rihanna","Work (feat. Drake)"
46,"Teya Dora","Džanum"
47,"Cherifou","Tamarin"
48,"Oustaz","Tabiibii"
49,"Omah Lay","Holy Ghost"
50,"Petit Fatako","Ko AN TOUN"
51,"DJ Y.T","Que du sal commence - Pongi (feat. Ave Le Roi & Master Virus) [Instrumental]"
52,"CAMPIRA","Garrafa (feat. IURI STONE)"
53,"Pape Diouf","Yaye (Live)"
54,"Burna Boy","Tested, Approved & Trusted"
55,"310babii","Soak City (Do it)"
56,"Crayon & Ayra Starr","Ngozi"
57,"Narah Diouf","Yow rek (feat. Jeeba)"
58,"Ruger","Girlfriend"
59,"Pape Diouf","Sama Seytane"
60,"Mia Guisse","Lonkotina"
61,"Iss 814","Fii Moy Senegal (feat. Samba Diarra Mbaye & Papa Noukhoum)"
62,"Davido","FEEL"
63,"Canabasse","Sathiey"
64,"KCee","Ojapiano"
65,"Ayra Starr","Rush"
66,"Oussama","Nsiti"
67,"Tyla","Water"
68,"DJ P2N & Yvon Yusuf","Zamo"
69,"Canabasse","Mbëguel Doyoul (feat. Ashs The Best)"
70,"Jahman X-press","Ndam Li Jahman Xpress Feat Bakhaw Dabrains & Kane Diallo"
71,"Chris Brown","Sensational (feat. Davido & Lojay)"
72,"Mia Guisse","La coupe reviendra (Manko wuti waat ndam li)"
73,"MRKING","Acolyte (feat. Yitou)"
74,"Iss 814","Armomine (Gaindé) [feat. Samba Peuzzi & Dieyla Gueye]"
75,"Safary","Deuk Bi yeungou"
76,"Favé","Flashback (feat. Gazo)"
77,"Rich Gang","Lifestyle (feat. Young Thug & Rich Homie Quan)"
78,"Ed Sheeran","Perfect"
79,"Paulo Chakal","Y'a Dieu dedans (feat. Didi B)"
80,"Fireboy DML & Asake","Bandana"
81,"Afara Tsena","Afro Mbokalisation"
82,"Teejay & Davido","Drift (Remix)"
83,"CKay","love nwantiti (feat. Axel & Dj Yo!) [Remix]"
84,"Diamond Platnumz","Shu! (feat. Chley)"
85,"Youssou N'Dour","The Lion / Gaiende"
86,"Ayra Starr","Sability"
87,"Spyro & Tiwa Savage","Who Is Your Guy? (Remix)"
88,"Lil Tjay","2 Grown (feat. The Kid LAROI)"
89,"Dave & Tiakola","Special"
90,"Facha Love","Sa Wadji"
