Shazam Top 200 Singapore Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Koharu","There Is Always Someone"
2,"Teddy Swims","Lose Control"
3,"Lewis Capaldi","Strangers"
4,"闻人听书_","一笑江湖 (DJ弹鼓版)"
5,"He Is We","I Wouldn't Mind"
6,"Tate McRae","greedy"
7,"Jimin","Closer Than This"
8,"Alan Walker, JVKE & YUQI","Fire!"
9,"UMI & V","wherever u r"
10,"承桓","我会等"
11,"Jack Harlow","Lovin On Me"
12,"Tyla","Water"
13,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
14,"Jung Kook","Standing Next to You"
15,"Roy Kim","Whenever, Wherever"
16,"Aqi Xiao","从前说"
17,"J.Tajor","Like I Do"
18,"Doja Cat","Agora Hills"
19,"Yamê","Bécane - A Colors Show"
20,"Travis Japan","Okie Dokie!"
21,"Yoari","TRUE"
22,"Alec Benjamin","I Sent My Therapist To Therapy"
23,"Olivia Rodrigo","vampire"
24,"SAM KIM","Say You Love Me"
25,"Sherine","Sabry 'Aalil"
26,"Edward Maya & Vika Jigulina","Stereo Love"
27,"Ryan.B & Effie","No Reason"
28,"Miaoge Zhang","我期待的不是雪"
29,"Katya Lel","Мой мармеладный (Я не права)"
30,"Low LD","Guests"
31,"Juliet Ivy","we're all eating each other"
32,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
33,"BABYMONSTER","BATTER UP"
34,"Stephen Sanchez","Until I Found You"
35,"Flume","Never Be Like You (feat. KAI)"
36,"PONCHET","พี่ชอบหนูที่สุดเลย (feat. วาลิน) [Sped Up Version]"
37,"Chris Brown","Angel Numbers / Ten Toes"
38,"Ariana Grande","bloodline"
39,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
40,"Doja Cat","Paint The Town Red"
41,"Ali Gatie","I'm Sorry"
42,"Mitski","My Love Mine All Mine"
43,"Victoria Monét","On My Mama"
44,"Tiësto & FAST BOY","All My Life"
45,"LE SSERAFIM","Perfect Night"
46,"Rema","Calm Down"
47,"陈村长","爱怎么了"
48,"Keane","Somewhere Only We Know"
49,"Reneé Rapp & Megan Thee Stallion","Not My Fault"
50,"21 Savage","redrum"
51,"Jogja Hip Hop Foundation","Song of Sabdatama"
52,"Afieq Shazwan","Langkah Seiringan"
53,"Kenya Grace","Strangers"
54,"Ariana Grande","yes, and?"
55,"Naiji Zhao","曾经你说"
56,"Lost Frequencies & Bastille","Head Down"
57,"Alan Walker, Putri Ariani & Peder Elias","Who I Am"
58,"Pharrell Williams, Swae Lee & Rauw Alejandro","Airplane Tickets"
59,"LXNGVX","Montagem Mysterious Game"
60,"Dua Lipa","Houdini"
61,"Taylor Swift","Cruel Summer"
62,"The Kid LAROI","BLEED"
63,"4batz","Act ii: Date @ 8"
64,"Paul Russell","Lil Boo Thang"
65,"Nicki Minaj","Needle (feat. Drake)"
66,"bbno$","edamame (feat. Rich Brian)"
67,"Leah Marie Perez","Nothin' on Me"
68,"DAWN","Even if we disappear"
69,"Marshmello & Jonas Brothers","Leave Before You Love Me"
70,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
71,"Alice Merton","run away girl"
72,"Sophie Ellis-Bextor","Murder On The Dancefloor"
73,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
74,"Miley Cyrus","Used To Be Young"
75,"lucidrari & Fitto","GADISKU (feat. Gard)"
76,"Sabrina Carpenter","Feather"
77,"Echo","可能"
78,"PinkPantheress","Nice to meet you (feat. Central Cee)"
79,"Bestards","Farewell"
80,"Troye Sivan","Angel Baby"
81,"Lulu, shut up","字字句句"
82,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
83,"CNCO, Meghan Trainor & Sean Paul","Hey DJ (Remix)"
84,"Loreen","Tattoo"
85,"Harry James","It's Been a Long, Long Time"
86,"Kygo & Ava Max","Whatever"
87,"Conan Gray","Killing Me"
88,"Ed Sheeran","Shivers"
89,"Tyla","Truth or Dare"
90,"Kendrick Lamar","Swimming Pools (Drank)"
91,"50 Cent","Baby By Me (feat. Ne-Yo)"
92,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
93,"Alicia Keys","If I Ain't Got You"
94,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
95,"Justin Timberlake","Mirrors"
96,"Travis Scott","MY EYES"
97,"Declan J Donovan","Hungry Heart"
98,"G.E.M.","11"
99,"MATCHA","Music Lover (ซนซน 40 ปี GMM Grammy)"
100,"Henry Moodie","pick up the phone"
101,"Crash Adams","Good Side"
102,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
103,"G-Eazy","Tumblr Girls (feat. Christoph Andersson)"
104,"Jim Lim","残念(新传媒电视剧《那一年的除夕夜》主题曲)"
105,"Xiaomi","我走后 (发行版)"
106,"Mary J. Blige","Family Affair"
107,"USHER","Hey Daddy (Daddy's Home) [feat. Plies]"
