Shazam Top 50 Cape Town
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kabza De Small & Mthunzi","Imithandazo (feat. Young Stunna, DJ Maphorisa, Sizwe Alakine & Umthakathi Kush)"
2,"Dj Stokie & Eemoh","Masithokoze"
3,"Nandipha808 & Ceeka RSA","Forgive Our Trespasses (feat. Demola)"
4,"Teddy Swims","Lose Control"
5,"Wanitwa Mos, Nkosazana Daughter & Master KG","Keneilwe (feat. Dalom Kids)"
6,"Shakes & Les, DBN Gogo & Zee Nxumalo","Funk 55 (feat. Ceeka RSA & Chley)"
7,"Dlala Thukzin, Zaba & Sykes","iPlan"
8,"Mr Thela","Kwandonga Ziyaduma (feat. Njelic)"
9,"DJ Kent & Thakzin","Horns In the Sun (feat. Mo-T, Mörda & Brenden Praise) [Thakzin Remix]"
10,"Bassie & Aymos","Izenzo (feat. T-Man SA)"
11,"DJ Stax","Ungayithi Vu (feat. Thabie Ngethe)"
12,"Harrycane, Master KG & Eemoh","Dubula (feat. DJ Latimmy) [Remake]"
13,"Ceeka RSA & Tyler ICU","Jealousy (feat. Leemckrazy & Khalil Harrison)"
14,"Daliwonga","Seduce Me (feat. Nkosazana Daughter & Happy Jazzman)"
15,"Mellow & Sleazy, SjavasDaDeejay & Titom","Imnandi lento (feat. Tman Xpress)"
16,"Sam Deep, Njelic & Aymos","Isgubhu"
17,"Jack Harlow","Lovin On Me"
18,"De Mthuda, Da Muziqal Chef & Eemoh","Sgudi Snyc"
19,"YANII","Ngibambeni (feat. Mxolisi Khumalo)"
20,"Tyla","Water"
21,"Tyler ICU & Tumelo.za","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)"
22,"Ugatsheni","Hit after Hit"
23,"Ggoldie","Asambe (feat. Chley, Ceeka RSA, T.M.A_Rsa & RIVALZ)"
24,"Mthandeni SK","Paris (feat. Lwah Ndlunkulu)"
25,"Heavy-K, Samthing Soweto & Thakzin","Ulele (feat. Professor)"
26,"Kamo Mphela, Tyler ICU & Khalil Harrison","Dalie (feat. Baby S.O.N)"
27,"Tyla","Truth or Dare"
28,"Chris Brown","Angel Numbers / Ten Toes"
29,"Jemima","Different (feat. Haibo Richie)"
30,"Malumz on Decks & Mpho.Wav","Teka"
31,"Funky Qla & Dlala Thukzin","Dark or Durban"
32,"Lindough","Ok'salayo (feat. DJ Active, Freddie Gwala & Kingshort)"
33,"DJ Cleo","Tong Po (feat. King Zeph & K Sugah)"
34,"De Mthuda, Da Muziqal Chef & Kwiish SA","iThuba (feat. Eemoh)"
35,"Appel","Wille Ding"
36,"Kenya Grace","Strangers"
37,"Chris Brown","Sensational (feat. Davido & Lojay)"
38,"Jamie Fine","If Anything's Left"
39,"Oscar Mbo, KG Smallz, MÖRDA, Thakzin & Mhaw Keys","Yes God (feat. Dearson) [Mörda, Thakzin, Mhaw Keys Remix]"
40,"Calum Scott","At Your Worst (Acoustic)"
41,"Dj Stokie","Awukhuzeki (feat. Omit ST, Sobzeen & ZEENHLE)"
42,"Peggy Gou","(It Goes Like) Nanana (Edit)"
43,"Mr Thela","Crossnight"
44,"Kelvin Momo & Babalwa M","Maye Maye (feat. Azana & Stixx)"
45,"LIMIT NALA","Fusegi Ngempela Manje!"
46,"Kelvin Momo & Babalwa M","Amalobolo (feat. Stixx & Nia Pearl)"
47,"MEGADRUMZ & Lady Du","Tjina"
48,"Yxngrabi","Time"
49,"Killorbeezbeatz","Ngilele E Hotel"
50,"Nomcebo Zikode","iNkanyezi (feat. Exclusive Drumz)"
