Shazam Top 50 Durban
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kabza De Small & Mthunzi","Imithandazo (feat. Young Stunna, DJ Maphorisa, Sizwe Alakine & Umthakathi Kush)"
2,"Nandipha808 & Ceeka RSA","Forgive Our Trespasses (feat. Demola)"
3,"Ugatsheni","Hit after Hit"
4,"Daliwonga","Seduce Me (feat. Nkosazana Daughter & Happy Jazzman)"
5,"Shakes & Les, DBN Gogo & Zee Nxumalo","Funk 55 (feat. Ceeka RSA & Chley)"
6,"Dj Stokie & Eemoh","Masithokoze"
7,"Bassie & Aymos","Izenzo (feat. T-Man SA)"
8,"Wanitwa Mos, Nkosazana Daughter & Master KG","Keneilwe (feat. Dalom Kids)"
9,"Mzukulu","Ijuba (feat. Shenge wasehlalankosi)"
10,"Sam Deep, Njelic & Aymos","Isgubhu"
11,"Ceeka RSA & Tyler ICU","Jealousy (feat. Leemckrazy & Khalil Harrison)"
12,"Malumz on Decks & Mpho.Wav","Teka"
13,"LIMIT NALA","Fusegi Ngempela Manje!"
14,"DJ Kent & Thakzin","Horns In the Sun (feat. Mo-T, Mörda & Brenden Praise) [Thakzin Remix]"
15,"Kabza De Small & Mthunzi","Amazwe (feat. MaWhoo)"
16,"GoldMax","Generator (feat. Worst Behaviour)"
17,"Ggoldie","Asambe (feat. Chley, Ceeka RSA, T.M.A_Rsa & RIVALZ)"
18,"Zakes Bantwini, Skye Wanda & Thakzin","Mama Thula (feat. SUFFOCATE SA)"
19,"ABUTI WADI SPVRCLEZ, II Wise Fellas & Major Keys","Mana Kancane (feat. ChillyboyRsa, Nox Man & Kgocee)"
20,"Funky Qla & Dlala Thukzin","Dark or Durban"
21,"Oscar Mbo, KG Smallz, MÖRDA, Thakzin & Mhaw Keys","Yes God (feat. Dearson) [Mörda, Thakzin, Mhaw Keys Remix]"
22,"Mellow & Sleazy, SjavasDaDeejay & Titom","Imnandi lento (feat. Tman Xpress)"
23,"Dlala Thukzin, Zaba & Sykes","iPlan"
24,"YANII","Ngibambeni (feat. Mxolisi Khumalo)"
25,"DJ Stax","Ungayithi Vu (feat. Thabie Ngethe)"
26,"Gaba Cannal & Zaba","Emthandayo (feat. Sykes)"
27,"Mzukulu","Ulundi (feat. Umfoka Msezane)"
28,"DJ Bongz","Awung'Fanele (feat. Nomfundo Moh, Deep Ink & Khani)"
29,"Inkos'yamagcokama","Kuyazenzakalela"
30,"Da Gifto & Brandon Dhludhlu","Ingelosi"
31,"Kelvin Momo & Babalwa M","Maye Maye (feat. Azana & Stixx)"
32,"Kelvin Momo & Babalwa M","Amalobolo (feat. Stixx & Nia Pearl)"
33,"Harrycane, Master KG & Eemoh","Dubula (feat. DJ Latimmy) [Remake]"
34,"Yxngrabi","Time"
35,"Xduppy, Young Stunna & Thuto The Human","Monday Boys Holiday (feat. DJ Maphorisa)"
36,"Kabza De Small & Mthunzi","Impumelelo (feat. Young Stunna)"
37,"Lindough","Ok'salayo (feat. DJ Active, Freddie Gwala & Kingshort)"
38,"Nomcebo Zikode","iNkanyezi (feat. Exclusive Drumz)"
39,"Bandros, ZANI & Zee Nxumalo","Nguwe"
40,"Shaun Stylist","Nothando (feat. Zee_nhle & Omit ST)"
41,"Toby Franco & Major Keys","Umona (feat. Tumelo_za, Yuppe & Chley)"
42,"Wanitwa Mos, Nkosazana Daughter & Master KG","Makhelwane (feat. Casswell P)"
43,"Lwah Ndlunkulu","Maye (feat. Dr Buselaphi)"
44,"Spirit of Praise","Bamba Mzalwane (Live) [feat. Spirit Of Praise Choir & Pastor M Tshabalala]"
45,"AMATIGER AMAHLE","Qina Ndoda"
46,"Hit_za","Umndeni wethu"
47,"Nandipha808 & Ceeka RSA","Banike (feat. Philharmonic & LeeMcKrazy)"
48,"Pcee","Gabriella (feat. Officixl Rsa)"
49,"Kabza De Small & Mthunzi","Bonga (feat. MaWhoo)"
50,"Darque & Jnr SA","Areyeng (feat. Musa Keys & Leandra.Vert)"
