Shazam Top 50 Johannesburg
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kabza De Small & Mthunzi","Imithandazo (feat. Young Stunna, DJ Maphorisa, Sizwe Alakine & Umthakathi Kush)"
2,"Nandipha808 & Ceeka RSA","Forgive Our Trespasses (feat. Demola)"
3,"Dj Stokie & Eemoh","Masithokoze"
4,"Bassie & Aymos","Izenzo (feat. T-Man SA)"
5,"Shakes & Les, DBN Gogo & Zee Nxumalo","Funk 55 (feat. Ceeka RSA & Chley)"
6,"DJ Kent & Thakzin","Horns In the Sun (feat. Mo-T, Mörda & Brenden Praise) [Thakzin Remix]"
7,"Sam Deep, Njelic & Aymos","Isgubhu"
8,"Wanitwa Mos, Nkosazana Daughter & Master KG","Keneilwe (feat. Dalom Kids)"
9,"Dlala Thukzin, Zaba & Sykes","iPlan"
10,"Yxngrabi","Time"
11,"Mthandeni SK","Paris (feat. Lwah Ndlunkulu)"
12,"Oscar Mbo, KG Smallz, MÖRDA, Thakzin & Mhaw Keys","Yes God (feat. Dearson) [Mörda, Thakzin, Mhaw Keys Remix]"
13,"DJ Cleo","Tong Po (feat. King Zeph & K Sugah)"
14,"Ceeka RSA & Tyler ICU","Jealousy (feat. Leemckrazy & Khalil Harrison)"
15,"Daliwonga","Seduce Me (feat. Nkosazana Daughter & Happy Jazzman)"
16,"Spirit of Praise","Bamba Mzalwane (Live) [feat. Spirit Of Praise Choir & Pastor M Tshabalala]"
17,"Kabza De Small & Mthunzi","Amazwe (feat. MaWhoo)"
18,"Kelvin Momo & Babalwa M","Amalobolo (feat. Stixx & Nia Pearl)"
19,"Harrycane, Master KG & Eemoh","Dubula (feat. DJ Latimmy) [Remake]"
20,"Ugatsheni","Hit after Hit"
21,"Kelvin Momo & Babalwa M","Maye Maye (feat. Azana & Stixx)"
22,"MaWhoo","Ngilimele (feat. Deep Sen, KingTalkzin & Mthunzi)"
23,"Malumz on Decks & Mpho.Wav","Teka"
24,"Mellow & Sleazy, SjavasDaDeejay & Titom","Imnandi lento (feat. Tman Xpress)"
25,"Ggoldie","Asambe (feat. Chley, Ceeka RSA, T.M.A_Rsa & RIVALZ)"
26,"Makhadzi Entertainment","Mapara"
27,"De Mthuda, Da Muziqal Chef & Kwiish SA","iThuba (feat. Eemoh)"
28,"Bandros, ZANI & Zee Nxumalo","Nguwe"
29,"Wanitwa Mos, Nkosazana Daughter & Master KG","Makhelwane (feat. Casswell P)"
30,"Lwah Ndlunkulu","Eyami"
31,"Lindough","Ok'salayo (feat. DJ Active, Freddie Gwala & Kingshort)"
32,"Glenn Jones","All for You"
33,"TheologyHD, DV Que & DjChoice","Affection"
34,"Dj Stokie","Awukhuzeki (feat. Omit ST, Sobzeen & ZEENHLE)"
35,"Tyla","Water"
36,"Da Muziqal Chef","Akakhuzeki (feat. Eemoh & De Mthuda)"
37,"De Mthuda, Kabza De Small & Da Muziqal Chef","Muntu Wam (feat. Sino Msolo & Murumba Pitch)"
38,"Darque & Jnr SA","Areyeng (feat. Musa Keys & Leandra.Vert)"
39,"ShaunMusiQ & Ftears","Like That (feat. OHP SAGE, MulestVankay, Long Kay & Dj 727)"
40,"ABUTI WADI SPVRCLEZ, II Wise Fellas & Major Keys","Mana Kancane (feat. ChillyboyRsa, Nox Man & Kgocee)"
41,"DJ Lag & Mr Nation Thingz","Hade Boss (feat. K.C Driller)"
42,"Felo Le Tee, Leemckrazy & Keynote","Yini Ngathi (Insane)"
43,"Toby Franco & Major Keys","Umona (feat. Tumelo_za, Yuppe & Chley)"
44,"Mellow & Sleazy","Chom'yam (feat. Leemckrazy, Dinho & TheBuu)"
45,"Kamo Mphela, Tyler ICU & Khalil Harrison","Dalie (feat. Baby S.O.N)"
46,"Heavy-K, Samthing Soweto & Thakzin","Ulele (feat. Professor)"
47,"Da Gifto & Brandon Dhludhlu","Ingelosi"
48,"De Mthuda, Da Muziqal Chef & Eemoh","Sgudi Snyc"
49,"Oddxperienc","Winning"
50,"Dj Jaivane","Ulala Kanjani (feat. LeeMckrazy & Skandisoul)"
