Shazam Top 200 South Africa Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kabza De Small & Mthunzi","Imithandazo (feat. Young Stunna, DJ Maphorisa, Sizwe Alakine & Umthakathi Kush)"
2,"Nandipha808 & Ceeka RSA","Forgive Our Trespasses (feat. Demola)"
3,"Shakes & Les, DBN Gogo & Zee Nxumalo","Funk 55 (feat. Ceeka RSA & Chley)"
4,"Daliwonga","Seduce Me (feat. Nkosazana Daughter & Happy Jazzman)"
5,"Dj Stokie & Eemoh","Masithokoze"
6,"Yxngrabi","Time"
7,"Bassie & Aymos","Izenzo (feat. T-Man SA)"
8,"Sam Deep, Njelic & Aymos","Isgubhu"
9,"Ceeka RSA & Tyler ICU","Jealousy (feat. Leemckrazy & Khalil Harrison)"
10,"DJ Kent & Thakzin","Horns In the Sun (feat. Mo-T, Mörda & Brenden Praise) [Thakzin Remix]"
11,"Wanitwa Mos, Nkosazana Daughter & Master KG","Keneilwe (feat. Dalom Kids)"
12,"Ugatsheni","Hit after Hit"
13,"Dlala Thukzin, Zaba & Sykes","iPlan"
14,"Kabza De Small & Mthunzi","Amazwe (feat. MaWhoo)"
15,"Kelvin Momo & Babalwa M","Amalobolo (feat. Stixx & Nia Pearl)"
16,"Ggoldie","Asambe (feat. Chley, Ceeka RSA, T.M.A_Rsa & RIVALZ)"
17,"Mthandeni SK","Paris (feat. Lwah Ndlunkulu)"
18,"ABUTI WADI SPVRCLEZ, II Wise Fellas & Major Keys","Mana Kancane (feat. ChillyboyRsa, Nox Man & Kgocee)"
19,"Spirit of Praise","Bamba Mzalwane (Live) [feat. Spirit Of Praise Choir & Pastor M Tshabalala]"
20,"DJ Cleo","Tong Po (feat. King Zeph & K Sugah)"
21,"ShaunMusiQ & Ftears","Like That (feat. OHP SAGE, MulestVankay, Long Kay & Dj 727)"
22,"Oscar Mbo, KG Smallz, MÖRDA, Thakzin & Mhaw Keys","Yes God (feat. Dearson) [Mörda, Thakzin, Mhaw Keys Remix]"
23,"Zakes Bantwini, Skye Wanda & Thakzin","Mama Thula (feat. SUFFOCATE SA)"
24,"DJ Lag & Mr Nation Thingz","Hade Boss (feat. K.C Driller)"
25,"Malumz on Decks & Mpho.Wav","Teka"
26,"Harrycane, Master KG & Eemoh","Dubula (feat. DJ Latimmy) [Remake]"
27,"Bandros, ZANI & Zee Nxumalo","Nguwe"
