Shazam Top 50 Seoul
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"TAEYEON","Dream (Inst.)"
2,"Lim Young Woong","Do or Die"
3,"Nerd Connection","If I have you only (My love)"
4,"Jaehyun Lim","Rhapsody of Sadness"
5,"Roy Kim","Whenever, Wherever"
6,"Jung Kook","Standing Next to You"
7,"BUMJIN","In My Heart (Inst.)"
8,"LeeZe","Song of the Sea (Inst.)"
9,"Shin Seung Hun","Reunion (Inst.)"
10,"SEULGI","Unexpected Business Season 3: Polaroid (Original Television Soundtrack)"
11,"TAEYEON","To. X"
12,"Lee Mujin","Episode"
13,"Sia","Snowman"
14,"Sondia","Grown Ups"
15,"Jung Kook & Jack Harlow","3D"
16,"Tyla","Water"
17,"VIVIZ","MANIAC"
18,"LE SSERAFIM","Perfect Night"
19,"Damons year","Yours"
20,"Paul Blanco & HEIZE","On my mind"
21,"Eddie and the Bricks","Pause"
22,"AUDREY NUNA","Locket"
23,"JENNIE","You & Me"
24,"BUMJIN","A Letter"
25,"DK(December)","Heart"
26,"DAY6","Time of Our Life"
27,"Jung Kook & Latto","Seven"
28,"CAR, THE GARDEN","My All Dreams Come True"
29,"Kim Na Young","Good Person (Inst.)"
30,"DAY6","You Were Beautiful"
31,"Christopher & CHUNG HA","When I Get Old"
32,"Roy Orbison","In Dreams"
33,"IVE","Off The Record"
34,"onthedal","Together"
35,"RIIZE","Love 119"
36,"Mild High Club","Homage"
37,"IVE","I AM"
38,"BOL4","Eternal love"
39,"G-Eazy & Halsey","Him & I"
40,"aespa","Drama"
41,"QWER","Discord"
42,"J.Tajor","Like I Do"
43,"Jack Harlow","Lovin On Me"
44,"SEVENTEEN","God of Music"
45,"BABYMONSTER","BATTER UP"
46,"Doja Cat","Paint The Town Red"
47,"STAYC","Bubble"
48,"Doja Cat","Agora Hills"
49,"Oliver Cronin","1, 2, 3 (with Topic)"
50,"Kim Kyung Hee","To your home"
