Shazam Top 200 South Korea Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"J.Tajor","Like I Do"
2,"TAEYEON","Dream (Inst.)"
3,"Nerd Connection","If I have you only (My love)"
4,"Jaehyun Lim","Rhapsody of Sadness"
5,"Roy Kim","Whenever, Wherever"
6,"Damons year","Yours"
7,"G-Eazy & Halsey","Him & I"
8,"Lim Young Woong","Do or Die"
9,"TAEYEON","To. X"
10,"Lee Mujin","Episode"
11,"BUMJIN","In My Heart (Inst.)"
12,"SEULGI","Unexpected Business Season 3: Polaroid (Original Television Soundtrack)"
13,"Jace June","Goodbye My Baby"
14,"onthedal","Together"
15,"RIIZE","Love 119"
16,"Eddie and the Bricks","Pause"
17,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
18,"BUMJIN","A Letter"
19,"LeeZe","Song of the Sea (Inst.)"
20,"Paul Blanco & HEIZE","On my mind"
21,"BOL4","Eternal love"
22,"Mitski","My Love Mine All Mine"
23,"LE SSERAFIM","Perfect Night"
24,"Doja Cat","Agora Hills"
25,"dori","Dance (Inst.)"
26,"Jung Kook","Standing Next to You"
27,"Sondia","Grown Ups"
28,"QWER","Discord"
29,"Shin Seung Hun","Reunion (Inst.)"
30,"SAM KIM","Say You Love Me"
31,"VIVIZ","MANIAC"
32,"Cascada","Everytime We Touch"
33,"CAR, THE GARDEN","My All Dreams Come True"
34,"IVE","Off The Record"
35,"Yamê","Bécane - A Colors Show"
36,"SEVENTEEN","Heaven's Cloud"
37,"Ahn Se Ha","I Love You"
38,"more","A Midsummer Night (Inst.)"
39,"INDRAGERSN","Love"
40,"Katya Lel","Мой мармеладный (Я не права)"
41,"DOKYEOM","Short Hair"
42,"Kim Na Young","Good Person (Inst.)"
43,"闻人听书_","一笑江湖 (DJ弹鼓版)"
44,"Tyla","Water"
45,"Roy Kim","Let's Stay Well (My love)"
46,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
47,"PONCHET","พี่ชอบหนูที่สุดเลย (feat. วาลิน) [Sped Up Version]"
48,"Yoari","TRUE"
49,"AUDREY NUNA","Locket"
50,"CAMO","Wifey (feat. Simon Dominic)"
51,"DK(December)","Heart"
52,"DAY6","Time of Our Life"
53,"DAWN","Even if we disappear"
54,"GroovyRoom","Yes or No (feat. HUH YUNJIN & Crush)"
55,"Jung Kook & Jack Harlow","3D"
56,"Jack Harlow","Lovin On Me"
57,"Stephen Sanchez","Until I Found You"
58,"Jon Lajoie","Everyday Normal Guy 2"
59,"Mild High Club","Homage"
60,"CHUU","Fox Rain (The Moon during the Day)"
61,"Lah Pat & Flo Milli","Rodeo (Remix)"
62,"Kang Min Kyung","Lasting like the last day"
63,"Creepy Nuts","Bling-Bang-Bang-Born"
64,"Ezuz","Onion-Hey-Say-Yo"
65,"BABYMONSTER","BATTER UP"
66,"JENNIE","You & Me"
67,"Doja Cat","Paint The Town Red"
68,"The Weeknd","Die For You"
69,"SOLOMON","unrequited"
70,"Ed Sheeran","Perfect"
71,"Sickick","Mind Games"
72,"Paul Kim","White"
73,"MIYEON","The Painted On The Moonlight"
74,"D.O.","I Do"
75,"League of Legends & NewJeans","GODS"
76,"Zion.T","V (Peace) [feat. AKMU]"
77,"Sia","Snowman"
78,"aespa","Drama"
79,"4batz","Act ii: Date @ 8"
80,"Shawn Mendes","There's Nothing Holdin' Me Back"
81,"OFFICIAL HIGE DANDISM","Pretender"
82,"Hisohkah","School Rooftop (feat. WMD) [Bird Sounds]"
83,"George Michael","Careless Whisper"
84,"Panic! At the Disco","High Hopes"
85,"KISS OF LIFE","Bad News"
86,"DAY6","You Were Beautiful"
87,"Choi Yu Ree","잘 지내자, 우리"
88,"Christopher & CHUNG HA","When I Get Old"
89,"Leellamarz","On the street (feat. ASH ISLAND)"
90,"KISS OF LIFE","Nobody Knows"
91,"Choi Yu Ree","Forest"
92,"Wonstein","Your Existence"
93,"SEVENTEEN","God of Music"
94,"Steelix","Lay It Down"
95,"Gitae","Stuck in me"
96,"Henry Moodie","pick up the phone"
97,"RIIZE","Get A Guitar"
98,"Woody","Flower in the Desert (Kor Version)"
99,"Christell","Dubidubidu"
100,"Keyshia Cole","Love"
101,"Em Beihold","Numb Little Bug (Piano Version)"
102,"IVE","Either Way"
103,"Marcus & Martinus","Heartbeat"
104,"Ariana Grande & Social House","Boyfriend"
105,"Juliet Ivy","we're all eating each other"
106,"Ai Tomioka","Good Bye-Bye"
107,"Mad Clown & Kim Na Young","Once Again"
108,"Sung Si Kyung & NAUL","Even for a moment"
109,"Hwagok-dong green frog","Remember Me"
110,"PLAVE","The 6th Summer"
111,"Jung Kook","Yes or No"
112,"NewJeans","Our Night is more beautiful than your Day"
113,"VAUNDY","odoriko"
114,"Paul Blanco","Summer (feat. BE'O)"
115,"Benson Boone","Beautiful Things"
116,"GyeongseoYeji & 전건호","If You Lovingly Call My Name"
117,"Jung Kook & Latto","Seven"
118,"Zia","Love..What is it"
119,"Sung Si Kyung","Every Moment of You"
120,"Chika Fujiwara","The Way I Still Love You"
121,"Dhruv","double take"
122,"KISS OF LIFE","Sugarcoat (NATTY Solo)"
123,"STAYC","Bubble"
124,"Parc Jae Jung","Let's Say Goodbye"
125,"Em Beihold","Numb Little Bug"
126,"Huh Gak","With you"
127,"NMIXX","DASH"
128,"Park Jong Min & Roy Kim","WHEN SPRING COMES"
129,"Loco & Punch","Say Yes"
130,"so soo bin","Even Though You Said So Easily"
131,"wave to earth","seasons"
132,"NMIXX","Soñar (Breaker)"
133,"Jimin","Closer Than This"
134,"GIVĒON","HEARTBREAK ANNIVERSARY"
135,"Kim Mi Jeong","Nice To Meet You"
136,"Lim Young Woong","London Boy"
137,"ITZY","UNTOUCHABLE"
138,"TopHyun","Only you"
139,"Ryan Mack","I Should Have Stayed at Home"
140,"Leah Marie Perez","Nothin' on Me"
141,"Stacey Ryan","Fall In Love Alone"
142,"Gooseworx & Evan Alderete","Your New Home"
143,"Harry Styles","As It Was"
144,"The Wind","With US"
145,"ASH ISLAND","Stay With Me (feat. Skinny Brown)"
146,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
147,"J. Dash","Wop (Official Version)"
148,"Oasis","Don't Look Back In Anger"
149,"Kim Seungmin","Hope You're Doing Well"
150,"Anthony Watts","Woulda Coulda Shoulda"
151,"DEAN","DIE 4 YOU"
152,"Younha","Wish"
153,"TAEKWOO","Hard to deny"
154,"dori","Love Song"
155,"Red Velvet","Chill Kill"
156,"Bruno Mars","That's What I Like"
157,"Tate McRae","greedy"
158,"Maroon 5","Girls Like You (feat. Cardi B)"
159,"Kendrick Lamar","Swimming Pools (Drank)"
160,"Kauai45 & Sweet Cocoa","Just the Two of Us"
161,"Leellamarz & MEENOI","Talk tomorrow"
162,"Kim Min Seok & Sam Ryder","Back In Love"
163,"THAMA & Jayci yucca","Leave"
164,"siso","Say love in words, not love"
165,"EXO","The First Snow"
166,"Charlie Puth","I Don’t Think That I Like Her"
167,"Oliver Cronin","1, 2, 3 (with Topic)"
168,"IVE","I WANT"
169,"AKMU","Fry’s Dream"
170,"Taylor Swift","Cruel Summer"
171,"aespa","Regret of the Times (2024 aespa Remake Version) [Instrumental]"
172,"An Nyeong","Haeyo (2022)"
173,"B.I","Remember me"
174,"Kali Uchis","Moonlight"
175,"Joel Adams","Please Don't Go"
176,"Lauv & LANY","Mean It"
177,"Lauv","Steal The Show"
178,"SISTAR19","NO MORE (MA BOY)"
179,"tuki.","Bansanka (Acoustic Version)"
180,"Calvin Harris","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)"
181,"SEVENTEEN","Our Dawn Is Hotter Than Day"
182,"Kenya Grace","Strangers"
183,"JUNGSOOMIN","song about YOU"
184,"IVE","I AM"
185,"wave to earth","bad"
186,"TAEYEON","Melt Away"
187,"Roy Orbison","In Dreams"
188,"d4vd","Here With Me"
189,"Noa","Any Angle"
190,"Mina Okabe","Every Second"
191,"BE'O","미쳐버리겠다 (MAD)"
192,"IVE","Baddie"
193,"Clean Bandit","Rather Be (feat. Jess Glynne)"
194,"Nerd Connection","Good Night Good Dream"
195,"bbno$","edamame (feat. Rich Brian)"
196,"NCT DREAM","ISTJ"
197,"Paul Russell","Lil Boo Thang"
198,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
199,"RIIZE","Talk Saxy"
200,"PLAVE","Merry PLLIstmas"
