Shazam Top 50 Barcelona
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Soolking, Lola Índigo & Rvfv","Casanova"
2,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
3,"Alfred García","Els teus ulls"
4,"BENNETT","Vois sur ton chemin (Techno Mix)"
5,"Valeria Castro","cuídate"
6,"Feid & ATL Jacob","LUNA"
7,"Ana Mena","Madrid City"
8,"Imany","Wonderful Life (Stream Jockey Rework)"
9,"Enrique Iglesias & Maria Becerra","ASI ES LA VIDA"
10,"Zip Zap","Asturias (Leyenda)"
11,"DELLAFUENTE & Morad","Manos Rotas"
12,"Sophie Ellis-Bextor","Murder On The Dancefloor"
13,"Vicco & Abraham Mateo","te quiero"
14,"Olivia Rodrigo","vampire"
15,"Chiquetete","Esta Cobardia"
16,"Jim James","State Of The Art (A.E.I.O.U.)"
17,"Gaby Music, Luar La L & Lunay","No Te Quieren Conmigo"
18,"Ozuna & David Guetta","Vocation"
19,"Billie Eilish","bury a friend"
20,"KAROL G & Peso Pluma","QLONA"
21,"Cigarettes After Sex","Apocalypse"
22,"Saiko & Yandel","CORLEONE"
23,"Chayanne","Bailando Bachata"
24,"Dua Lipa","Houdini"
25,"Teddy Swims","Lose Control"
26,"Roberto Murolo","Malafemmena"
27,"Eugenio Esquivel, Grupo Marca Registrada & Sebastian Esquivel","Alucin"
28,"Tate McRae","greedy"
29,"Hilario","Bajo la luna"
30,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
31,"Lucio Battisti","Il mio canto libero"
32,"Mama Dousha & Scotty Dk","Rikiti"
33,"Peggy Gou","(It Goes Like) Nanana (Edit)"
34,"Beret & Mr.Rain","SUPERHÉROES"
35,"Kenya Grace","Strangers"
36,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
37,"Abraham Mateo","Maníaca"
38,"Iñigo Quintero","Si No Estás"
39,"Fleetwood Mac","Everywhere"
40,"Emilia, LUDMILLA & Zecca","No_se_ve.mp3"
41,"Loreen","Tattoo"
42,"James TW","Torn (Bonus Track)"
43,"Marshmello & Manuel Turizo","El Merengue"
44,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
45,"Els Catarres","Vull estar amb tu (feat. Stay Homas & ZOO)"
46,"Sebastián Yatra, Manuel Turizo & Beéle","VAGABUNDO"
47,"Myke Towers","LA FALDA"
48,"Estopa","El Día Que Tú Te Marches"
49,"Rauw Alejandro","DILUVIO"
50,"Maria Becerra","CORAZÓN VACÍO"
