Shazam Top 50 Madrid
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
2,"Enrique Iglesias & Maria Becerra","ASI ES LA VIDA"
3,"BENNETT","Vois sur ton chemin (Techno Mix)"
4,"Valeria Castro","cuídate"
5,"Ana Mena","Madrid City"
6,"Soolking, Lola Índigo & Rvfv","Casanova"
7,"Zip Zap","Asturias (Leyenda)"
8,"Hilario","Bajo la luna"
9,"Olivia Rodrigo","vampire"
10,"Feid & ATL Jacob","LUNA"
11,"Imany","Wonderful Life (Stream Jockey Rework)"
12,"Ozuna & David Guetta","Vocation"
13,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
14,"DELLAFUENTE & Morad","Manos Rotas"
15,"Beret & Mr.Rain","SUPERHÉROES"
16,"Sophie Ellis-Bextor","Murder On The Dancefloor"
17,"Iñigo Quintero","Si No Estás"
18,"Roberto Murolo","Malafemmena"
19,"MARLENA","amor de verano"
20,"KAROL G & Peso Pluma","QLONA"
21,"Jim James","State Of The Art (A.E.I.O.U.)"
22,"Billie Eilish","bury a friend"
23,"Lucio Battisti","Il mio canto libero"
24,"Abraham Mateo","Maníaca"
25,"Chayanne","Bailando Bachata"
26,"Chiquetete","Esta Cobardia"
27,"DePol","De fiesta"
28,"Manuel Carrasco & Camilo","Salitre"
29,"Tate McRae","greedy"
30,"Kenya Grace","Strangers"
31,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
32,"Emilia & TINI","La_Original.mp3"
33,"Maria Becerra","CORAZÓN VACÍO"
34,"Dua Lipa","Houdini"
35,"Sebastián Yatra, Manuel Turizo & Beéle","VAGABUNDO"
36,"Peggy Gou","(It Goes Like) Nanana (Edit)"
37,"Teddy Swims","Lose Control"
38,"Vicco & Abraham Mateo","te quiero"
39,"Tyla","Water"
40,"Feid & Rema","BUBALU"
41,"Emilia, LUDMILLA & Zecca","No_se_ve.mp3"
42,"Saiko & Yandel","CORLEONE"
43,"Marshmello & Manuel Turizo","El Merengue"
44,"Iñigo Quintero","Lo Que Queda de Mí"
45,"Loreen","Tattoo"
46,"Marlon & Alvaro De Luna","Olvidé Olvidarte"
47,"Radiohead","Everything In Its Right Place"
48,"Cigarettes After Sex","Apocalypse"
49,"Estopa","El Día Que Tú Te Marches"
50,"Jarabe de Palo","Eso Que Tú Me Das"
