Shazam Top 50 Sevilla
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Hilario","Bajo la luna"
2,"Enrique Iglesias & Maria Becerra","ASI ES LA VIDA"
3,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
4,"Ozuna & David Guetta","Vocation"
5,"Zip Zap","Asturias (Leyenda)"
6,"Soolking, Lola Índigo & Rvfv","Casanova"
7,"BENNETT","Vois sur ton chemin (Techno Mix)"
8,"Ana Mena","Madrid City"
9,"Valeria Castro","cuídate"
10,"Feid & ATL Jacob","LUNA"
11,"Iñigo Quintero","Si No Estás"
12,"KAROL G & Peso Pluma","QLONA"
13,"Tate McRae","greedy"
14,"Emilia & TINI","La_Original.mp3"
15,"Manuel Carrasco & Camilo","Salitre"
16,"Feid & Rema","BUBALU"
17,"Abraham Mateo","Maníaca"
18,"Imany","Wonderful Life (Stream Jockey Rework)"
19,"Sebastián Yatra, Manuel Turizo & Beéle","VAGABUNDO"
20,"Beret & Mr.Rain","SUPERHÉROES"
21,"DELLAFUENTE & Morad","Manos Rotas"
22,"Maria Becerra","CORAZÓN VACÍO"
23,"Teddy Swims","Lose Control"
24,"Kenya Grace","Strangers"
25,"MARLENA","amor de verano"
26,"Olivia Rodrigo","vampire"
27,"Rels B & Kenia OS","Por Dentro"
28,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
29,"Lucio Battisti","Il mio canto libero"
30,"Dua Lipa","Houdini"
31,"Estopa","El Día Que Tú Te Marches"
32,"Tyla","Water"
33,"Sophie Ellis-Bextor","Murder On The Dancefloor"
34,"Aitana & Rels B","miamor"
35,"Emilia, LUDMILLA & Zecca","No_se_ve.mp3"
36,"Vicco & Abraham Mateo","te quiero"
37,"DePol","De fiesta"
38,"Antoñito Molina","La Aventura"
39,"Billie Eilish","bury a friend"
40,"Alvaro De Luna & Timo","Hoy Festejo"
41,"Pedro Capó","La Fiesta"
42,"Doechii","What It Is (Block Boy) [feat. Kodak Black]"
43,"Chanel & Abraham Mateo","Clavaíto"
44,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
45,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
46,"India Martínez & Andy Rivera","5 SENTÍOS"
47,"Jim James","State Of The Art (A.E.I.O.U.)"
48,"Puff Daddy","I'll Be Missing You (feat. Faith Evans & 112)"
49,"Quevedo","Columbia"
50,"Fleetwood Mac","Everywhere"
