Shazam Top 200 Spain Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
2,"Enrique Iglesias & Maria Becerra","ASI ES LA VIDA"
3,"Feid & ATL Jacob","LUNA"
4,"Soolking, Lola Índigo & Rvfv","Casanova"
5,"Ana Mena","Madrid City"
6,"Zip Zap","Asturias (Leyenda)"
7,"Ozuna & David Guetta","Vocation"
8,"Eugenio Esquivel, Grupo Marca Registrada & Sebastian Esquivel","Alucin"
9,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
10,"Hilario","Bajo la luna"
11,"Valeria Castro","cuídate"
12,"BENNETT","Vois sur ton chemin (Techno Mix)"
13,"Milo j","M.A.I"
14,"Olivia Rodrigo","vampire"
15,"DELLAFUENTE & Morad","Manos Rotas"
16,"KAROL G & Peso Pluma","QLONA"
17,"Gaby Music, Luar La L & Lunay","No Te Quieren Conmigo"
18,"Beret & Mr.Rain","SUPERHÉROES"
19,"MARLENA","amor de verano"
20,"Iñigo Quintero","Si No Estás"
21,"Tate McRae","greedy"
22,"Imany","Wonderful Life (Stream Jockey Rework)"
23,"Sophie Ellis-Bextor","Murder On The Dancefloor"
24,"Chayanne","Bailando Bachata"
25,"Maria Becerra","CORAZÓN VACÍO"
26,"Abraham Mateo","Maníaca"
27,"Emilia & TINI","La_Original.mp3"
28,"Vicco & Abraham Mateo","te quiero"
29,"Estopa","El Día Que Tú Te Marches"
30,"Chris Brown","Angel Numbers / Ten Toes"
31,"Kenya Grace","Strangers"
32,"Chiquetete","Esta Cobardia"
33,"Dua Lipa","Houdini"
34,"Manuel Carrasco & Camilo","Salitre"
35,"Loreen","Tattoo"
36,"Mesita, NICKI NICOLE & Tiago PZK","Una Foto Remix (feat. Emilia)"
37,"Peggy Gou","(It Goes Like) Nanana (Edit)"
38,"Saiko & Yandel","CORLEONE"
39,"DePol","De fiesta"
40,"Emilia, LUDMILLA & Zecca","No_se_ve.mp3"
41,"Roberto Murolo","Malafemmena"
42,"Lucio Battisti","Il mio canto libero"
43,"Teddy Swims","Lose Control"
44,"Pitbull","Guantanamera (She's Hot)"
45,"Sebastián Yatra, Manuel Turizo & Beéle","VAGABUNDO"
46,"Feid & Rema","BUBALU"
47,"Yamê","Bécane - A Colors Show"
48,"Billie Eilish","bury a friend"
49,"Myke Towers","LA CAPI"
50,"Myke Towers","LA FALDA"
51,"Aitana & Rels B","miamor"
52,"Marlon & Alvaro De Luna","Olvidé Olvidarte"
53,"Jim James","State Of The Art (A.E.I.O.U.)"
54,"Quevedo","Columbia"
55,"Sia","Gimme Love"
56,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
57,"Marshmello & Manuel Turizo","El Merengue"
58,"Nil Moliner","VUELA ALTO"
59,"Oscar el Ruso, Samuel G & Omar Montes","Japoni (feat. Camin, Moncho Chavea, Jthyago & Samueliyo Baby)"
60,"Rauw Alejandro & Bizarrap","BABY HELLO"
61,"Jarabe de Palo","Eso Que Tú Me Das"
62,"Cigarettes After Sex","Apocalypse"
63,"Gonzy","X'CLUSIVO"
64,"Alvaro De Luna & Timo","Hoy Festejo"
65,"Chanel & Abraham Mateo","Clavaíto"
66,"Timbaland","Apologize (feat. OneRepublic)"
67,"Natasha Bedingfield","Unwritten"
68,"Dani Fernández","Todo cambia"
69,"Fleetwood Mac","Everywhere"
70,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
71,"Anuel AA, Quevedo & Maluma","OA (feat. Mambo Kingz & DJ Luian)"
72,"Alfred García","Els teus ulls"
73,"David Bisbal","Tengo Roto El Corazón"
74,"Rauw Alejandro","DILUVIO"
75,"Tyla","Water"
76,"Blondie","One Way or Another"
77,"India Martínez & Andy Rivera","5 SENTÍOS"
78,"Roberto Murolo","Torna A Surriento"
79,"Luke Combs","Fast Car"
80,"Calvin Harris & Ellie Goulding","Miracle"
81,"Ele a el Dominio","Codeine Crazy (Spanish Remix)"
82,"Harry Styles","As It Was"
83,"Lynyrd Skynyrd","Simple Man"
84,"Radiohead","Everything In Its Right Place"
85,"Romeo Santos","Boomerang"
86,"iZaak, Luar La L & Omar Courtz","BONNIE AND CLYDE (REMIX)"
87,"Peso Pluma & Anitta","BELLAKEO"
88,"Miley Cyrus","Flowers"
89,"Melendi & Manuel Carrasco","Con La Luna Llena"
90,"Bad Bunny & Feid","PERRO NEGRO"
91,"Saiko","COSAS QUE NO TE DIJE"
92,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
93,"Morad & GIMS","Seya"
94,"Tom Odell","Another Love"
95,"Dire Straits","Sultans of Swing"
96,"Ankhal","Déjame Saber (feat. Full Harmony & Panda Black)"
97,"Puff Daddy","I'll Be Missing You (feat. Faith Evans & 112)"
98,"Ed Sheeran","Perfect"
99,"Foreigner","I Want To Know What Love Is (Live)"
100,"Pitbull","International Love (feat. Chris Brown)"
101,"Vicco","Nochentera"
102,"Lewis Capaldi","Someone You Loved"
103,"Bryant Myers","Tweet"
104,"Abdoulhay","Galbi Mix Dofin Chirine"
105,"DJ Tons","Always Remember Us This Way"
