Shazam Top 50 Valencia
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Enrique Iglesias & Maria Becerra","ASI ES LA VIDA"
2,"Ana Mena","Madrid City"
3,"Soolking, Lola Índigo & Rvfv","Casanova"
4,"Feid & ATL Jacob","LUNA"
5,"Vicco & Abraham Mateo","te quiero"
6,"Valeria Castro","cuídate"
7,"Zip Zap","Asturias (Leyenda)"
8,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
9,"Olivia Rodrigo","vampire"
10,"Imany","Wonderful Life (Stream Jockey Rework)"
11,"Ozuna & David Guetta","Vocation"
12,"Chayanne","Bailando Bachata"
13,"Hilario","Bajo la luna"
14,"Lola Índigo & La Zowi","YO TENGO UN NOVIO"
15,"KAROL G & Peso Pluma","QLONA"
16,"Emilia, LUDMILLA & Zecca","No_se_ve.mp3"
17,"Peggy Gou","(It Goes Like) Nanana (Edit)"
18,"Tate McRae","greedy"
19,"Beret & Mr.Rain","SUPERHÉROES"
20,"Abraham Mateo","Maníaca"
21,"Maria Becerra","CORAZÓN VACÍO"
22,"Kenya Grace","Strangers"
23,"MARLENA","amor de verano"
24,"Chiquetete","Esta Cobardia"
25,"Myke Towers","LA FALDA"
26,"Roberto Murolo","Malafemmena"
27,"Emilia & TINI","La_Original.mp3"
28,"Lucio Battisti","Il mio canto libero"
29,"Loreen","Tattoo"
30,"Manuel Carrasco & Camilo","Salitre"
31,"Sophie Ellis-Bextor","Murder On The Dancefloor"
32,"Iñigo Quintero","Si No Estás"
33,"Marshmello & Manuel Turizo","El Merengue"
34,"DELLAFUENTE & Morad","Manos Rotas"
35,"Jim James","State Of The Art (A.E.I.O.U.)"
36,"DePol","De fiesta"
37,"Sebastián Yatra, Manuel Turizo & Beéle","VAGABUNDO"
38,"Dua Lipa","Houdini"
39,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
40,"BENNETT","Vois sur ton chemin (Techno Mix)"
41,"Cigarettes After Sex","Apocalypse"
42,"Billie Eilish","bury a friend"
43,"Gaby Music, Luar La L & Lunay","No Te Quieren Conmigo"
44,"Nil Moliner","VUELA ALTO"
45,"Estopa","El Día Que Tú Te Marches"
46,"Maluma & Carin Leon","Según Quién"
47,"Sia","Gimme Love"
48,"Feid & Rema","BUBALU"
49,"Fleetwood Mac","Everywhere"
50,"Chanel & Abraham Mateo","Clavaíto"
