Shazam Top 50 Göteborg
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"The Bangles","Hazy Shade of Winter"
2,"Traste Lindéns Kvintett","Ensam igen"
3,"Barry Manilow","Mandy"
4,"Enya","Only Time"
5,"Marie Fredriksson","Ännu doftar kärlek"
6,"Bon Jovi","You Give Love a Bad Name"
7,"Blandade Artister","Vi möts igen (feat. Moonica Mac & Arvid Nero)"
8,"Matz Bladhs","Jag Ska Måla Hela Världen Lilla Mamma"
9,"Tom Jones","It's Not Unusual"
10,"noonoouri & Alle Farben","Dominoes"
11,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
12,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
13,"Astrid Lindgren & Emil I Lönneberga","Idas sommarvisa – Jag gör så att blommorna blommar"
14,"Jim James","State Of The Art (A.E.I.O.U.)"
15,"Anne-Marie","UNHEALTHY (feat. Shania Twain)"
16,"Hannes & waterbaby","Stockholmsvy"
17,"Teddy Swims","Lose Control"
18,"Peg Parnevik","Bättre nu (The Wedding)"
19,"Ellen Krauss","Inatt (Inget Stoppar Oss Nu)"
20,"Bill Callahan","All Thoughts Are Prey to Some Beast"
21,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
22,"cassö, RAYE & D-Block Europe","Prada"
23,"Rob Cass & Joseph Robert Taylor","I Am Ready (feat. RIIVER)"
24,"Luke Combs","Fast Car"
25,"Aden Foyer","Other Side of the Moon"
26,"Mapei","Minns ikväll"
27,"Loreen","Is It Love"
28,"Tracy Chapman, José Molina, Orchestra Sinfonica Italiana & Luciano Pavarotti","Baby, Can I Hold You Tonight"
29,"Zara Larsson","Memory Lane"
30,"Hannes Aitman","Dying For A Name"
31,"Forgotten Modern","Only Time (Remix)"
32,"Dina Ögon","Det läcker"
33,"Lamb of God","11th Hour"
34,"David Kushner","Daylight"
35,"Sia","Gimme Love"
36,"Jung Kook","Standing Next to You"
37,"Nik Ammar","Come to an End"
38,"Troye Sivan","One Of Your Girls"
39,"Billie Eilish","bury a friend"
40,"a-ha","Hunting High and Low"
41,"Darin","Starkare"
42,"Daniela Rathana & Cherrie","Vakna (Wake Me Up)"
43,"The Allman Brothers Band","Whipping Post"
44,"a-ha","Hunting High and Low (Extended Remix)"
45,"P!nk","TRUSTFALL"
46,"The Beatles","Now And Then"
47,"C.Gambino","Svar"
48,"Lynyrd Skynyrd","Simple Man"
49,"Dagny","Same Again (For Love)"
50,"Albin Lee Meldau","Hold Your Head Up (feat. Jack Savoretti)"
