Shazam Top 50 Malmö
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Traste Lindéns Kvintett","Ensam igen"
2,"The Bangles","Hazy Shade of Winter"
3,"Barry Manilow","Mandy"
4,"Enya","Only Time"
5,"Marie Fredriksson","Ännu doftar kärlek"
6,"Bon Jovi","You Give Love a Bad Name"
7,"Blandade Artister","Vi möts igen (feat. Moonica Mac & Arvid Nero)"
8,"Matz Bladhs","Jag Ska Måla Hela Världen Lilla Mamma"
9,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
10,"Tom Jones","It's Not Unusual"
11,"noonoouri & Alle Farben","Dominoes"
12,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
13,"Anne-Marie","UNHEALTHY (feat. Shania Twain)"
14,"Astrid Lindgren & Emil I Lönneberga","Idas sommarvisa – Jag gör så att blommorna blommar"
15,"Jim James","State Of The Art (A.E.I.O.U.)"
16,"Hannes & waterbaby","Stockholmsvy"
17,"Aden Foyer","Other Side of the Moon"
18,"Peg Parnevik","Bättre nu (The Wedding)"
19,"Teddy Swims","Lose Control"
20,"Luke Combs","Fast Car"
21,"cassö, RAYE & D-Block Europe","Prada"
22,"Ellen Krauss","Inatt (Inget Stoppar Oss Nu)"
23,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
24,"Tracy Chapman, José Molina, Orchestra Sinfonica Italiana & Luciano Pavarotti","Baby, Can I Hold You Tonight"
25,"Daniela Rathana & Cherrie","Vakna (Wake Me Up)"
26,"David Kushner","Daylight"
27,"Zara Larsson","Memory Lane"
28,"Sia","Gimme Love"
29,"Jung Kook","Standing Next to You"
30,"Mapei","Minns ikväll"
31,"The Allman Brothers Band","Whipping Post"
32,"Darin","Starkare"
33,"Nik Ammar","Come to an End"
34,"Rob Cass & Joseph Robert Taylor","I Am Ready (feat. RIIVER)"
35,"Dagny","Same Again (For Love)"
36,"Billie Eilish","bury a friend"
37,"Lynyrd Skynyrd","Simple Man"
38,"Troye Sivan","One Of Your Girls"
39,"Viktor Norén & Lisa Nilsson","Det är dig jag väntat på"
40,"Noah Kahan","Stick Season"
41,"Darin","Den sista sången"
42,"Jack Harlow","Lovin On Me"
43,"C.Gambino","Svar"
44,"Ariana Grande","yes, and?"
45,"Bill Callahan","All Thoughts Are Prey to Some Beast"
46,"Christopher","A Beautiful Life (From the Netflix Film ‘A Beautiful Life’)"
47,"Kenya Grace","Strangers"
48,"The Handsome Family","Far from Any Road"
49,"Forgotten Modern","Only Time (Remix)"
50,"Hannes Aitman","Dying For A Name"
