Shazam Top 50 Stockholm
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Traste Lindéns Kvintett","Ensam igen"
2,"The Bangles","Hazy Shade of Winter"
3,"Barry Manilow","Mandy"
4,"Enya","Only Time"
5,"Marie Fredriksson","Ännu doftar kärlek"
6,"Blandade Artister","Vi möts igen (feat. Moonica Mac & Arvid Nero)"
7,"Bon Jovi","You Give Love a Bad Name"
8,"Matz Bladhs","Jag Ska Måla Hela Världen Lilla Mamma"
9,"Tom Jones","It's Not Unusual"
10,"noonoouri & Alle Farben","Dominoes"
11,"Jim James","State Of The Art (A.E.I.O.U.)"
12,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
13,"Astrid Lindgren & Emil I Lönneberga","Idas sommarvisa – Jag gör så att blommorna blommar"
14,"Hannes & waterbaby","Stockholmsvy"
15,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
16,"Anne-Marie","UNHEALTHY (feat. Shania Twain)"
17,"Rob Cass & Joseph Robert Taylor","I Am Ready (feat. RIIVER)"
18,"Teddy Swims","Lose Control"
19,"Bill Callahan","All Thoughts Are Prey to Some Beast"
20,"Peg Parnevik","Bättre nu (The Wedding)"
21,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
22,"Aden Foyer","Other Side of the Moon"
23,"Daniela Rathana & Cherrie","Vakna (Wake Me Up)"
24,"Troye Sivan","One Of Your Girls"
25,"Billie Eilish","bury a friend"
26,"Luke Combs","Fast Car"
27,"Dina Ögon","Det läcker"
28,"The Allman Brothers Band","Whipping Post"
29,"Jung Kook","Standing Next to You"
30,"Darin","Starkare"
31,"Ellen Krauss","Inatt (Inget Stoppar Oss Nu)"
32,"Zara Larsson","Memory Lane"
33,"Jack Harlow","Lovin On Me"
34,"Viktor Norén & Lisa Nilsson","Det är dig jag väntat på"
35,"Mapei","Minns ikväll"
36,"Fred again.. & Baby Keem","leavemealone"
37,"C.Gambino","Svar"
38,"Lynyrd Skynyrd","Simple Man"
39,"Sia","Gimme Love"
40,"The Handsome Family","Far from Any Road"
41,"cassö, RAYE & D-Block Europe","Prada"
42,"David Kushner","Daylight"
43,"Lamb of God","11th Hour"
44,"Ariana Grande","yes, and?"
45,"Forgotten Modern","Only Time (Remix)"
46,"Loreen","Is It Love"
47,"Tracy Chapman, José Molina, Orchestra Sinfonica Italiana & Luciano Pavarotti","Baby, Can I Hold You Tonight"
48,"a-ha","Hunting High and Low (Extended Remix)"
49,"Nik Ammar","Come to an End"
50,"Dagny","Same Again (For Love)"
